"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","685338","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Holocheilus","pinnatifidus","Holocheilus pinnatifidus","(Less.) Cabrera","Kim, Hyi-Gyung; R. K. Jansen","G. G. Hatschbach","43263","1980","11","04","South America","Brazil","Paraná","Quatro Barras","Rio Taquari","-49.0767","-25.3658","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=891698' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685338","NY00685338_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","797931","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Holocheilus","pinnatifidus","Holocheilus pinnatifidus","(Less.) Cabrera",NA,"L. Riedel","1104","1833","11",NA,"South America","Brazil",NA,NA,"In paludosis Mugy",NA,NA,"sheet","L. Riedel & Lund: Iter Brasiliense 1833-35 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=483988' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797931","NY00797931_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","797929","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Holocheilus","pinnatifidus","Holocheilus pinnatifidus","(Less.) Cabrera",NA,"G. Gardner","5796","1836",NA,NA,"South America","Brazil","Rio de Janeiro",NA,"Serra dos Orgaos","-43.073169","-22.496706","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=483990' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797929","NY00797929_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","797860","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Holocheilus","pinnatifidus","Holocheilus pinnatifidus","(Less.) Cabrera",NA,"G. Gardner","5796","1836",NA,NA,"South America","Brazil","Rio de Janeiro",NA,"Serra dos Orgaos","-43.073169","-22.496706","sheet","Shulth. 1842 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=483989' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797860","NY00797860_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","797930","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Holocheilus","pinnatifidus","Holocheilus pinnatifidus","(Less.) Cabrera",NA,"G. Gardner","5796","1836",NA,NA,"South America","Brazil","Rio de Janeiro",NA,"Serra dos Orgaos","-43.073169","-22.496706","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=483991' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797930","NY00797930_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:35:11-03","EAO","IAN","60627","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Trixis","pinnatifida","Trixis pinnatifida","Less.",NA,"Sellow, F","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN060627","IAN060627 IAN060627_e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-04 15:24:51-03","PUCPR","HUCP","22338","S","Plantae","Eudicotiledonea",NA,"Asteraceae","Holocheilus","pinnatifidus","Holocheilus pinnatifidus","(Less.) Cabrera.","Lozano, E","Lozano, E; Ariati, V","444","2010","11","02",NA,"Brasil","Paraná","Campina Grande do Sul",NA,"-49.0553016662598","-25.3055992126465",NA,NA,"HUCP00007608","HUCP00007608","55154","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:51:55-03","NBC","NL-BOTANY","L.1595036","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Trixis","pinnatifida","Trixis pinnatifida","Less.",NA,"Hatschbach GG",NA,"1956","11","08","Southern America","Brazil",NA,NA,"Est. Parana. Mun. Bocaiuva do Sul. Garijo.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1595036 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1595036","NL-L1595036",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:01:41-03","ESALQ","ESA","53555","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Holocheilus","pinnatifidus","Holocheilus pinnatifidus",NA,"Monge, M.","Lucas, E.J. et al.","555.0","2006","11","19",NA,"Brasil","Rio de Janeiro","Teresópolis",NA,"-42.9655990600586","-22.4122009277344",NA,NA,"ESA053555","ESA053555","38539","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:01:41-03","ESALQ","ESA","86313","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Holocheilus","pinnatifidus","Holocheilus pinnatifidus",NA,"Hind, N.","Silva, J.M.","3797.0","2003","10","29",NA,"Brasil","Paraná","Quatro Barras",NA,"-49.0769004821777","-25.3656005859375",NA,NA,"ESA086313","ESA086313","17116","auto",NA,"2007","02","24",NA,NA,NA,NA,NA,NA,NA
