"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","yearIdentified","monthIdentified","recordNumber","locality","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","continentOcean","preparationType","dayIdentified","class","relatedCatalogItem","typeStatus","fieldNumber","previousCatalogNumber"
"1","2021-04-05 14:33:34-03","UNESC","CRI","5421","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","angusta","Heliconia angusta","Vell.","Marilva Magali B. Frutuoso","M. M. Botelho","1996","09","20","Brasil","Santa Catarina","Sombrio","-49.616944","-29.114444","49º37'1''W","29º6'52''S","17","17","CRI003256","CRI003256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","1784","S","Plantae","Heliconiaceae","Heliconia","angusta","Heliconia angusta","Vell.","Leandro L. Giacomin; Cláudia Márcia S. do Carmo","Juliana Ordones Rego; Albina Carvalho de Oliveira Nogueira, Márcia Bacelar Fonseca, Leandro Lacerda Giacomin, Cláudia Márcia Silva do Carmo","2005","11","01","Brasil","Minas Gerais","Marliéria","-42.7322006225586","-19.7122001647949",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Zingiberales","2006","02","Ordones962","Lagoa Preta","28215","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","584174","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","angusta","Heliconia angusta","Vell.","B. L. Andersson","A. M. Amorim","1999","09","29","Brazil","Bahia","Uruçuca","-39.1072","-14.5053",NA,NA,NA,NA,"NY00584174","NY00584174_01","Magnoliophyta","Zingiberales",NA,NA,"3132","Distrito de Serra Grande. Parque Estadual da Serra do Condurú. Fazenda Oregon",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161141' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","910064","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","angusta","Heliconia angusta","Vell.","L. Andersson","H. S. Irwin","1958","12","07","Brazil","Minas Gerais","Ponte Nova","-42.9086","-20.4164",NA,NA,NA,NA,"NY00910064","NY00910064_01","Magnoliophyta","Zingiberales",NA,NA,"2230","Fazenda Varginha, 12 km. E. of Ponte Nova.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980024' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","910066","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","angusta","Heliconia angusta","Vell.","L. Andersson","E. P. Heringer","1978","03","16","Brazil","Distrito Federal","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,"NY00910066","NY00910066_01","Magnoliophyta","Zingiberales",NA,NA,"16969",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980029' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","642516","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","angusta","Heliconia angusta","Vell.","B. L. Andersson","W. W. Thomas","2000","10","15","Brazil","Bahia","Boa Nova","-40.158317","-14.398617",NA,NA,"780","850","NY00642516","NY00642516_01","Magnoliophyta","Zingiberales",NA,NA,"12303","Fazenda Riacháo, 7.8 km east of Boa Nova",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=19809' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","485119","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","angusta","Heliconia angusta","Vell.","B. L. Andersson","J. G. Jardim","1998","01","15","Brazil","Bahia","Almadina","-39.6961","-14.735",NA,NA,NA,NA,"NY00485119","NY00485119_01","Magnoliophyta","Zingiberales",NA,NA,"1250","Rod. Almadina/Ibitupa, entrada ca. 5 km W da sede do município. Fazenda Cruzeiro do Sul. Serra do Sete-paus; ca. 8 km da entrada",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161139' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","485117","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","angusta","Heliconia angusta","Vell.","M. Sobral","M. Sobral","1986","03",NA,"Brazil","Espírito Santo","Linhares","-39.961174","-19.138199",NA,NA,NA,NA,"NY00485117","NY00485117_01","Magnoliophyta","Zingiberales",NA,NA,"4659","Reserva da Florestas Rio Doce",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161142' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","910067","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","angusta","Heliconia angusta","Vell.","L. Andersson","E. P. Heringer","1976","11","23","Brazil","Minas Gerais","Dionísio","-42.7767","-19.8431",NA,NA,NA,NA,"NY00910067","NY00910067_01","Magnoliophyta","Zingiberales",NA,NA,"16053","Parque Estadual do Rio Doce.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980031' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","486350","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","angusta","Heliconia angusta","Vell.","B. L. Andersson","J. G. Jardim","1998","08","10","Brazil","Bahia","Itacaré","-39.2855215","-14.2606813",NA,NA,"400","400","NY00486350","NY00486350_01","Magnoliophyta","Zingiberales",NA,NA,"1830","Fazenda Bom Jesus. Serra dos Vinháticos e da sede da fazenda",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161140' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
