"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","4730","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Anthurium","jureianum","Anthurium jureianum","Cath. & Olaio","isotype","E. L. M. Catharino","1119","1987","11","17","South America","Brazil","São Paulo","Iguape, Estaçao Ecológica da Juréia.","-47.299","-24.468","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355089' target='other'> <mi>dwc_moreinfo</mi></a>","NY00004730","NY00004730_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:00:13-03","ESALQ","ESA","28493","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Araceae","Anthurium","jureianum","Anthurium jureianum","Catharino & Olaio",NA,"Souza, V.C.","9454.0","1988","01","01",NA,"Brasil","São Paulo","Estação Ecológica da Juréia. Arredores da foz do Rio Guaraú.","-46.9900016784668","-24.3199996948242",NA,NA,"ESA028493","ESA028493_1 ESA028493_2","Nadruz, M.","1998","09","11","Peruíbe","21922","auto",NA,NA,NA,NA,NA,NA
"3","2021-02-11 17:17:54-03","UFPR","UPCB","81689","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","jureianum","Anthurium jureianum","Cath. & Olaio",NA,"Cardozo, A.P.","60","2012","06","30",NA,"Brasil","São Paulo","Trilha do Rio Verde, Cachoeira do Salto. Alt. -30m.","-47.231","-24.545",NA,"Folha coiriácea, levemente discolor. Pedúnculo vináceo na base, creme a verde no ápice. Espata verde com estrias vináceas, espádice vinho. Bagas maduras esverdeadas.",NA,NA,"Cardozo, A. P.","2012","05","25","Iguape",NA,NA,"-47.231","-24.545",NA,NA,NA,NA
"4","2013-03-03 12:50:00-03","MO","MOBOT","2946861","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","jureianum","Anthurium jureianum","Cath. & Olaio",NA,"James A. Ratter|G.C.G. Argent","Ratter 4697",NA,NA,NA,"South America","Brazil","São Paulo","0-700 m in coastal Atlantic forest, Jureia, Sao Paula.",NA,NA,NA,NA,NA,NA,"Mayo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2008-05-27 22:02:00-03","MO","MOBOT","378166","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","jureianum","Anthurium jureianum","Cath. & Olaio",NA,"E.L.M. Catharino|et al.","Catharino 1119","1987","11","17","South America","Brazil","São Paulo","Iguape, Estação Ecológica da Juréia.",NA,NA,NA,NA,NA,NA,"E. Catharino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2008-05-27 22:02:00-03","MO","MOBOT","387980","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","jureianum","Anthurium jureianum","Cath. & Olaio",NA,"G.C.G. Argent|James A. Ratter","Argent 651",NA,NA,NA,"South America","Brazil","São Paulo","In costal Atlantic forest, Jureia, Sao Paulo.",NA,NA,NA,NA,NA,NA,"T.B. Croat",NA,NA,NA,NA,NA,NA,NA,NA,"0E8","700.00000000",NA,NA
"7","2018-12-10 13:05:00-02","MO","MOBOT","101088091","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","jureianum","Anthurium jureianum","Cath. & Olaio",NA,"J.V.C. Nunes|et al.","Nunes 1503",NA,NA,NA,"South America","Brazil","São Paulo",NA,"-47.5499992370605","-24.7000007629395",NA,NA,NA,NA,NA,NA,NA,NA,"Iguape","55628","auto",NA,NA,NA,NA,NA,NA
"8","2018-12-10 13:05:00-02","MO","MOBOT","101088639","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","jureianum","Anthurium jureianum","Cath. & Olaio",NA,"Rossi, Albert E.|et al.","Rossi 877",NA,NA,NA,"South America","Brazil","São Paulo",NA,"-47.5499992370605","-24.7000007629395",NA,NA,NA,NA,NA,NA,NA,NA,"Iguape","55628","auto",NA,NA,NA,NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","3169221","PreservedSpecimen","Plantae",NA,"Arales","Araceae","Anthurium","jureianum","Anthurium jureianum","Cath. & Olaio","Isotype","E. L. Catharino, M. Kirizawa, E. A. Lopes & D. Vital","1119","1987","11","17","South America - Neotropics","Brazil","São Paulo","Iguape, Estacao Ecologica da Jureia.",NA,NA,NA,NA,"US00324035","US00324035_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","1"
"10","2020-09-12 05:00:02-03","US","US","3208035","PreservedSpecimen","Plantae",NA,"Arales","Araceae","Anthurium","jureianum","Anthurium jureianum","Cath. & Olaio","Isotype","E. L. Catharino, M. Kirizawa, E. A. Lopes & D. Vital","1119","1987","11","17","South America - Neotropics","Brazil","São Paulo","Iguape, Estacao Ecologica da Jureia.",NA,NA,NA,NA,"US00324036","US00324036_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","1"
