"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","year","month","day","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","infraspecificEpithet","fieldNumber","individualCount","class","relatedCatalogItem"
"1","2020-09-23 10:43:11-03","E","E","265942","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata","isolectotype","Martius","232","E. Tropical South America","BR","Amazonas","herbarium specimen of unspecif","BGBASE:290429","<a href=http://data.rbge.org.uk/herb/E00265942 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00265942",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00952278","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata",NA,"J. A. Kallunki","618","South America","Brazil","Rio de Janeiro","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=484893' target='other'> <mi>dwc_moreinfo</mi></a>","NY00952278","Magnoliophyta","Gentianales","(Vell.) Müll.Arg.","D. C. Zappi","1995","02","17","Sao Pedro da Aldeia","Serra Sepeatiba, at TELERJ tower reached (eventually) after 5.8 km on dirt road turning N from Araruama-S. Pedro de Aldeia road at 3.5 km W of turn to Macaé, in forest near tower.","-42.15","-22.82","400","400","NY00952278_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1280881","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata",NA,"M. R. de V. Barbosa","2506","South America","Brazil","Alagoas","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1637651' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280881","Magnoliophyta","Gentianales","(Vell.) Müll.Arg.","D. C. Zappi","2002","08","03","Murici","Fazenda Boa Vista, proximo a torre","-35.8361","-9.2361","587","587","NY01280881_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","2422933","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata",NA,"H. F. Uller","320","South America","Brazil","Rio de Janeiro","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2675102' target='other'> <mi>dwc_moreinfo</mi></a>","NY02422933","Magnoliophyta","Gentianales","(Vell.) Müll.Arg.",NA,"2013","09",NA,"Sao Pedro da Aldeia","Conglomerado 152-Ex35","-42.1027984619141","-22.8391990661621",NA,NA,"NY02422933_01","20879","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-12 15:31:50-03","UFABC","HUFABC","001012","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata",NA,"Bruniera, C P; Groppo, M; Lemos, LC","910",NA,"Brasil","São Paulo",NA,NA,"Arbusto ca. 1,5m alt. Folhas cartáceas, discolores. Frutos verdes.","HUFABC001012","Angiospermas",NA,"(Vell.) Müll. Arg.","Bruniera, C P","2014","05","26","Ubatuba","Praia da Lagoinha. Trilha das Ruínas da Lagoinha., Floresta ombrófila densa, mata de encosta.","-45.200972","-23.506722","48","48","HUFABC001012",NA,NA,"-45.200972","-23.506722",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-12 15:31:50-03","UFABC","HUFABC","001088","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata",NA,"Bruniera, C P; Groppo, M; Lemos L. C.","908",NA,"Brasil","São Paulo",NA,NA,"Arbusto ca. 0,7m alt. Folhas cartáceas, discolores. Raque verde. Frutos verdes.","HUFABC001088","Angiospermas",NA,"(Vell.) Müll. Arg.","Bruneira, C P","2014","05","26","Ubatuba","Praia da Lagoinha. Trilha das Ruínas da Lagoinha., Floresta ombrófila, mata de encosta.","-45.200972","-23.506722",NA,NA,"HUFABC001088",NA,NA,"-45.200972","-23.506722",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-12 15:31:50-03","UFABC","HUFABC","000479","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata",NA,"Costa, IG","856",NA,"Brasil","Rio de Janeiro",NA,NA,"Arbusto, ca. 2m; lâmina cartácea esverdeada; pedúnculo, pedicelo e cálice esverdeado; corola amarelada, de base esverdeada.","HUFABC000479","Angiospermas",NA,"(Vell.) Müll. Arg.","C.P. Bruniera","2016","10","13","Campos dos Goytacazes","localidade de Conceição do Imbé, Fazenda Aleluia; Floresta Ombrófila.","-41.3244018554688","-21.7541999816895",NA,NA,NA,"62761","auto",NA,NA,"2017",NA,NA,NA,NA,NA,NA,NA
"8","2019-12-12 15:31:50-03","UFABC","HUFABC","001148","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata",NA,"Bruniera, C P; et al.","217",NA,"Brasil","Bahia",NA,NA,"Voucher para estudos moleculares, fotos, prensada em álcool 70%.; Arbusto ca 1,8m alt. Flores cartáceas, discolores. Estéril.","HUFABC001148","Angiospermas",NA,"(Vell.) Müll. Arg.","Brunieira, C P","2011","03","21","Itabuna","Rodovia que liga Itabuna a Ilhéus (BR 415), CEPLAC, quadra D. Trilha com acesso pela rua principal do CEPLAC (lateral da quadra). Mata higrófila com cacau plantado (cabruca).","-39.225222","-14.774361","42","42","HUFABC001148",NA,NA,"-39.225222","-14.774361","2011",NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 12:16:07-03","ESALQ","ESA","135447","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata",NA,"D. Hottz",NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,"ESA135447",NA,NA,"(Vell.) Mull. Arg.","M. Gomes","2020","10","13","Cabo Frio",NA,"-42.0186004638672","-22.8794002532959",NA,NA,NA,"40069","auto",NA,NA,"2013",NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:18:57-03","ESALQ","ESA","11332","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata",NA,"Souza, V.C.","522.0",NA,"Brasil","São Paulo",NA,NA,NA,"ESA011332","Magnoliophyta",NA,"(Vell.) Müll. Arg.","Zappi, D.C.","1989","04","01","Peruíbe",NA,"-46.9900016784668","-24.3199996948242",NA,NA,"ESA011332","21922","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
