"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","375578","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","lasiophylla","Casearia lasiophylla","Eichler","S. M. Silva","V. A. de O. Dittrich","203","1996","10","02","South America","Brazil","Paraná","Curitiba","Parque Berigui","-49.22","-25.37","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=227788' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375578","NY00375578_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00897139","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","lasiophylla","Casearia lasiophylla","Eichler","R. L. Liesner","L. Riedel","s.n.","1829",NA,NA,"South America","Brazil","Minas Gerais",NA,"Iter Brasiliense, Minas Geraes.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971424' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897139","NY00897139_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","375571","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","lasiophylla","Casearia lasiophylla","Eichler","G. G. Hatschbach","G. G. Hatschbach","59388","1993","09","18","South America","Brazil","Paraná","Tomazina","Rod. para Salto Cavalcante","-49.9494","-23.7783","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=227790' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375571","NY00375571_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00897136","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","lasiophylla","Casearia lasiophylla","Eichler","R. L. Liesner","D. C. Daly","D5784","1980","10","11","South America","Brazil","Maranhão","Tuntum","Fazenda Côco, 70 km E of Barra do Corda on BR 226.","-44.72","-5.33","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971400' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897136","NY00897136_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00897141","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","lasiophylla","Casearia lasiophylla","Eichler","H. O. Sleumer","P. Clausen","35","1841",NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971428' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897141","NY00897141_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","375580","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","lasiophylla","Casearia lasiophylla","Eichler","H. O. Sleumer","G. G. Hatschbach","17821","1967","11","14","South America","Brazil","Paraná","Campina Grande do Sul","Sítio do Belizario","-49.0553","-25.3058","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=227782' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375580","NY00375580_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","375575","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","lasiophylla","Casearia lasiophylla","Eichler","H. O. Sleumer","G. G. Hatschbach","17119","1967","09","07","South America","Brazil","Paraná","Ponta Grossa","Piriquitos","-50.1617","-25.095","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=227781' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375575","NY00375575_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","375583","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","lasiophylla","Casearia lasiophylla","Eichler","P. K. H. Dusén","P. K. H. Dusén","16194","1914","12","27","South America","Brazil","Paraná","Jaguariaíva","Jaguariaíva","-49.7056","-24.2511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=227775' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375583","NY00375583_01","730","730",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00897137","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","lasiophylla","Casearia lasiophylla","Eichler","H. O. Sleumer","D. C. Daly","D5784","1980","10","11","South America","Brazil","Maranhão","Tuntum","Fazenda Côco, 70 km E of Barra do Corda on BR 226.","-44.72","-5.33","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971402' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897137","NY00897137_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00897138","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","lasiophylla","Casearia lasiophylla","Eichler","R. L. Liesner","I. Silberbauer-Gottsberger","43-20282","1982","02","20","South America","Brazil","Maranhão","Codó","Fazenda Canto da Roça.","-43.9","-4.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971410' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897138","NY00897138_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
