"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","recordNumber","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","minimumElevationInMeters","maximumElevationInMeters","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","424093","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Cymodoceaceae","Halodule","wrightii","Halodule wrightii","Asch.","E. Eskinazi-Leça","K. M. Magalhaes","1994","04","26","South America","Brazil","Pernambuco","Itamaracá","Ilha de Itamaracá-Jaguaribe","-34.8256","-7.7481","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=638396' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424093","NY00424093_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","424094","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Cymodoceaceae","Halodule","wrightii","Halodule wrightii","Asch.","J. R. Pirani","J. E. de Paula","1982","12","11","South America","Brazil","São Paulo","Sao Sebastiao","Sao Sebastiao. Saco de Sao Francisco","-45.4097","-23.7603","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=638397' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424094","NY00424094_01 NY00424094_02","SPF31365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-01-06 11:42:06-03","UFPI-MRV","HDELTA","2528","PreservedSpecimen","Plantae",NA,NA,"Cymodoceaceae","Halodule","wrightii","Halodule wrightii"," Asch.","Silva, N.P.","Silva, N.P.; Lima, T.G.P.","2016","02","11",NA,"Brasil","Piauí",NA,NA,NA,NA,NA,NA,"HDELTA002528",NA,"10","2016","02","11",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-06 11:42:06-03","UFPI-MRV","HDELTA","2531","PreservedSpecimen","Plantae",NA,NA,"Cymodoceaceae","Halodule","wrightii","Halodule wrightii"," Asch.","Silva, N.P.","Silva, N.P.; Lima, T.G.P.","2012","02","12",NA,"Brasil","Piauí",NA,NA,NA,NA,NA,NA,"HDELTA002531",NA,"2","2012","02","12",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-01-06 11:42:06-03","UFPI-MRV","HDELTA","2536","PreservedSpecimen","Plantae",NA,NA,"Cymodoceaceae","Halodule","wrightii","Halodule wrightii"," Asch.","Silva, N.P.","Silva, N.P.; Lima, T.G.P.","2016","02","12",NA,"Brasil","Piauí",NA,NA,NA,NA,NA,NA,"HDELTA002536",NA,"6","2016","02","12",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-01-06 11:42:06-03","UFPI-MRV","HDELTA","2530","PreservedSpecimen","Plantae",NA,NA,"Cymodoceaceae","Halodule","wrightii","Halodule wrightii"," Asch.","Silva, N.P.","Silva, N.P.; Lima, T.G.P.","2016","02","12",NA,"Brasil","Piauí",NA,NA,NA,NA,NA,NA,"HDELTA002530",NA,"3","2016","02","12",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-01-06 11:42:06-03","UFPI-MRV","HDELTA","2532","PreservedSpecimen","Plantae",NA,NA,"Cymodoceaceae","Halodule","wrightii","Halodule wrightii"," Asch.","Silva, N.P.","Silva, N.P.; Lima, T.G.P.","2016","02","12",NA,"Brasil","Piauí",NA,NA,NA,NA,NA,NA,"HDELTA002532",NA,"1","2016","02","12",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-01-06 11:42:06-03","UFPI-MRV","HDELTA","2535","PreservedSpecimen","Plantae",NA,NA,"Cymodoceaceae","Halodule","wrightii","Halodule wrightii"," Asch.","Silva, N.P.","Silva, N.P.; Lima, T.G.P.","2016","02","12",NA,"Brasil","Piauí",NA,NA,NA,NA,NA,NA,"HDELTA002535",NA,"5","2016","02","12",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 11:29:58-03","UFRJ","RFA","31124","PreservedSpecimen","Plantae",NA,NA,"Cymodoceaceae","Halodule","wrightii","Halodule wrightii","Asch.","Y.Y. Valentin","Yocie Y. Valentin","1984","02","18",NA,"Brasil","Rio de Janeiro","Araruama","Praia dos Coqueiros - Lagoa de Araruama","-42.3431015014648","-22.8728008270264",NA,NA,"RFA39121",NA,NA,NA,NA,NA,"38914","auto",NA,NA,NA,NA,NA,NA
"10","2020-06-29 11:29:58-03","UFRJ","RFA","31125","PreservedSpecimen","Plantae",NA,NA,"Cymodoceaceae","Halodule","wrightii","Halodule wrightii","Asch.","Y.Y. Valentin","Yocie Y. Valentin","1969","07","27",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Praia Porto - Pontilhão","-43.2075004577637","-22.9027996063232",NA,NA,"RFA39120",NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA
"11","2021-03-30 12:32:34-03","EAO","IAN","87844","PreservedSpecimen","Plantae",NA,NA,"Cymodoceaceae","Halodule","wrightii","Halodule wrightii","Asch.",NA,"Killip, EP; Swallen, JR","1950","03","07",NA,"Estados Unidos","Flórida",NA,"Monroe Co.: Big Pine Key.. Coupon Bight; off shell Beach.",NA,NA,NA,NA,"IAN087844",NA,"40418",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
