"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","country","individualCount","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","recordedBy","recordNumber","year","month","barcode","day","locality","minimumElevationInMeters","maximumElevationInMeters","imagecode"
"1","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","1097","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","warmingii","Vriesea warmingii","E.Morren","Brasil","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","1224","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","warmingii","Vriesea warmingii","E.Morren","Brasil",NA,"254","2007","11","05","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","2916","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","warmingii","Vriesea warmingii","E.Morren","Brasil","1","254","2009","05",NA,"Rio de Janeiro","Teresópolis","-42.9655990600586","-22.4122009277344","38539","auto","Elton. C. M. Leme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","2913","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","warmingii","Vriesea warmingii","E.Morren","Brasil","1","254","2011","08",NA,"Rio de Janeiro","Teresópolis","-42.9655990600586","-22.4122009277344","38539","auto","Elton. C. M. Leme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-07 08:35:31-03","MN","R","46299","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","warmingii","Vriesea warmingii","E. Morren","Brasil",NA,NA,NA,NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,"Ule, E.H.G.","4615","1896","09","R010019886",NA,NA,NA,NA,NA
"6","2019-11-01 15:28:05-03","PUC-RIO","FCAB","5545","PreservedSpecimen","Plantae",NA,"Angiospermae","Bromeliaceae","Vriesea","warmingii","Vriesea warmingii","E.Morren","Brasil",NA,"Flores amarelas, folhas discolores, quase vinácea na página inferior. Frequente.; Planta terrestre localizada em mata rala.",NA,NA,NA,"Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto","W.M.C. Leme","R.R. Oliveira","2345","2000","08","005545","19","Maciço da Pedra Branca, Pico do Itaiaci",NA,NA,NA
"7","2019-11-21 10:02:55-03","IBt","SP","387938","S","Plantae",NA,NA,"Bromeliaceae","Vriesea","warmingii","Vriesea warmingii","É.Morren","Brasil",NA,NA,"2006",NA,NA,"Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto","Costa, A","Braga, JMA; et al.","7383","2004","01","SP053519","29","Recreio dos Bandeirantes, APA da Prainha, subida para o topo do morro da Boa Vista","250","250","SP053519"
