"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","occurrenceRemarks","imagecode","identifiedBy","yearIdentified","typeStatus","fieldNumber","preparationType","continentOcean","individualCount","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","minimumElevationInMeters","maximumElevationInMeters"
"1","2019-11-19 15:43:25-03","UNEB","HUNEB","11842","PreservedSpecimen","Plantae","Angiospermae","Dicotyledoneae","Florideophycidae","Asteraceae","Stevia","hilarii","Stevia hilarii","B. Robinson","Almeida, G.S.S.","677","2007","05","09","Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi: Trilha da Lagoa Seca.","-43.5080986022949","-20.2875003814697","44599","HUNEB0011842","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-20 21:16:02-03","UFV","VIC","29112","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Stevia","hilarii","Stevia hilarii","B.Robison","Almeida, G.S.S.; et al.","677","2007","05","09","Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Trilha da lagoa seca","-43.5080986022949","-20.2875003814697","44599","VIC029112","auto","Subarbusto de 0,7 m, brácteas involucrais glandulosas, flores de tubo vináceos e lobos roseos,","VIC029112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-20 21:16:02-03","UFV","VIC","29111","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Stevia","hilarii","Stevia hilarii","B.Robison","Almeida, G.S.S.; et al.","670","2007","04","18","Brasil","Minas Gerais","Mariana","Parque Estadual do Itacolomi, Trilha do Sertão","-43.4160995483398","-20.377799987793","33524","VIC029111","auto","Subarbusto 0,3m; flores 5, corola com tubo vináceo e lobos róseos. Coletada em capão de encosta seca/ campo rupestre.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:25:19-03","UNICAMP","UEC","111801","S","Plantae","Magnoliopsida",NA,NA,"Asteraceae","Stevia","hilarii","Stevia hilarii","B.L.Rob.","Romero, R; Nakajima, JN; Alcantara, MB; Prado Lima, CA","2205","1995","05","11","Brazil","Minas Gerais","São Roque de Minas","Morro próximo ao córrego dos Pasageiros, vertente do córrego, PARNA Serra da Canastra.","-46.3657989501953","-20.2453002929688","57119","UEC130432","auto","Herbáceo, ca. 0,5m. Corola com tubo púrpura, lacínios róseos. Estigmas e anteras róseas.; Campo limpo.","UEC130432","Nakajima, JN","1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-10-02 03:46:07-03","MNHN","RECOLNAT_MNHN_P","P00704249","PreservedSpecimen",NA,NA,NA,NA,"Asteraceae","Stevia","hilarii","Stevia hilarii","B.L.Rob.","Saint-Hilaire, A. de",NA,"1816",NA,NA,"Brésil",NA,NA,"Prov. de Minas Geraes",NA,NA,NA,"P00704249",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00704249' target='other'> <mi>dwc_moreinfo</mi></a>","P00704249_01","Robinson",NA,"type","D 275","hb",NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-10-02 03:46:19-03","MNHN","RECOLNAT_MNHN_P","P00704250","PreservedSpecimen",NA,NA,NA,NA,"Asteraceae","Stevia","hilarii","Stevia hilarii","B.L.Rob.","Saint-Hilaire, A. de",NA,"1816",NA,NA,"Brésil",NA,NA,"Prov. de Minas Geraes",NA,NA,NA,"P00704250",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00704250' target='other'> <mi>dwc_moreinfo</mi></a>","P00704250_01","Robinson",NA,"isotype","D 275","hb",NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-09-04 05:25:27-03","MNHN","RECOLNAT_MNHN_P","P02678450","PreservedSpecimen",NA,NA,NA,NA,"Asteraceae","Stevia","hilarii","Stevia hilarii","B.L.Rob.","Saint-Hilaire, A. de",NA,NA,NA,NA,"Brésil","Minas Gerais",NA,"Brésil - Province de Minas Geraes. Minas Gerais, Sudeste, Brasil, América do Sul",NA,NA,NA,"P02678450",NA,"Voyage d'August de Saint-Hilaire, de 1816 às 1821. . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02678450' target='other'> <mi>dwc_moreinfo</mi></a>","P02678450_01",NA,NA,NA,"C1 367","hb",NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-09-04 05:25:27-03","MNHN","RECOLNAT_MNHN_P","P02678451","PreservedSpecimen",NA,NA,NA,NA,"Asteraceae","Stevia","hilarii","Stevia hilarii","B.L.Rob.","Saint-Hilaire, A. de",NA,"1816","1","1","Brésil","Minas Gerais",NA,"Brésil. Province de Minas Geraes. Minas Gerais, Sudeste, Brasil, América do Sul",NA,NA,NA,"P02678451",NA,"Voyage d' Auguste de Saint-Hilaire, de 1816 à 1821. . n° 1012 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02678451' target='other'> <mi>dwc_moreinfo</mi></a>","P02678451_01",NA,NA,NA,"C1 367","hb",NA,NA,NA,NA,NA,NA,NA,NA
"9","2009-06-29 13:18:00-03","MO","MOBOT","100197460","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Stevia","hilarii","Stevia hilarii","B.L. Rob.","R. Romero|J.N. Nakajima|M.A. Farinaccio|V.F.O. Miranda","Romero 4103","1997","4","17","Brazil","Minas Gerais",NA,"Trilha do paredão da Serra da Canastra (caminho), Parque Nacional da Serra da Canastra, São Roque de Minas.",NA,NA,NA,NA,NA,NA,NA,"J.N. Nakajima",NA,NA,NA,NA,"South America","1",NA,NA,NA,NA,NA,NA
"10","2009-06-30 11:53:00-03","MO","MOBOT","100197632","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Stevia","hilarii","Stevia hilarii","B.L. Rob.","J.N. Nakajima","Nakajima 1007","1995","5","10","Brazil","Minas Gerais",NA,"Estrada S. Roque - Sacramento, 3 km da sede administrativa, Parna Serra da Canastra, São Roque de Minas.",NA,NA,NA,NA,NA,NA,NA,"J.N. Nakajima",NA,NA,NA,NA,"South America","1",NA,NA,NA,NA,NA,NA
"11","2019-05-23 11:07:57-03","UFLA","ESAL","10661","S","Plantae",NA,NA,NA,"Asteraceae","Stevia","hilarii","Stevia hilarii","B.L.Rob.","Gavilanes, ML","4.617",NA,NA,NA,"Brasil","Minas Gerais","Lavras","Serra do Campestre","-44.999444","-21.245278",NA,NA,NA,"sub-arbusto; 0.60; branca;; campo rupestre",NA,"Martins, CPV","2017",NA,NA,NA,NA,NA,"02","-44.999444","-21.245278",NA,NA,NA
"12","2019-05-23 11:07:57-03","UFLA","ESAL","23735","S","Plantae",NA,NA,NA,"Asteraceae","Stevia","hilarii","Stevia hilarii","B.L.Rob.","Mourão, B; Mansanares, MEM; Ribeiro, W","19","2016","04","07","Brasil","Minas Gerais","Minduri","Afloramento depois do camping da lua.","-44.586694","-21.595228",NA,NA,NA,"Erva. Capítulo com bracteas involucrais verdes e flores lilases.",NA,"Mansanares, ME","2016",NA,NA,NA,NA,NA,"05","-44.586694","-21.595228","03",NA,NA
"13","2019-05-23 11:07:57-03","UFLA","ESAL","23736","S","Plantae",NA,NA,NA,"Asteraceae","Stevia","hilarii","Stevia hilarii","B.L.Rob.","Mourão, B; Mansanares, MEM; Ribeiro, W","15","2016","04","07","Brasil","Minas Gerais","Minduri","Afloramento depois do camping da lua.","-44.586694","-21.595228",NA,NA,NA,"Erva. Capítulo com bracteas involucrais verdes e flores lilases.",NA,"Mansanares, ME","2016",NA,NA,NA,NA,NA,"05","-44.586694","-21.595228","03",NA,NA
"14","2019-05-23 11:07:57-03","UFLA","ESAL","23737","S","Plantae",NA,NA,NA,"Asteraceae","Stevia","hilarii","Stevia hilarii","B.L.Rob.","Mourão, B; Mansanares, MEM; Ribeiro, W","16","2016","04","07","Brasil","Minas Gerais","Minduri","Afloramento depois do camping da lua.","-44.586694","-21.595228",NA,NA,NA,"Erva. Capítulo com bracteas involucrais verdes e flores lilases.",NA,"Mansanares, ME","2016",NA,NA,NA,NA,NA,"05","-44.586694","-21.595228","03",NA,NA
"15","2019-05-23 11:07:57-03","UFLA","ESAL","23738","S","Plantae",NA,NA,NA,"Asteraceae","Stevia","hilarii","Stevia hilarii","B.L.Rob.","Mourão, B; Mansanares, MEM; Ribeiro, W","17","2016","04","07","Brasil","Minas Gerais","Minduri","Afloramento depois do camping da lua.","-44.586694","-21.595228",NA,NA,NA,"Erva. Capítulo com bracteas involucrais verdes e flores lilases.",NA,"Mansanares, ME","2016",NA,NA,NA,NA,NA,"05","-44.586694","-21.595228","03",NA,NA
