"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","relatedCatalogItem","previousCatalogNumber","fieldNumber","sex"
"11","2019-08-27 13:29:53-03","IAP","PACA-AGP","85931","PreservedSpecimen","Plantae","Magnoliophyta","Fagales","Mimosaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Burkart",NA,"J.M. Silva","3418","2001","09","04",NA,"Brasil","PR","Rio Iguaçu, próximo da ponte na BR-427",NA,"arbusto delgado, às vezes apoiante. Habitat: margem do rio, solo rochoso Hábito: arbusto","PACA085931",NA,"O.S. Ribas","Lapa","-49.7158012390137","-25.7696990966797","2001","49965","auto","Magnoliatae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-08-27 13:29:53-03","IAP","PACA-AGP","86073","PreservedSpecimen","Plantae","Magnoliophyta","Fagales","Mimosaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Burkart",NA,"O.S. Ribas","3600","2001","06","12",NA,"Brasil","PR","Rio Iguaçu",NA,"arbusto até 3m, flor lilás-rosada, folhas untuosas ao tacto Habitat: nas margens do rio, solo arenoso junto a afloramentos de arenito Hábito: arbusto","PACA086073",NA,"O.S. Ribas","Porto Amazonas","-49.8903007507324","-25.5447006225586","2001","14684","auto","Magnoliatae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0036642","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Burkart",NA,"O. S. Ribas; J. M. Silva, J. Takeda","3600","2001","6","12",NA,"Brazil","Parana","Rio Iguaçu (Mun. Porto Amazonas).",NA,"Arbusto, até 3m, flor lilás-rosada, folhas untuosas ao tacto.",NA,NA,"O. S. Ribas",NA,"-49.8925","-25.5356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-11-21 14:36:55-03","UFJF","CESJ","38333","PreservedSpecimen","Plantae","Angiosperma",NA,"Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Burkart",NA,"O.S. Ribas; J.M. Silva; J. Takeda","3600","2001","06","12","América do Sul","Brasil","Paraná","Rio Iguaçu",NA,"Arbusto, até 3 m, flor lilás-rosada, folhas untuosas ao tacto. Solo arenoso, junto a afloramento de arenito das margens do rio. Locco classico. 1ª coleta após o typus (1914).","CESJ038333",NA,"O.S. Ribas","Porto Amazonas","-49.8903007507324","-25.5447006225586","2001","14684","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-11-21 14:36:55-03","UFJF","CESJ","39906","PreservedSpecimen","Plantae","Angiosperma",NA,"Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Burkart",NA,"O.S. Ribas; J.M. Silva; J. Takeda","3600","2001","06","12","América do Sul","Brasil","Paraná","Rio Iguaçu",NA,"Arbusto, até 3 m, flor lilás-rosada, folhas untuosas ao tacto. Solo arenoso, junto a afloramento de arenito das margens do rio. Locco classico. 1ª coleta após o typus (1914).","CESJ039906",NA,"O.S. Ribas","Porto Amazonas","-49.8903007507324","-25.5447006225586","2001","14684","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-04-07 11:44:33-03","UFMS","CGMS","17763","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Burkart",NA,"O.S. Ribas; J.M. Silva; J. Takeda","3600",NA,NA,NA,NA,"Brasil","Paraná","Rio iguaçu.",NA,"Mimosoideae.","CGMS1047058",NA,"O.S. Ribas","Porto Amazonas","-49.8903007507324","-25.5447006225586","2001","14684","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-10-14 10:01:44-03","FURB","FURB","47981","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Burkart",NA,"Silva, J.M.; Martins, L.M.","8344","2013","09","19",NA,"Brasil","Paraná",NA,NA,NA,"FURB47981","FURB47981","Barboza, E","Curitiba","-49.2391666","-25.4408333","2013",NA,NA,NA,"09","20","-49.2391666","-25.4408333","915","915",NA,NA,NA,NA,NA
"18","2020-10-14 10:01:44-03","FURB","FURB","4828","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Burkart",NA,"Nascimento, D.S.; Cordeiro, J.","221","2005","09","19",NA,"Brasil","Paraná","Jardim Botânico Municipal.",NA,NA,"FURB25332","FURB25332",NA,"Curitiba","-49.2388889","-25.4419444",NA,NA,NA,NA,NA,NA,"-49.2388889","-25.4419444",NA,NA,NA,NA,NA,NA,NA
"19","2020-10-14 10:01:44-03","FURB","FURB","769","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Burkart",NA,"Ribas, O.S.; Silva, J.M. & Takeda, J.","3600","2001","06","12",NA,"Brasil","Paraná","Rio Iguaçu.",NA,"Folhas untuosas ao tato. Locco classico: 1ª coleta após o Typus (1914). Habitat: solo arenoso, junto a afloramentos de arenito das margens do rio Habito: arbustiva; flor lilás rosada","FURB01793","FURB01793","Ribas, OS","Porto Amazonas","-49.8903007507324","-25.5447006225586","2001","14684","auto",NA,"06","12",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-16 17:52:15-03","UCS","HUCS","18001","PreservedSpecimen","Plantae","Angiospermae","Fabales","Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Burkart","topotypus","Ribas, O.S.","3600","2001","06","12",NA,"Brasil","Minas Gerais","Rio Iguaçu",NA,"Arbusto até 3 m, flor lilás-rosada, folhas untuosas ao tacto. &nf;Locco clássico 1ª coleta após o Typus ( 1914) &nf;Doação Herbário MBM; solo arenosos, junto a afloramento de arenito das margens do rio","HUCS006911",NA,"Ribas, O.S.","Porto Amazonas",NA,NA,"2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
