"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","month","day","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","345860","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Caladium","heterotypicum","Caladium heterotypicum","S.Moore","holotype","S. L. M. Moore","691","1891","South America","Brazil","Mato Grosso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=646119' target='other'> <mi>dwc_moreinfo</mi></a>","NY00345860","NY00345860_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","872953","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Xanthosoma","striatipes","Xanthosoma striatipes","(Kunth & C.D.Bouché) Madison",NA,"H. S. Irwin","21564","1968","South America","Brazil","Tocantins","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=950897' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872953","NY00872953_01","M. T. Madison","03","20","Fortaleza do Tabocão","Ca. 12 km S. of Guará.","-48.52","-8.97","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1292878","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Xanthosoma","striatipes","Xanthosoma striatipes","(Kunth & C.D.Bouché) Madison",NA,"C. A. Cid Ferreira","5573","1985","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568387' target='other'> <mi>dwc_moreinfo</mi></a>","NY01292878","NY01292878_02","T. B. Croat","04","15","Manicoré","BR 230. 110 km ao L de Humaitá; Rio Marmelos entre a Rod. e a Cachoeira do Paricá (R. I. dos Tenharim)","-62.25","-7.83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3804262","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Xanthosoma","striatipes","Xanthosoma striatipes","(Kunth & C.D.Bouché) Madison",NA,"B. Maguire","35920","1953","South America","Venezuela","Bolívar","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4118533' target='other'> <mi>dwc_moreinfo</mi></a>","NY03804262",NA,NA,"10","22",NA,"along road between Ciudad Piar and Cerro Toribio",NA,NA,"300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1292880","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Xanthosoma","striatipes","Xanthosoma striatipes","(Kunth & C.D.Bouché) Madison",NA,"M. J. G. Hopkins","544","1986","South America","Brazil","Roraima","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568407' target='other'> <mi>dwc_moreinfo</mi></a>","NY01292880","NY01292880_02","T. B. Croat","06","07","Alto Alegre","Ilha de Maracá. SEMA Estação.-Open savanna close to Estação. Savanna with Couratella americana. Open grassy areas, and damp marsh.","-61.333333","3.366667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3804258","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Xanthosoma","striatipes","Xanthosoma striatipes","(Kunth & C.D.Bouché) Madison",NA,"O. Huber","981","1977","South America","Venezuela","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4118451' target='other'> <mi>dwc_moreinfo</mi></a>","NY03804258",NA,NA,"08","23",NA,"Terreno situado entre la Carretera hacia Samariapo y la pista de aterrizaje del Aeropuerto de Puerto Ayacucho","-67.6","5.62","75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3804256","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Xanthosoma","striatipes","Xanthosoma striatipes","(Kunth & C.D.Bouché) Madison",NA,"A. Fernandez","5679","1989","South America","Venezuela","Bolívar","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4118440' target='other'> <mi>dwc_moreinfo</mi></a>","NY03804256",NA,NA,"06",NA,"Raúl Leoni","Cabeceras río Túriba y Caño La Miel, 45 Km al Este de Pijiquaos","-66.38","6.57","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","872963","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Xanthosoma","striatipes","Xanthosoma striatipes","(Kunth & C.D.Bouché) Madison",NA,"J. A. Ratter","R.4296","1978","South America","Brazil","Distrito Federal","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=950985' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872963","NY00872963_01",NA,"11","08","Brasília","Below Velhacap (close to Nucleo Bandeirant)","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","872954","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Xanthosoma","striatipes","Xanthosoma striatipes","(Kunth & C.D.Bouché) Madison",NA,"H. S. Irwin","23975","1969","South America","Brazil","Goiás","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=950900' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872954","NY00872954_01","M. T. Madison","03","07","Cavalcante","Chapada dos Veadeiros, ca. 8 km south of Cavalcante","-47.5","-13.87231","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","872955","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Xanthosoma","striatipes","Xanthosoma striatipes","(Kunth & C.D.Bouché) Madison",NA,"H. S. Irwin","18658","1968","South America","Brazil","Goiás","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=950904' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872955","NY00872955_01","M. T. Madison","01","16","Cocalzinho de Goiás","15 km N. of Corumbá de Goiás on road to Niquelândia, in valley of Rio Corumbá. Serra dos Pirineus.","-48.77","-15.8","1150","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
