"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","typeStatus","relatedCatalogItem","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","971522","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Barjonia","erecta","Barjonia erecta","(Vell.) K.Schum.","D. L. Spellman","H. S. Irwin","25879","1970","02","03","South America","Brazil","Minas Gerais","Paracatú","Serra da Anta, summit of chapada, ca. 10 km N.W. of Paracatú","-46.93505","-17.16625","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084711' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971522","NY00971522_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","971492","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Barjonia","erecta","Barjonia erecta","(Vell.) K.Schum.","C. Bitencourt","H. S. Irwin","24562","1969","03","17","South America","Brazil","Goiás","Cavalcante","Chapada dos Veadeiros, ca. 41 km north of Alto Paraíso de Goiás (formerly Veadeiros).","-47.5167","-13.74613","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084577' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971492","NY00971492_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","439794","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Barjonia","erecta","Barjonia erecta","(Vell.) K.Schum.","C. Bitencourt","W. Hoehne",NA,"1945","09","12","South America","Brazil","São Paulo","Sao Paulo","Sao Paulo","-46.63","-23.5403",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=195156' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439794","NY00439794_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","971526","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Barjonia","erecta","Barjonia erecta","(Vell.) K.Schum.","W. D. Stevens","R. D. Reeves","BRASPEX237","1988","04","29","South America","Brazil","Goiás","Niquelândia","Southernmost ultramafic hill of Tocantine complex.","-48.4594","-14.4742","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084723' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971526","NY00971526_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","971514","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Barjonia","erecta","Barjonia erecta","(Vell.) K.Schum.","N. M. F. da Silva","H. S. Irwin","5386","1964","08","21","South America","Brazil","Distrito Federal","Brasília","Ca. 35 km E. of Brasília.","-47.7","-15.62","700","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084679' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971514","NY00971514_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","971523","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Barjonia","erecta","Barjonia erecta","(Vell.) K.Schum.","D. L. Spellman","H. S. Irwin","26424","1970","02","20","South America","Brazil","Distrito Federal","Brasília","Cachoeira Piripiripau, ca. 15 km S. of Planaltina","-47.65125","-15.75985",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084714' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971523","NY00971523_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","971509","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Barjonia","erecta","Barjonia erecta","(Vell.) K.Schum.","C. Bitencourt","E. Y. Dawson","15082","1956","05","23","South America","Brazil","Goiás","Formoso","Region of the southern Serra Dourada. 18 km east of Formoso.","-48.83","-13.75",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084669' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971509","NY00971509_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","971521","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Barjonia","erecta","Barjonia erecta","(Vell.) K.Schum.","W. D. Stevens","H. S. Irwin","23884","1969","02","25","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, Serra dos Três Irmãos, ca. 48 km west of Montes Claros, road to Agua Boa.","-43.44586","-16.83155","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084700' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971521","NY00971521_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","971525","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Barjonia","erecta","Barjonia erecta","(Vell.) K.Schum.","W. D. Stevens","E. Onishi","21","1970","09","24","South America","Brazil","Distrito Federal","Brasília","Near Universidade de Brasília.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084702' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971525","NY00971525_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","971518","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Barjonia","erecta","Barjonia erecta","(Vell.) K.Schum.","N. M. F. da Silva","H. S. Irwin","15838","1966","05","14","South America","Brazil","Distrito Federal","Brasília","Ca. 30 km N. E. of Brasília","-47.71872","-15.5916","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084692' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971518","NY00971518_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
