"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","763861","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","flaccidum","Paspalum flaccidum","Nees","J. R. Swallen","8527","1946","02","12","South America","Brazil","Paraná","Estacao Experimental, Curitiba","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257677' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763861","NY00763861_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","763862","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","flaccidum","Paspalum flaccidum","Nees","J. R. Swallen","8368","1946","01","30","South America","Brazil","Paraná","Estacao Experimental, Ponta Grossa","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257678' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763862","NY00763862_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","763863","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","flaccidum","Paspalum flaccidum","Nees","M. A. Chase","11259","1930","03","15","South America","Brazil","Minas Gerais","Uberlandia(Uberlabinha)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257679' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763863","NY00763863_01","Uberlândia","-48.2769","-18.9186","850","870",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","763860","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","flaccidum","Paspalum flaccidum","Nees","P. K. H. Dusén","8928","1909","11","13","South America","Brazil","Paraná","Pinhaes","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257676' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763860","NY00763860_01",NA,"-49.157618","-25.419851",NA,NA,"E. L. Ekman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01066893","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","flaccidum","Paspalum flaccidum","Nees","J. R. Swallen","8368","1946","01","30","South America","Brazil","Paraná","Estação Experimental, Ponta Grossa","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1205024' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066893","NY01066893_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-01-06 11:42:43-03","UFPI-MRV","HDELTA","8","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","flaccidum","Paspalum flaccidum","Nees","Reis, R. B.; Costa, M. C. A.","62","2010","04","10",NA,"Brasil","Piauí","Pantanal",NA,"Erva de 0,2 a 0,7m.; inflorecência Panícula contraída, estames pretos numerosos.","HDELTA000008",NA,"Ilha Grande","-41.805111","-2.85",NA,NA,"Costa, M. C. A.","41°48'18,40''W","02°50'60,00''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:54:03-03","EAO","IAN","66249","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Paspalum","flaccidum","Paspalum flaccidum","Nees","Dusén, P","s.n.",NA,NA,NA,"Southern America","Brasil","Paraná",NA,NA,NA,"IAN066249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:54:03-03","EAO","IAN","71059","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Paspalum","flaccidum","Paspalum flaccidum","Nees","Otero, G","213","1933","02","06","Southern America","Brasil","Mato Grosso","Fazenda Ibirussú.",NA,NA,"IAN071059",NA,"Campo Grande",NA,NA,NA,NA,"Kuhlmann, JG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:54:03-03","EAO","IAN","87250","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Paspalum","flaccidum","Paspalum flaccidum","Nees","Macedo, A","3866","1955","07","22","Southern America","Brasil","Goiás","Chacuia.",NA,"Em touceiras à beira do corrego.","IAN087250",NA,"Natividade",NA,NA,NA,NA,"Black, GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:54:03-03","EAO","IAN","65026","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Paspalum","flaccidum","Paspalum flaccidum","Nees","Dusén, P","2321","1903","11","30","Southern America","Brasil","Paraná",NA,NA,NA,"IAN065026",NA,"Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-30 12:54:03-03","EAO","IAN","63017","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Paspalum","flaccidum","Paspalum flaccidum","Nees","Kuhlmann, JG","s.n.","1922","05","07","Southern America","Brasil","São Paulo","Antigo município de São Caetano.",NA,NA,"IAN063017",NA,"São Caetano do Sul","-46.5499992370605","-23.6200008392334",NA,NA,NA,NA,NA,"4028","auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-12-04 15:26:41-03","PUCPR","HUCP","24978","S","Plantae","Monocotiledonea",NA,"Poaceae","Paspalum","flaccidum","Paspalum flaccidum","Ness.","Oliveira, GC","1772","2002","11","27",NA,"Brasil","Minas Gerais","Fazenda das Perobas",NA,"Vereda. Herbácea ca. 0,40m de altura. LOcalizada a 250m da BR 497. na altura do km 18 Uberlândia, MG.","HUCP00024978","HUCP00024978","Uberlândia","-48.2771987915039","-18.9186000823975",NA,NA,NA,NA,NA,"58223","auto",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 10:19:22-03","NBC","NL-BOTANY","L.1296174","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Paspalum","flaccidum","Paspalum flaccidum","Nees","Balansa B",NA,"1875","11","19","Southern America","Paraguay",NA,"Caaguazu, dans les prairies.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1296174 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1296174","NL-L1296174",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"14","2020-02-08 10:19:22-03","NBC","NL-BOTANY","U.1520775","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Paspalum","flaccidum","Paspalum flaccidum","Nees","Swallen JR",NA,NA,NA,NA,"Southern America","Brazil","Paraná",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1520775 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1520775","NL-U1520775",NA,NA,NA,NA,NA,"Renvoize SA",NA,NA,NA,NA,"Magnoliopsidae","U 0027877",NA,NA,NA,NA,NA,NA
