"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber"
"1","2021-04-05 14:24:50-03","UNESC","CRI","11521","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","pseudobuxus","Ilex pseudobuxus","Reissek","A. Korte","2011","01","11","A. Korte","5620","2010","12","14","Brasil","Santa Catarina","Florianópolis","Praia de Jurerê Internacional.","-48.508056","-27.451111","48º30'29''W","27º27'4''S","6","6","Restinga","CRI000582","CRI000582",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:50-03","UNESC","CRI","8615","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","pseudobuxus","Ilex pseudobuxus","Reissek","Vanilde C. Zanette","2001","04","20","Clair M. Martinello",NA,"2001","04","20","Brasil","Santa Catarina","Criciúma","Mata da SATC e da UNESC.","-49.37","-28.678056","49º22'12''W","28º40'41''S","46","46",NA,"CRI000543","CRI000543",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:24:50-03","UNESC","CRI","3537","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","pseudobuxus","Ilex pseudobuxus","Reissek","Marcos Sobral",NA,NA,NA,"Maria Costa Rebelo",NA,"1992","11","18","Brasil","Santa Catarina","Jaguaruna","Morro Bonito - Sítio do Sr. Luiz Patrício.","-49.016667","-28.6","49º1'W","28º36'S","5","5",NA,"CRI000535","CRI000535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:24:50-03","UNESC","CRI","10459","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","pseudobuxus","Ilex pseudobuxus","Reissek","Vanilde C. Zanette","2002","05","17","Valdemar Boff",NA,"1999","04","14","Brasil","Santa Catarina","Araranguá","Morro dos Conventos.","-49.486111","-28.935278","49º29'10''W","28º56'7''S","5","5",NA,"CRI000544","CRI000544",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:24:50-03","UNESC","CRI","8413","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","pseudobuxus","Ilex pseudobuxus","Reissek","Vanilde Citadini- Zanette",NA,NA,NA,"Mainara F. Cascaes",NA,"2007","11","07","Brasil","Santa Catarina","Maracajá","Parque Ecológico Municipal de Maracajá.","-49.453056","-28.847222","49º27'11''W","28º50'50''S","63","63",NA,"CRI000539","CRI000539",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:24:50-03","UNESC","CRI","1528","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","pseudobuxus","Ilex pseudobuxus","Reissek","R. R. Negrelle",NA,NA,NA,"R. Negrelle; C. Londero","870","1993","03","20","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","10","10",NA,"CRI000538","CRI000538",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:24:50-03","UNESC","CRI","4740","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","pseudobuxus","Ilex pseudobuxus","Reissek","Vanilde Citadini- Zanette","1996","02","02","V. Citadini-Zanette; J. C. Caetano","2038","1996","02","02","Brasil",NA,"Brasil","Praia das Palmas, Lot. Palmar.","-48.559444","-27.315278","48º33'34''W","27º18'55''S","57","57",NA,"CRI000537","CRI000537",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:24:50-03","UNESC","CRI","1524","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","pseudobuxus","Ilex pseudobuxus","Reissek","R. R. Negrelle",NA,NA,NA,"R. Negrelle",NA,"1992","11","19","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","10","10",NA,"CRI000541","CRI000541",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:24:50-03","UNESC","CRI","13645","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","pseudobuxus","Ilex pseudobuxus","Reissek","Renato Colares","2018","05","25","Renato Colares; Thuany Machado",NA,"2018","04",NA,"Brasil","Santa Catarina","Siderópolis",NA,"-49.456389","-28.592778","49º27'23''W","28º35'34''S","98","98","Habitat: Terrestre Habito: Arbóreo","CRI012252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:24:50-03","UNESC","CRI","10547","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","pseudobuxus","Ilex pseudobuxus","Reissek","M. Verdi",NA,NA,NA,"M. Verdi; Luciana Mancini","4","2011","09","01","Brasil",NA,"Brasil",NA,"-49.413056","-28.984444","49º24'47''W","28º59'4''S","7","7",NA,"CRI000581","CRI000581",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
