"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","scientificNameAuthorship","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","imagecode","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","order","individualCount","fieldNumber","relatedCatalogItem"
"1","2020-09-23 10:42:09-03","E","E","312753","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ochrochlorum","Epidendrum ochrochlorum","Sano, P.T.; Laessoe, T.","52348","1992","02","26","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:314669","<a href=http://data.rbge.org.uk/herb/E00312753 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00312753",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-04 15:26:36-03","PUCPR","HUCP","21606","S","Plantae","Orchidaceae","Epidendrum","proligerum","Epidendrum proligerum","Keller, H","064","2009","04","04",NA,"Brasil",NA,NA,NA,"HUCP00002542","Monocotiledonea","Barb. Rodr.","Paraná","Morretes","Parque Estadual Pico do Marumbi","-48.834400177002","-25.476900100708","30514","HUCP00002542","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-27 21:09:32-03","PUCPR","HUCP","23416","S","Plantae","Orchidaceae","Epidendrum","proligerum","Epidendrum proligerum","Hekavey, C","022","2011","07","22",NA,"Brasil",NA,NA,NA,"HUCP00002799","Monocotiledonea","Barb. Rodr.","Paraná","São José dos Pinhais","RPPN Nhandara Guaricana da Usina","-49.2064018249512","-25.5347003936768","45291","HUCP00002799","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-27 21:09:32-03","PUCPR","HUCP","23409","S","Plantae","Orchidaceae","Epidendrum","proligerum","Epidendrum proligerum","Hekavey, C","021","2013","06","27",NA,"Brasil",NA,NA,NA,"HUCP00002943","Monocotiledonea","Barb. Rodr.","Paraná","São José dos Pinhais","RPPN Nhandara Guaricana da Usina","-49.2064018249512","-25.5347003936768","45291","HUCP00002943","auto","Hekavey, C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:28:37-03","UFBA","ALCB","026575","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","proligerum","Epidendrum proligerum","Guedes, ML; et al.","s/n","1993","08","14","Southern America","Brasil",NA,NA,"epífita ou terrestre. Frutos imaturos verdes.","ALCB006139","Monocotyledon","Barb.Rodr.","Bahia","Cairu","Baixo Sul","-39.033333","-13.483333",NA,"ALCB006139",NA,"Barberena, FFVA","2016","07","21","-39.033333","-13.483333",NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 12:17:30-03","ESALQ","ESA","75721","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ochrochlorum","Epidendrum ochrochlorum","Farah, F.T.; Aguiar, S.; Breier, T.B.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","2285.0","2001","04","14",NA,"Brasil",NA,NA,"Epífita.","ESA075721","Magnoliophyta","Barb. Rodr.","São Paulo","São Paulo","BLOQUEADO","-46.6300010681152","-23.5400009155273","53584","ESA075721","auto",NA,NA,NA,NA,NA,NA,"800","800",NA,NA,NA,NA,NA
"7","2020-11-04 12:17:30-03","ESALQ","ESA","75732","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ochrochlorum","Epidendrum ochrochlorum","Romão, G.O.; Herrerias, C.; Pereira, M.; Zevallos, P.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Nave, A.G.; Furlan, E.","588.0","2001","04","11",NA,"Brasil",NA,NA,"Epífita, flores verde-claras. Interior de mata.","ESA075732","Magnoliophyta","Barb. Rodr.","São Paulo","São Paulo","BLOQUEADO","-46.6300010681152","-23.5400009155273","53584","ESA075732","auto",NA,NA,NA,NA,NA,NA,"800","800",NA,NA,NA,NA,NA
"8","2020-11-04 12:17:30-03","ESALQ","ESA","75665","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ochrochlorum","Epidendrum ochrochlorum","Farah, F.T.; Aguiar, S.; Breier, T.B.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","2088.0","2001","04","10",NA,"Brasil",NA,NA,"Epífita; flores esverdeadas.","ESA075665","Magnoliophyta","Barb. Rodr.","São Paulo","São Paulo","BLOQUEADO","-46.6300010681152","-23.5400009155273","53584","ESA075665","auto",NA,NA,NA,NA,NA,NA,"800","800",NA,NA,NA,NA,NA
"9","2020-11-04 12:17:30-03","ESALQ","ESA","75764","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ochrochlorum","Epidendrum ochrochlorum","Souza, J.P.; Souza, V.C.; Ivanauskas, N.M.; Rodrigues, R.R.; Gandolfi, S.; Tamashiro, J.Y.","3555.0","2001","04","14",NA,"Brasil",NA,NA,"Epífita, flores verde-arroxeadas. Campo sujo.","ESA075764","Magnoliophyta","Barb. Rodr.","São Paulo","São Paulo","BLOQUEADO","-46.6300010681152","-23.5400009155273","53584","ESA075764","auto",NA,NA,NA,NA,NA,NA,"850","850",NA,NA,NA,NA,NA
"10","2020-11-04 12:17:30-03","ESALQ","ESA","76580","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ochrochlorum","Epidendrum ochrochlorum","Forster, W.; Mazine, F.F.; Moura, C.; Oliveira, R.C.; Paranaguá, P.A.; Silveira, E.R.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.","425.0","2000","04","19",NA,"Brasil",NA,NA,"Epífita crescendo a 3 metros de altura no hospedeiro, botões verdes","ESA076580","Magnoliophyta","(Barb. Rodr.) Lindl.","São Paulo","São Sebastião","BLOQUEADO","-45.4099998474121","-23.7600002288818","41977","ESA076580","auto","Forster, W.","2002","04","19",NA,NA,NA,NA,NA,NA,NA,NA,NA
