"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","continentOcean","imagecode","class","order","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","typeStatus","individualCount","preparationType"
"1","2020-11-13 09:20:39-03","UFRJ","RFA","18496","PreservedSpecimen","Plantae","Poaceae","Apoclada","cannavieira","Apoclada cannavieira","(Silveira) McClure","T.R. Soderstron","1974","G.G. Hatschbach","31939","1973","05","15","Brasil","Mato Grosso do Sul","Rio Verde de Mato Grosso","Rodovia Campo Grande - Cuiabá","-54.8442001342773","-18.9181003570557","87429","Caspitosa, 2 m de altura.","RFA30555","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-14 14:11:11-03","UFBA","ALCB","60409","PreservedSpecimen","Plantae","Poaceae","Apoclada","cannavieira","Apoclada cannavieira","(H.J.Lam.) de Wit","Clarck, LG",NA,"Hatschbach, G; Schinini, A; Silva, JM","64594","1996","04","12","Brasil","Minas Gerais","São Gonçalo do Abaeté","Rod. BR-365, 40 km S do trevo com a Rod. BR-040","-45.8333015441895","-18.3383007049561","75342","cespitosa, 3 m.","ALCB020579","auto","Monocotyledon","Southern America","ALCB020579",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:16:03-03","NBC","NL-BOTANY","L.1213423","PreservedSpecimen","Plantae","Gramineae","Apoclada","cannavieira","Apoclada cannavieira","(Silveira) McClure",NA,NA,"Heringer EP; et al.",NA,"1980","04","15","Brazil",NA,NA,"Bacia do Rio S. Bartolomeu.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1213423 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1213423",NA,NA,"Southern America","NL-L1213423","Magnoliopsidae","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:16:03-03","NBC","NL-BOTANY","L.1213424","PreservedSpecimen","Plantae","Gramineae","Apoclada","cannavieira","Apoclada cannavieira","(Silveira) McClure",NA,NA,"Heringer EP; et al.",NA,"1980","04","15","Brazil",NA,NA,"Bacia do Rio S. Bartolomeu.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1213424 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1213424",NA,NA,"Southern America","NL-L1213424","Magnoliopsidae","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 12:18:43-03","ESALQ","ESA","9848","PreservedSpecimen","Plantae","Poaceae","Filgueirasia","cannavieira","Filgueirasia cannavieira","(A.Silv.) McClure","Ferreira, F.M.","2009","Filgueiras, T.S.","1971.0","1990","01","14","Brasil","Minas Gerais","São Gonçalo do Abaeté",NA,"-45.8333015441895","-18.3383007049561","75342",NA,"ESA009848","auto","Magnoliophyta",NA,"ESA009848",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 12:18:43-03","ESALQ","ESA","83380","PreservedSpecimen","Plantae","Poaceae","Filgueirasia","cannavieira","Filgueirasia cannavieira","(Alvaro da Silveira) McClure","Ferreira, F.M.","2009","Hatschbach, G. et al.","64594.0","1996","04","12","Brasil","Minas Gerais","São Gonçalo do Abaeté",NA,"-45.8333015441895","-18.3383007049561","75342",NA,"ESA083380","auto","Magnoliophyta",NA,"ESA083380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-08-27 13:25:44-03","IAP","PACA-AGP","87124","PreservedSpecimen","Plantae","Gramineae","Apoclada","cannavieira","Apoclada cannavieira","(Silveira) McClure","L.G. Clark",NA,"Hatschbach, G.","64594","1996","04","12","Brasil","MG","São Gonçalo do Abaeté","BR-365 40Km S do trevo com a BR-040","-45.8333015441895","-18.3383007049561","75342","cespitosa 3m Habitat: cerrado","PACA087124","auto","Magnoliophyta",NA,NA,"Liliatae","Cyperales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-21 14:42:34-03","UFJF","CESJ","41692","PreservedSpecimen","Plantae","Poaceae","Filgueirasia","cannavieira","Filgueirasia cannavieira","(Silveira) Guala",NA,"2012","G. Hatschbach; A; Schinini; J.M. Silva","64594","1996","04","12","Brasil","Minas Gerais","São Gonçalo do Abaeté","Rod. BR-365, 40 Km S do trevo com a Rod BR-040","-45.8333015441895","-18.3383007049561","75342","Cespitosa, 3 m. Cerrado.","CESJ041692","auto","Angiosperma","América do Sul",NA,NA,NA,"04",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:20:29-03","UNICAMP","UEC","127693","S","Plantae","Poaceae","Filgueirasia","cannavieira","Filgueirasia cannavieira","(Silveira) Guala","Filgueiras, TS","2004","Fonseca, ML; Mendonça, RC; Oliveira, FCA; Cardoso, E","5119","2004","05","14","Brazil","Goiás","Cavalcante","Fazenda Cachoeira da Prata.","-47.655833","-13.418611",NA,"Erva ca. 3,0 m altura; caule amarelado; inflorescência cor verde. Abundante.; Solo arenoso. Relevo levemente ondulado. Vegetação cerrado ralo.","UEC060307",NA,"Liliopsida",NA,"UEC060307",NA,NA,"09","-47.655833","-13.418611","1097","1097",NA,NA,NA,NA
"10","2021-03-01 16:20:29-03","UNICAMP","UEC","29560","S","Plantae","Poaceae","Filgueirasia","cannavieira","Filgueirasia cannavieira","(Silveira) Guala","Soderstrom, TM","1980","Heringer, EP; Filgueiras, TS; Mendonça, RC; Pereira, BAS; Heringer-Salles, AE","4409","1980","04","15","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu., Quadricula 173.","-47.9296989440918","-15.7797002792358","70570","Bambu de colmos eretos, crescendo em touceiras vigorosas. Cariopse grande, castanho. Anteras amarelas. Poucos com flor.; Cerrado sujeito a fogo anual. Visto apenas nesta área.","UEC071237","auto","Liliopsida",NA,"UEC071237",NA,NA,"06",NA,NA,NA,NA,NA,NA,NA,NA
