"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","monthIdentified","infraspecificEpithet","class","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","245729","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia","Cogn.","syntype","L. Riedel","2265","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=728308' target='other'> <mi>dwc_moreinfo</mi></a>","NY00245729","NY00245729_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","245728","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia","Cogn.","syntype","L. Riedel","2265","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=728307' target='other'> <mi>dwc_moreinfo</mi></a>","NY00245728","NY00245728_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-01-14 15:31:41-03","MN","R","9400","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia","Cogn.",NA,"Glaziou, A.F.M.","17517 b",NA,"Brasil",NA,NA,"Plantas do Brasil Central","R000009400","R000009400_001","Renner, S.S.","1987","1884","11","13","São Paulo","Mogi das Cruzes","-46.1883010864258","-23.5228004455566","28666","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-02-15 11:45:51-02","IPA","IPA","9956","S","Plantae","Plantae",NA,"Melastomataceae","Rhynchanthera","stricta","Rhynchanthera stricta","Cogn.",NA,"Pickel, B.","5186","Southern America","Brasil","Casa da Força, no campo baixo.",NA,"Flores roxas.","IPA0009956",NA,"Gehrt","1942","1941","01","26","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto","04",NA,NA,NA,NA,NA,NA,NA
"5","2020-12-20 21:18:24-03","UFV","VIC","4716","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia hirsuta","Cogn ex Char",NA,"Dombrowski, L.T.; Saito, Y.","s.n.",NA,"Brasil","Capão da Imbuia",NA,"em campo, frequente.","VIC004716","VIC004716",NA,NA,NA,NA,NA,"Paraná","Curitiba","-49.2731018066406","-25.4277992248535","25180","auto",NA,"hirsuta",NA,NA,NA,NA,NA,NA
"6","2014-10-14 15:56:55-03","BS","M","M-0165816","S","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia","Cogn.","SYNTYPE","Riedel, L.",NA,NA,"Brasil",NA,NA,NA,"M0165816",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA
"7","2020-12-21 16:35:04-03","MBM","MBM","225809","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia hirsuta","Cogn.",NA,"Imaguire, N.","41","Southern America","Brazil","Estrada Curitiba - Palmeira, km 60",NA,NA,"MBM225809",NA,"Wurdack, J.J.",NA,NA,NA,NA,"Paraná",NA,NA,NA,NA,NA,NA,"hirsuta",NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:35:04-03","MBM","MBM","225793","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia hirsuta","Cogn.",NA,"Dombrowski, L.T.; et al.; et al.","1303","Southern America","Brazil","Capão da Imbuia",NA,NA,"MBM225793",NA,"Wurdack, J.J.",NA,NA,NA,NA,"Paraná","Curitiba","-49.2731018066406","-25.4277992248535","25180","auto",NA,"hirsuta",NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:35:04-03","MBM","MBM","225800","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia hirsuta","Cogn.",NA,"Dombrowski, L.T.; et al.; et al.","1275","Southern America","Brazil","Capão da Imbuia",NA,NA,"MBM225800",NA,"Wurdack, J.J.",NA,NA,NA,NA,"Paraná","Curitiba","-49.2731018066406","-25.4277992248535","25180","auto",NA,"hirsuta",NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:35:04-03","MBM","MBM","225804","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia hirsuta","Cogn.",NA,"Dombrowski, L.T.","5684","Southern America","Brazil","Capão da Imbuia",NA,NA,"MBM225804",NA,"Wurdack, J.J.",NA,NA,NA,NA,"Paraná","Curitiba","-49.2731018066406","-25.4277992248535","25180","auto",NA,"hirsuta",NA,NA,NA,NA,NA,NA
