"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","phylum","order","scientificNameAuthorship","identifiedBy","imagecode","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:40:19-03","E","E","326287","PreservedSpecimen","Plantae","Leguminosae","Acacia","riparia","Acacia riparia","unspecified kind of","Matthews, Andrew","1568","1905","01","08","W. Tropical South America","PE","herbarium specimen of unspecif","BGBASE:372697","<a href=http://data.rbge.org.uk/herb/E00326287 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00326287",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:19-03","E","E","312889","PreservedSpecimen","Plantae","Leguminosae","Acacia","riparia","Acacia riparia",NA,"Harley, R.M.; Souza, V.C.; Sakuragui, C.M.; Nic Lughadha, E.","50178","1991","12","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:315167","<a href=http://data.rbge.org.uk/herb/E00312889 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00312889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:19-03","E","E","268758","PreservedSpecimen","Plantae","Leguminosae","Acacia","riparia","Acacia riparia",NA,"Pendry, C.A.","717","1999","04","10","W. Tropical South America","BO","herbarium specimen of unspecif","BGBASE:90321","<a href=http://data.rbge.org.uk/herb/E00268758 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00268758","Cochabamba","Campero","Between Aiquile and Peña Colorada ca. 40 km from Aiquile","-64.933889","-18.186111","-64.933889","-18.186111","2200","2200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:40:19-03","E","E","190428","PreservedSpecimen","Plantae","Leguminosae","Acacia","riparia","Acacia riparia",NA,"V.C. Souza, C.M. Sakuragui",NA,"1991","11","22","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:211184","<a href=http://data.rbge.org.uk/herb/E00190428 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00190428","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","590350","PreservedSpecimen","Plantae","Fabaceae","Acacia","riparia","Acacia riparia",NA,"W. Ganev","3499","1994","07","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=494221' target='other'> <mi>dwc_moreinfo</mi></a>","NY00590350","Bahia","Abaíra","Engenho de Baixo. Morro do Cuscuzeiro, caminho Casa Velha de Arthur para Boa Vista","-41.82","-13.32",NA,NA,"1150","1150","Magnoliophyta","Fabales","Kunth","G. P. Lewis","NY00590350_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","754942","PreservedSpecimen","Plantae","Fabaceae","Acacia","riparia","Acacia riparia",NA,"P. J. M. Maas","P12940","1971","05","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=494224' target='other'> <mi>dwc_moreinfo</mi></a>","NY00754942","Acre","Porto Walter","Jurua Mirím, near Cucania","-72.7439","-8.2686",NA,NA,NA,NA,"Magnoliophyta","Fabales","Kunth","M. T. K. Arroyo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-27 16:51:00-03","NY","NYBG","00749053","PreservedSpecimen","Plantae","Fabaceae","Acacia","riparia","Acacia riparia",NA,"T. J. Killeen","4420","1992","08","20","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=887561' target='other'> <mi>dwc_moreinfo</mi></a>","NY00749053","Pando","Madre de Dios","Concesion de Mobil Oil.","-67.25","-12.17",NA,NA,"170","170","Magnoliophyta","Fabales",NA,"T. J. Killeen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1075266","PreservedSpecimen","Plantae","Fabaceae","Acacia","riparia","Acacia riparia",NA,"E. Forero","6407","1968","07","19","South America","Brazil","sheet",NA,"Projeto Flora Amazonica collections Forero 6300-6431 collected under G. T. Prance collection number series <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=494218' target='other'> <mi>dwc_moreinfo</mi></a>","NY01075266","Acre",NA,"Quixadá. Road Abuña to Rio Branco, km 242-246, vicinity of campinas","-67.4365202","-10.0994597",NA,NA,NA,NA,"Magnoliophyta","Fabales","Kunth",NA,"NY01075266_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1144846","PreservedSpecimen","Plantae","Fabaceae","Acacia","riparia","Acacia riparia",NA,"D. B. O. S. Cardoso","351","2005","03","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1299463' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144846","Bahia","Ruy Barbosa","Serra do Orodó, estrada para o Riacho da Prata.","-40.4936","-12.3144",NA,NA,"600","600","Magnoliophyta","Fabales","Kunth","L. P. de Queiroz","NY01144846_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","36391","PreservedSpecimen","Plantae","Fabaceae","Acacia","riparia","Acacia riparia",NA,"J. Bosco","35","1987","05","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=494219' target='other'> <mi>dwc_moreinfo</mi></a>","NY00036391","Acre","Rio Branco","Estrada do Barro Vermelho, Km 16.","-67.8097","-9.9747",NA,NA,NA,NA,"Magnoliophyta","Fabales","Kunth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
