"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","coordinatePrecision","geoFlag","fieldNumber","individualCount","infraspecificEpithet","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","872430","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Alismataceae","Limnocharis","laforestii","Limnocharis laforestii","Duchass. ex Griseb.","R. R. Haynes; L. B. Holm-Nielsen","G. Eiten","3746","1962","03","23","South America","Brazil","Maranhão","Lorêto","Ilha de Balsas region, between the Balsas & Parnaíba Rivers. 1/2 km west of main house of Fazenda Morros, ca. 35 km south of Lorêto.","-45.07","-7.38","300","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944897' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872430","NY00872430_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","872431","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Alismataceae","Limnocharis","laforestii","Limnocharis laforestii","Duchass. ex Griseb.","R. R. Haynes","W. R. Anderson","12408","1982","02","21","South America","Brazil","Goiás","Jataí","13 km N of Jataí on road to Caiaponia","-51.7142","-17.8817","780","780","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944914' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872431","NY00872431_01 NY00872431_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1183684","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Alismataceae","Limnocharis","laforestii","Limnocharis laforestii","Duchass. ex Griseb.","D. C. Zappi; N. Biggs","D. Sasaki","2095","2008","02","01","South America","Brazil","Mato Grosso","Novo Mundo","Parque Estadual Cristalino. Trecho de mata no sudeste do parque próximo à Usina do Rochedo","-55.396989","-9.655967","295","295","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1452200' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183684","NY01183684_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","872430","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Alismataceae","Limnocharis","laforestii","Limnocharis laforestii","Duchass. ex Griseb.","R. R. Haynes; L. B. Holm-Nielsen","G. Eiten","3746","1962","03","23","South America","Brazil","Maranhão","Lorêto","Ilha de Balsas region, between the Balsas & Parnaíba Rivers. 1/2 km west of main house of Fazenda Morros, ca. 35 km south of Lorêto.","-45.07","-7.38","300","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944897' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872430","NY00872430_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","872431","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Alismataceae","Limnocharis","laforestii","Limnocharis laforestii","Duchass. ex Griseb.","R. R. Haynes","W. R. Anderson","12408","1982","02","21","South America","Brazil","Goiás","Jataí","13 km N of Jataí on road to Caiaponia","-51.7142","-17.8817","780","780","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944914' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872431","NY00872431_01 NY00872431_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1183684","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Alismataceae","Limnocharis","laforestii","Limnocharis laforestii","Duchass. ex Griseb.","D. C. Zappi; N. Biggs","D. Sasaki","2095","2008","02","01","South America","Brazil","Mato Grosso","Novo Mundo","Parque Estadual Cristalino. Trecho de mata no sudeste do parque próximo à Usina do Rochedo","-55.396989","-9.655967","295","295","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1452200' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183684","NY01183684_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-09-10 21:42:11-03","UNEMAT","TANG","2985","S","Plantae",NA,NA,"Alismataceae","Limnocharis","laforestii","Limnocharis laforestii","Duchass.",NA,"Abdo, MSA","533","2016","03","31",NA,"Brasil","Mato Grosso","Tangara da Serra","Córrego Figueira, lagoa para descedentação de gado.","-57.501467","-14.636469",NA,NA,NA,NA,"TANG000002985",NA,"-57.501467","-14.636469",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-09-10 21:42:11-03","UNEMAT","TANG","2985","S","Plantae",NA,NA,"Alismataceae","Limnocharis","laforestii","Limnocharis laforestii","Duchass.",NA,"Abdo, MSA","533","2016","03","31",NA,"Brasil","Mato Grosso","Tangara da Serra","Córrego Figueira, lagoa para descedentação de gado.","-57.501467","-14.636469",NA,NA,NA,NA,"TANG000002985",NA,"-57.501467","-14.636469",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:27:20-03","UFBA","ALCB","047690","PreservedSpecimen","Plantae","Monocotyledon",NA,"Alismataceae","Limnocharis","laforesti","Limnocharis laforesti","Griseb.","Sousa, DJL","Miranda Silva, EB; Harley, RM; Franca, F; Rios, L","380","2000","03","30","Southern America","Brasil","Bahia","Formosa do Rio Preto","Oeste, Arroz","-45.271389","-11.059444","480","480",NA,"aquática, anfíbia. Folhas cartáceas, concolores, algumas variegadas na face adaxial, látex branco. Flor com sépalas verde-claro, corola laranja; ovário verde, estaminódios e anteras amarelas, filetes esverdeados. Frutos imaturos verde","ALCB004769","ALCB004769","-45.271389","-11.059444","2012","09","13",NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:27:20-03","UFBA","ALCB","047690","PreservedSpecimen","Plantae","Monocotyledon",NA,"Alismataceae","Limnocharis","laforesti","Limnocharis laforesti","Griseb.","Sousa, DJL","Miranda Silva, EB; Harley, RM; Franca, F; Rios, L","380","2000","03","30","Southern America","Brasil","Bahia","Formosa do Rio Preto","Oeste, Arroz","-45.271389","-11.059444","480","480",NA,"aquática, anfíbia. Folhas cartáceas, concolores, algumas variegadas na face adaxial, látex branco. Flor com sépalas verde-claro, corola laranja; ovário verde, estaminódios e anteras amarelas, filetes esverdeados. Frutos imaturos verde","ALCB004769","ALCB004769","-45.271389","-11.059444","2012","09","13",NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 08:43:25-03","NBC","NL-BOTANY","U.1361099","PreservedSpecimen","Plantae",NA,"Alismatales","Limnocharitaceae","Limnocharis","laforestii","Limnocharis laforestii","Duchass. ex Griseb.",NA,"Wingfield RC",NA,"1978","04","25","Southern America","Venezuela",NA,NA,"Flora del Estado Falcon. Carretera Falcón-Zutia.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1361099 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1361099","NL-U1361099",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"12","2020-02-08 08:43:25-03","NBC","NL-BOTANY","U.1361099","PreservedSpecimen","Plantae",NA,"Alismatales","Limnocharitaceae","Limnocharis","laforestii","Limnocharis laforestii","Duchass. ex Griseb.",NA,"Wingfield RC",NA,"1978","04","25","Southern America","Venezuela",NA,NA,"Flora del Estado Falcon. Carretera Falcón-Zutia.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1361099 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1361099","NL-U1361099",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
