"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","relationshipType","relatedCatalogItem","class","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","319173","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","chrysotricha","Ipomoea chrysotricha","Meisn.","D. F. Austin","syntype","L. Riedel","610","1826","10","South America","Brazil","In campis Rio Pardo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=121876' target='other'> <mi>dwc_moreinfo</mi></a>","NY00319173","NY00319173_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1013978","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","hirsutissima","Ipomoea hirsutissima","Gardner","R. Simão-Bianchini",NA,"H. S. Irwin","26055","1970","02","South America","Brazil","Serra da Anta, summit of chapada, ca. 2 km N. of Paracatú","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106931' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013978","NY01013978_01","05","Minas Gerais","Paracatú","-46.8727","-17.22555","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1013977","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","hirsutissima","Ipomoea hirsutissima","Gardner","R. Simão-Bianchini",NA,"H. S. Irwin","22318","1969","01","South America","Brazil","Ca. 20km SW of Diamantina. Serra do Espinhaço.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106928' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013977","NY01013977_01","20","Minas Gerais",NA,"-43.7","-18.37","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","319193","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","hirsutissima","Ipomoea hirsutissima","Gardner",NA,"isotype","G. Gardner","3355",NA,NA,"South America","Brazil","Mission Duro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=401968' target='other'> <mi>dwc_moreinfo</mi></a>","NY00319193","NY00319193_01",NA,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-30 12:56:00-03","NY","NYBG","02065509","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","hirsutissima","Ipomoea hirsutissima macrantha","Hassl.",NA,NA,"E. Hassler","9114","1905","03","South America","Paraguay","In viciniis Caaguazú","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2202553' target='other'> <mi>dwc_moreinfo</mi></a>","NY02065509",NA,NA,"Caaguazú",NA,NA,NA,NA,NA,"macrantha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","319194","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","hirsutissima","Ipomoea hirsutissima","Gardner","C. A. O'Donell","isotype","G. Gardner","3355","1836",NA,"South America","Brazil","Mission Duro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=401965' target='other'> <mi>dwc_moreinfo</mi></a>","NY00319194","NY00319194_01",NA,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1013979","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","hirsutissima","Ipomoea hirsutissima","Gardner","D. F. Austin",NA,"H. S. Irwin","12326","1966","02","South America","Brazil","Chapada dos Veadeiros, ca. 15 km W. of Alto Paraíso de Goiás (formerly Veadeiros)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106935' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013979","NY01013979_01","08","Goiás","Alto Paraíso de Goiás","-47.65562","-14.1167","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 12:26:00-03","NY","NYBG","494056","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","hirsutissima","Ipomoea hirsutissima",NA,"R. Simão-Bianchini",NA,"I. G. Vargas Caballero","3287","1994","10","South America","Bolivia","Cerro mutún, 7 km al NE de la pista de aterrizaje del campamento minero (25 km al S de Puerto Suárez)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=401967' target='other'> <mi>dwc_moreinfo</mi></a>","NY00494056",NA,"17","Santa Cruz","Chiquitos","-57.86017","-19.20933","500","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01090724","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","hirsutissima","Ipomoea hirsutissima","Gardner","J. R. I. Wood",NA,"G. J. Shepherd","3729","1976","11","South America","Brazil","Estrada Alto Paraíso a Campo Belo, km 17","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1225205' target='other'> <mi>dwc_moreinfo</mi></a>","NY01090724","NY01090724_01","28","Goiás","Alto Paraíso de Goiás","-47.5097","-14.1325",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01090685","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","hirsutissima","Ipomoea hirsutissima","Gardner","J. R. I. Wood",NA,"H. S. Irwin","13629","1966","03","South America","Brazil","Serra dos Cristais, ca. 15 km W. of Cristalina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1224947' target='other'> <mi>dwc_moreinfo</mi></a>","NY01090685","NY01090685_01","06","Goiás","Cristalina","-47.7405556","-16.75","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
