"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","typeStatus","individualCount","verbatimLongitude","verbatimLatitude","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","503272","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","morii","Xyris morii","Kral & L.B.Sm.","R. Kral; L. B. Smith","S. A. Mori","12470","1979","07","22","South America","Brazil","Bahia","Rio de Contas","Pico das Almas, a 18 km ao SNW de Rio de Contas","-41.95","-13.55","1600","1850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=203145' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503272","NY00503272_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-02-15 11:52:09-02","IPA","IPA","56444","S","Plantae","Plantae",NA,"Xyridaceae","Xyris","morii","Xyris morii","Kral & L.B.Sm.","Wanderley, M.G.L.","Alves, M.; et al.; et al.","EBNN1318","1997","10","21","Southern America","Brasil","Bahia","Rio de Contas","Margem e arredores do Rio Brumadinho, próximo ao vilarejo de Mato Grosso","-41.8114013671875","-13.5789003372192",NA,NA,NA,"Herbácea, bainha castanho escura, pilosa, espiga sem mancha dorsal, pardo-clara, frequênte; Mata ciliar e Cerrado","IPA0056444",NA,"2012","02","27","49773","auto",NA,NA,NA,NA,NA,NA
"3","2019-02-15 11:52:09-02","IPA","IPA","62042","S","Plantae","Plantae",NA,"Xyridaceae","Xyris","morii","Xyris morii","Kral & L.B.Sm.","Wanderley, M.G.L.","Costa e Silva, M.B.; Alves, M.; Loiola, M.I.B.; Alves, M.; Loiola, M.I.B.","1318","1995","10","17","Southern America","Brasil","Bahia","Rio de Contas","Pico das Almas, primeiro campo aberto após as pedras.","-41.8114013671875","-13.5789003372192",NA,NA,NA,"Erva cespitosa ca. 50cm com o escapo floral. Folhas com bainha marron e com tricomas nas margen Espigueta marron sem brilho.","IPA0062042",NA,"2012","02","27","49773","auto",NA,NA,NA,NA,NA,NA
"4","2020-09-12 05:00:02-03","US","US","2830878","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","morii","Xyris morii","Kral & L.B. Sm.",NA,"S. A. Mori","12470","1979","7","22","South America - Neotropics","Brazil","Bahia","Rio de Contas","Pico das Almas, SNW of Rio de Contas.","-41.8114013671875","-13.5789003372192","1600","1850",NA,NA,"US00088183","US00088183_01",NA,NA,NA,"49773","auto","Monocotyledonae","Isotype","1",NA,NA,NA
"5","2019-10-07 09:22:44-03","UEFS","HUEFS","11405","PreservedSpecimen","Plantae","Angiospermae","Poales","Xyridaceae","Xyris","morii","Xyris morii","Kral & L.B.Sm.","M.G.L.Wanderley","Ganev, W.","962","1992","08","25",NA,"Brasil","Bahia","Piatã",NA,"-41.833333","-13.1","1400","1400",NA,NA,"HUEFS0011405","HUEFS0011405","2003","11",NA,NA,NA,"Lilianae",NA,NA,"41W50'","13S6'",NA
"6","2019-10-07 09:22:44-03","UEFS","HUEFS","12098","PreservedSpecimen","Plantae","Angiospermae","Poales","Xyridaceae","Xyris","morii","Xyris morii","Kral & L.B.Sm.","M.G.L.Wanderley","Ganev, W.","1034","1992","09","08",NA,"Brasil","Bahia","Piatã",NA,"-41.883333","-13.083333","1400","1400",NA,NA,"HUEFS0012098","HUEFS0012098","2003","11",NA,NA,NA,"Lilianae",NA,NA,"41W53'","13S5'",NA
"7","2020-07-23 12:24:44-03","CEPLAC","CEPEC","29232","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","morii","Xyris morii",NA,"R. Kral","S. A. Mori","12470","1979","07","22",NA,"Brasil","Bahia","RIO DE CONTAS","Pico das Almas, a 18Km ao WNW da cidade.","-41.95","-13.55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holótipo",NA,"41W57'","13S33'","30/07/1980"
"8","2020-10-22 10:13:55-03","IBt","SP","351971","S","Plantae",NA,NA,"Xyridaceae","Xyris","morii","Xyris morii","Kral & L.B.Sm.",NA,"Ganev, W","962","1992","08","25",NA,"Brasil","Bahia","Piatã",NA,"-41.7728004455566","-13.1519002914429",NA,NA,NA,NA,NA,NA,NA,NA,NA,"41184","auto",NA,NA,NA,NA,NA,NA
"9","2020-10-22 10:13:55-03","IBt","SP","351973","S","Plantae",NA,NA,"Xyridaceae","Xyris","morii","Xyris morii","Kral & L.B.Sm.",NA,"Ganev, W","1034","1992","09","08",NA,"Brasil","Bahia","Piatã",NA,"-41.7728004455566","-13.1519002914429",NA,NA,NA,NA,NA,NA,NA,NA,NA,"41184","auto",NA,NA,NA,NA,NA,NA
