"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","yearIdentified","monthIdentified","dayIdentified","individualCount","relatedCatalogItem"
"1","2020-09-23 10:39:49-03","E","E","83730","PreservedSpecimen","Plantae","Guttiferae","Kielmeyera","lathrophyton","Kielmeyera lathrophyton","Simon, M.F., Proenca, C. & Cardosa, C.F. Rozendo","54","1996","12","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:92522","<a href=http://data.rbge.org.uk/herb/E00083730 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083730",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:49-03","E","E","221522","PreservedSpecimen","Plantae","Guttiferae","Kielmeyera","lathrophyton","Kielmeyera lathrophyton","Ratter, J.A., Wagner Borges Machado, J. & Rocha, M.",NA,"1982","09","14","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:231737","<a href=http://data.rbge.org.uk/herb/E00221522 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00221522",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:39:49-03","E","E","221521","PreservedSpecimen","Plantae","Guttiferae","Kielmeyera","lathrophyton","Kielmeyera lathrophyton","Ratter, J.A.; Bridgewater, S.; Filho, J. Fonsêca & Lima, E. de S.",NA,"1993","07","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:231736","<a href=http://data.rbge.org.uk/herb/E00221521 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00221521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:39:49-03","E","E","221520","PreservedSpecimen","Plantae","Guttiferae","Kielmeyera","lathrophyton","Kielmeyera lathrophyton","Ratter, J.A.; Nogueira Silva, P.E. & Wagner Borges Machado, J.",NA,"1991","02","03","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:231734","<a href=http://data.rbge.org.uk/herb/E00221520 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00221520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:39:49-03","E","E","221523","PreservedSpecimen","Plantae","Guttiferae","Kielmeyera","lathrophyton","Kielmeyera lathrophyton","Gavilanes, M.L.",NA,"1990","04","22","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:231741","<a href=http://data.rbge.org.uk/herb/E00221523 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00221523",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02701522","PreservedSpecimen","Plantae","Calophyllaceae","Kielmeyera","lathrophyton","Kielmeyera lathrophyton","M. F. Simon","54","1996","12","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2982567' target='other'> <mi>dwc_moreinfo</mi></a>","NY02701522","Magnoliophyta","Malpighiales","Saddi","Distrito Federal","Brasília","Cachoeira do Colorado, próximo à fábrica de asfalto. Centro Oeste. Declive rochoso.","-47.88","-15.58","NY02701522_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02701519","PreservedSpecimen","Plantae","Calophyllaceae","Kielmeyera","lathrophyton","Kielmeyera lathrophyton","J. A. Ratter","6893","1993","07","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2982564' target='other'> <mi>dwc_moreinfo</mi></a>","NY02701519","Magnoliophyta","Malpighiales","Saddi","Tocantins",NA,"Approximately 10 km S of Figueiropolis on the Brasilia-Belém highway,","-49.166667","-12.2","NY02701519_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02701521","PreservedSpecimen","Plantae","Calophyllaceae","Kielmeyera","lathrophyton","Kielmeyera lathrophyton","M. F. Simon","54","1996","12","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2982566' target='other'> <mi>dwc_moreinfo</mi></a>","NY02701521","Magnoliophyta","Malpighiales","Saddi","Distrito Federal","Brasília","Cachoeira do Colorado, próximo à fábrica de asfalto. Centro Oeste. Declive rochoso.","-47.88","-15.58","NY02701521_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02701745","PreservedSpecimen","Plantae","Calophyllaceae","Kielmeyera","lathrophyton","Kielmeyera lathrophyton","J. A. Ratter","6893","1993","07","20","South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2982864' target='other'> <mi>dwc_moreinfo</mi></a>","NY02701745","Magnoliophyta","Malpighiales","Saddi","Tocantins",NA,"Approximately 10 km S of Figueiropolis on the Brasilia-Belém highway,","-49.166667","-12.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02701741","PreservedSpecimen","Plantae","Calophyllaceae","Kielmeyera","lathrophyton","Kielmeyera lathrophyton","H. S. Irwin","18202","1966","07","14","South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2982859' target='other'> <mi>dwc_moreinfo</mi></a>","NY02701741","Magnoliophyta","Malpighiales","Saddi","Distrito Federal","Brasília","Jardim Zoológico, Brasília, D.F.","-47.95","-15.85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
