"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","fieldNumber","typeStatus","individualCount","class","relatedCatalogItem"
"1","2021-04-05 14:25:33-03","UNESC","CRI","8515","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","regnelli","Tibouchina regnelli","Cogn.","A. L. de Gasper","N. L. de Souza; E. Brogni & R. Farage-Freitas","130","2009","01","15","Brasil","Santa Catarina","Águas Mornas","RPPN Rio das Lontras.","-48.823889","-27.694444","48º49'26''W","27º41'40''S","Floresta Ombrófila Densa","CRI004521","CRI004521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","778200","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","regnellii","Tibouchina regnellii","Cogn.","P. J. F. Guimarães","G. Eiten","6177","1965","02","17","Brazil","São Paulo","Cananéia","Island of Cananéia about 1 km NE of center of city of Cananéia, along east shore of the island","-47.92","-25",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=246313' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778200","NY00778200_01","Magnoliophyta","Myrtales","South America","1","1","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","778201","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","regnellii","Tibouchina regnellii","Cogn.","P. J. F. Guimarães","G. G. Hatschbach","8840","1962","02","22","Brazil","Paraná",NA,"Mun. Paranai, Furnas",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=246314' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778201","NY00778201_01","Magnoliophyta","Myrtales","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","778199","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","regnellii","Tibouchina regnellii","Cogn.","P. J. F. Guimarães","O. Handro","762","1958","04","24","Brazil","São Paulo","Sao Paulo","Sao Paulo (Capital), nativa no Jardim Botânico","-46.618358","-23.646109",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=246312' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778199","NY00778199_01","Magnoliophyta","Myrtales","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","558375","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","regnelli","Tibouchina regnelli","Cogn.","S. A. C. Chiea","O. Handro","2321","1984","04","06","Brazil","São Paulo","Sao Paulo","Cultivada no Jardim Botanico de Sao Paulo","-46.6300010681152","-23.5400009155273",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=444270' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558375","NY00558375_01","Magnoliophyta","Myrtales","South America",NA,NA,"sheet","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","778197","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","regnellii","Tibouchina regnellii","Cogn.","P. J. F. Guimarães","G. Eiten","6063","1965","02","14","Brazil","São Paulo","Registro","2 km east of village of Sete Barras","-47.9","-24.37",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=246310' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778197","NY00778197_01","Magnoliophyta","Myrtales","South America","50","50","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","778198","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","regnellii","Tibouchina regnellii","Cogn.","P. J. F. Guimarães","G. Zimber","s.n.","1955","05","25","Brazil","São Paulo",NA,"Via Anchieta, pouco antes da descida para Santos",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=246311' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778198","NY00778198_01","Magnoliophyta","Myrtales","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-18 09:30:11-03","UNESP-IBB","BOTU","26001","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","regnellii","Tibouchina regnellii","Cogn.","Ghasper, A.L.","Souza, N.L.","130","2009","01","15","Brasil","Santa Catarina","Águas Mornas",NA,NA,NA,"9999","9999",NA,"BOTU026001",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009","01",NA,NA,NA,NA,NA,NA
"9","2020-11-24 17:10:49-03","UTFPR","DVPR","2524","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","regnellii","Tibouchina regnellii","Cogn.","Goldenberg, R; Meyer, FS; Guimarãe, PJF","Souza, WS; Silva, SM; Britez, RM","s.n.","1986","03","29","Brasil","Paraná","Paranaguá","Ilha do Mel","-48.5092010498047","-25.5200004577637",NA,NA,"Erva, flores brancas.; Frequente no local.","DVPR002524",NA,"Magnoliophyta",NA,NA,NA,NA,NA,"24916","auto","2008","03",NA,NA,NA,NA,NA,NA
"10","2020-11-24 17:10:49-03","UTFPR","DVPR","2572","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","regnellii","Tibouchina regnellii","Cogn.","Goldenberg, R; Meyer, FS; Guimarãe, PJF","Casemiro, KRP; et al.","s.n.","1989","03","23","Brasil","Paraná","Guaraqueçaba","Antiga estrada para Superagui","-48.3288993835449","-25.3066997528076",NA,NA,"Arvoreta 3m, flores roxas.","DVPR002572",NA,"Magnoliophyta",NA,NA,NA,NA,NA,"37295","auto","2008",NA,NA,NA,NA,NA,NA,NA
"11","2019-10-09 11:20:42-03","UFBA","ALCB","111968","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","regnelli","Tibouchina regnelli","Cogn.","Guimarães, P","Hatschbach, G","40201","1977","09","30","Brasil","Paraná","Antonima","Furna",NA,NA,NA,NA,"4m, flores violetas, estames e anteras alvas.","ALCB068238",NA,"Dicotyledon",NA,"Southern America",NA,NA,NA,NA,NA,"2007",NA,NA,NA,NA,NA,NA,NA
"12","2019-10-09 11:20:42-03","UFBA","ALCB","90036","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","regnelli","Tibouchina regnelli","Cogn.","Goldenberg, R; Meyer, FS; Guimarães, PJF","Carneiro, J","1079","2001","02","27","Brasil","Paraná","Pontal do Paraná","Balneário Cidade Atlântica","-48.511100769043","-25.6735992431641",NA,NA,"Flor roxa.; Depressão úmida da restinga.","ALCB068180",NA,"Dicotyledon",NA,"Southern America",NA,NA,NA,"19508","auto",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-04 11:13:53-03","ESALQ","ESA","100759","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","regnellii","Tibouchina regnellii",NA,"Chiea, S.A.C.","Chiea, S.A.C","306.0","1983","03","20","Brasil","São Paulo","Cananéia",NA,"-47.9199981689453","-25.0100002288818",NA,NA,NA,"ESA100759","ESA100759","Magnoliophyta",NA,NA,NA,NA,NA,"37574","auto",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-04 11:13:53-03","ESALQ","ESA","16191","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","regnellii","Tibouchina regnellii","Cogn.","Freitas, A.L.","Souza, V.C. ; Sakuragui, C.M.","1591.0","1990","01","01","Brasil","São Paulo","Ilhabela",NA,"-45.3499984741211","-23.7700004577637",NA,NA,NA,"ESA016191",NA,"Magnoliophyta",NA,NA,NA,NA,NA,"23719","auto",NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-08-20 10:20:16-03","UNICAMP","UEC","80809","S","Plantae","Melastomataceae","Tibouchina","regnellii","Tibouchina regnellii","Cogn.","Meyer, FS","Pires, AS","s.n.","1960","07","08","Brazil","São Paulo",NA,"Via Anchieta, Km 35, Canal Smith",NA,NA,NA,NA,NA,"UEC023479",NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,"2013","11",NA,NA,NA,NA,NA,NA
"16","2021-03-01 16:35:23-03","UNICAMP","UEC","79217","S","Plantae","Melastomataceae","Tibouchina","regnellii","Tibouchina regnellii","Cogn.","Brade, AC","Handro, O","756","1958","04","04","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,"Árvore de ca. de 4m. Flores.",NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,"1958","04",NA,NA,NA,NA,NA,NA
"17","2021-03-01 16:35:23-03","UNICAMP","UEC","149086","S","Plantae","Melastomataceae","Tibouchina","regnellii","Tibouchina regnellii","Cogn.","Meyer, FS","Urbanetz, C","414","2008",NA,NA,"Brazil","São Paulo","Cananéia","km 31 da rodoviaSP-226, Fazenda Folha Larga.","-47.918056","-24.895","-47.918056","-24.895","Árvore de 6 m de altura. Flores com pétalas roxas.; Floresta ombrófila densa","UEC007176","UEC007176","Magnoliopsida",NA,NA,"30","30",NA,NA,NA,"2012","05","30",NA,NA,NA,NA,NA
"18","2021-03-01 16:35:23-03","UNICAMP","UEC","68261","S","Plantae","Melastomataceae","Tibouchina","regnellii","Tibouchina regnellii","Cogn.",NA,"Koschnitzke, C; et al.","29179","1993","11","10","Brazil","São Paulo","Ubatuba","Praia da Puruba","-45.1275","-23.42","-45.1275","-23.42","Arbusto ca. 2,5m alt. Flores púrpuras, folhas discolores.",NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-01 16:35:23-03","UNICAMP","UEC","75115","S","Plantae","Melastomataceae","Tibouchina","regnellii","Tibouchina regnellii","Cogn.","Meyer, FS","Bastos, EB; Sanches, CD; Gorestein, MR; Hoffmann, JR; Ferreira, VF","EBB04","1994","09","05","Brazil","São Paulo","Pariquera-Açu","Estação Experimental do instituto Agronômico de Campinas. Beira da Rodovia Regis Bittencourt.","-47.88775","-24.622917","-47.88775","-24.622917","Arvoreta, ca. 2m alt., flores roxas pequenas.; Área com fragmentos de Mata Atlântica secundária. Campo alagado.","UEC042784","UEC042784","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,"2013","11",NA,NA,NA,NA,NA,NA
"20","2019-08-20 10:20:16-03","UNICAMP","UEC","172267","S","Plantae","Melastomataceae","Tibouchina","regnellii","Tibouchina regnellii","Cogn.","Guimarães, P","Handro, O","762","1958","04","24","Brazil","São Paulo","São Paulo",NA,"-46.6300010681152","-23.5400009155273",NA,NA,NA,"UEC084721","UEC084721","Magnoliopsida",NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-01 16:35:23-03","UNICAMP","UEC","172268","S","Plantae","Melastomataceae","Tibouchina","regnellii","Tibouchina regnellii","Cogn.","Chiea, SAC","Handro, O","2321","1984","04","06","Brazil","São Paulo","São Paulo",NA,"-46.6300010681152","-23.5400009155273",NA,NA,"Árvore de ca. 3,5m de alt. Pétalas púrpureas.","UEC084719","UEC084719","Magnoliopsida",NA,NA,NA,NA,NA,"53584","auto","1988","04",NA,NA,NA,NA,NA,NA
"22","2021-03-01 16:35:23-03","UNICAMP","UEC","80795","S","Plantae","Melastomataceae","Tibouchina","regnellii","Tibouchina regnellii","Cogn.","Chiea, SAC","Handro, O","2321","1984","04","06","Brazil","São Paulo","São Paulo",NA,"-46.6300010681152","-23.5400009155273",NA,NA,"Árvore de ca. 3,5m de alt. Pétalas púrpureas.",NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,"53584","auto","1988","04",NA,NA,NA,NA,NA,NA
"23","2020-12-09 14:46:48-03","FURB","FURB","17841","PreservedSpecimen","Plantae","Melastomataceae","Pleroma","andersregnellii","Pleroma andersregnellii","P.J.F.Guim. & Michelang.","Meyer, FS","Dreveck, S.; Carneiro, F.E.","1067","2009","09","16","Brasil","Santa Catarina","Garuva","Fazenda ComFloresta.","-48.7647222","-25.9988889","-48.7647222","-25.9988889","Coleta Extra IFFSC (Arbusto) Habitat: Floresta Ombrófila Densa; beira da estrada Habito: arbustiva; flor roxa","FURB02320","FURB02320",NA,NA,NA,"22","22",NA,NA,NA,"2009","11","01",NA,NA,NA,NA,NA
"24","2020-12-21 16:35:14-03","MBM","MBM","399020","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","regnellii","Tibouchina regnellii","Cogn.","Brotto, M.L.","Savarais, M.","472","2014","04","25","Brazil","Santa Catarina","Joinville","margem da Rodovia BR 101","-48.916072","-26.224211","-48.916072","-26.224211",NA,"MBM399020","MBM399020",NA,NA,"Southern America","51","51",NA,NA,NA,"2015","07","20",NA,NA,NA,NA,NA
"25","2020-12-21 16:35:14-03","MBM","MBM","309132","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","regnellii","Tibouchina regnellii","Cogn.","Guimarães, P.","Lima, R.X.","16","1993","06","11","Brazil","Paraná","Guaraqueçaba","Rio Guaraqueçaba","-48.3288993835449","-25.3066997528076",NA,NA,NA,"MBM309132","MBM309132",NA,NA,"Southern America",NA,NA,NA,"37295","auto",NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-12-21 16:35:14-03","MBM","MBM","226384","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","regnellii","Tibouchina regnellii","Cogn.","Motta, J.T.","Motta, J.T.","1630",NA,NA,NA,"Brazil","Paraná","Guaraqueçaba","Tagaçaba","-48.3288993835449","-25.3066997528076",NA,NA,NA,"MBM226384",NA,NA,NA,"Southern America",NA,NA,NA,"37295","auto",NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-12-21 16:35:14-03","MBM","MBM","226382","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","regnellii","Tibouchina regnellii","Cogn.","Wurdack, J.J.","Dombrowski, L.T.; et al.; et al.","7526",NA,NA,NA,"Brazil","Paraná","Morretes","Morretes","-48.834400177002","-25.476900100708",NA,NA,NA,"MBM226382",NA,NA,NA,"Southern America",NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-12-21 16:35:14-03","MBM","MBM","226383","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","regnellii","Tibouchina regnellii","Cogn.","Dombrowski, L.T.","Dombrowski, L.T.; et al.; et al.","25",NA,NA,NA,"Brazil","Paraná","Morretes","Morretes","-48.834400177002","-25.476900100708",NA,NA,NA,"MBM226383",NA,NA,NA,"Southern America",NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA,NA,NA
