"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","typeStatus","relatedCatalogItem","infraspecificEpithet","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","1039490","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","gomidesioides","Myrcia gomidesioides","Kiaersk.","M. L. Kawasaki","R. de Mello-Silva","CFCR7282","1984","12","20","South America","Brazil","Bahia","Lençóis","Rio Mucugezinho. Próximo a BR-242. Em direçao a Serra Brejao. Próximo ao Morro do Pai Inacio","-41.3897","-12.5633","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1486476' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039490","NY01039490_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00907912","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","irwinii","Myrcia irwinii","Mattos & D.Legrand","C. M. D. E. Legrand","H. S. Irwin","22100","1969","01","16","South America","Brazil","Minas Gerais",NA,"Ca. 24km SW of Diamantina on road to Gouveia. Serra do Espinhaço.","-43.7","-18.38","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989868' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907912","NY00907912_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00908049","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.","M. Sobral","G. G. Hatschbach","29830","1972","08","04","South America","Brazil","Minas Gerais","Jaboticatubas","Serra do Cipó","-43.539757","-19.388386",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991382' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908049","NY00908049_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00908050","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.",NA,"L. O. Williams","8059","1945","09","22","South America","Brazil","Minas Gerais","Belo Horizonte","Near Matadouro da Onça, near Belo Horizonte","-43.9378","-19.9208","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991383' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908050","NY00908050_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1801350","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.",NA,"R. P. de Oliveira","327","2000","02","25","South America","Brazil","Bahia",NA,"Lageado do Tabocal: Mata da Fazenda Araponga, ca. 7 km da cidade.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2020436' target='other'> <mi>dwc_moreinfo</mi></a>","NY01801350","NY01801350_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02715698","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.","E. J. Lucas","A. M. Amorim","4604","2004","12","29","South America","Brazil","Bahia","Itanhém","Estrada Itanhém a Batinga, ca. 16 km. Ramal a direita, dando acesso à Faz. Pedra Grande, de Prop. de Etevaldo Rezende da Silva.","-40.4261","-18.3694",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2474216' target='other'> <mi>dwc_moreinfo</mi></a>","NY02715698","NY02715698_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","616531","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.","M. L. Kawasaki","T. R. S. Silva","CFCR13323","1990","09","05","South America","Brazil","Minas Gerais","Grão Mogol","Grao Mogul: Vale do Corrego Escurona","-42.97","-16.58","750","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=43949' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616531","NY00616531_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00906824","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.",NA,"P. Clausen","160.A",NA,NA,NA,"South America","Brazil",NA,NA,"Brésil",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982916' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906824","NY00906824_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2422739","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.",NA,"E. M. Nic Lughadha","177","1999","02","09","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal da Companhia Vale do Rio Doce.","-40.01914","-19.15294","20","30","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2673181' target='other'> <mi>dwc_moreinfo</mi></a>","NY02422739","NY02422739_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00906481","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.","M. L. Kawasaki","A. Macedo","3760","1952","09","05","South America","Brazil","Minas Gerais",NA,"Serra do Cipó. Mato Dentro","-43.539757","-19.388386",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981525' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906481","NY00906481_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
