"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","individualCount","identifiedBy","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","yearIdentified","monthIdentified","typeStatus","fieldNumber","sex","preparationType"
"1","2012-11-05 14:46:00-02","MO","MOBOT","100539358","PreservedSpecimen","Plantae","Orchidaceae","Dryadella","kautskyi","Dryadella kautskyi","(Pabst) Luer","Carl A. Luer","Luer 14478","1989","11","25","South America","Brazil","Espírito Santo","Venda Nova, Pedra Azul.","1000.00000000","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2012-11-05 15:13:00-02","MO","MOBOT","100539378","PreservedSpecimen","Plantae","Orchidaceae","Dryadella","kautskyi","Dryadella kautskyi","(Pabst) Luer","Carl A. Luer","Luer 14501","1989","11","30","South America","Brazil","Rio de Janeiro","Near Petropolis.","1000.00000000","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-07-10 09:48:15-03","MBML","MBML-HERBARIO","42995",NA,"Plantae","Orchidaceae","Dryadella","kautskyi","Dryadella kautskyi","(Pabst) Luer","Orquidário Caliman","8831","2008",NA,NA,NA,"Brasil","Espírito Santo",NA,NA,NA,"G. Chiron","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","MBML042995","auto",NA,NA,NA,NA,NA,NA
"4","2019-11-21 10:13:06-03","IBt","SP","175570","S","Plantae","Orchidaceae","Dryadella","kautskyi","Dryadella kautskyi","(Pabst) Luer","Kautsky, RA","703","1981","10","26",NA,"Brasil","Espírito Santo","Entre Goaibeiras e Tijuco Preto",NA,NA,"Barros, F",NA,NA,NA,NA,NA,NA,"1981","12",NA,NA,NA,NA
"5","2010-08-16 16:42:08-03","AMES","HU-HERB","AMES 00101263","PreservedSpecimen","Plantae","Orchidaceae","Masdevallia","kautskyi","Masdevallia kautskyi","Pabst","R. A. Kautsky","381-A","1972","10","30","South America","Brazil","Espirito Santo","Caxixe Frio, Mun. Domingos Martins, em capoeirao úmido",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype","381-A","undetermined","Sheet"
