"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","eventTime","fieldNumber","individualCount","sex"
"1","2021-04-05 14:33:44-03","UNESC","CRI","5340","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","grandiflora","Calyptranthes grandiflora","O.Berg","M. Sobral","J. A. Jarenkow","2050","1992","01","27","Brasil","Rio Grande do Sul","Torres","Perdida.","-49.727222","-29.335833","49º43'38''W","29º20'9''S","36","36","Habito: arvoreta","CRI004967","CRI004967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:37-03","UNESC","CRI","14457","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","lucida","Calyptranthes lucida","Mart. ex DC.","Gasper, AL de","Verdi, M.; Klettenberg, D.H. & Klemz, G.","3287","2009","11","30","Brasil","Santa Catarina","Nova Veneza","São Bento Baixo. São Bento Baixo.","-49.499444","-28.710833","49º29'58''W","28º42'39''S","48","48","Florística IFFSC 40 (Arbórea). Botão floral branco. Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: arbórea;","CRI013627","CRI013627","2009","11","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:44-03","UNESC","CRI","5488","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","lucida","Calyptranthes lucida","Mart. ex DC.","Vanilde Citadini-Zanette","Vanilde Citadini-Zanette; V. P. Boff",NA,"1997","05","03","Brasil","Santa Catarina","Araranguá",NA,"-49.486389","-28.935556","49º29'11''W","28º56'8''S",NA,NA,NA,"CRI004964","CRI004964","1997","06","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:44-03","UNESC","CRI","1567","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","lucida","Calyptranthes lucida","Mart. ex DC.","Marcos Sobral","R. R. B. Negrelle","136","1992","03","11","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habito: árvore","CRI004966","CRI004966",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:44-03","UNESC","CRI","9023","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","lucida","Calyptranthes lucida","Mart. ex DC.","Marcos Sobral","L. Sevegnani; R.R. Laps, R.C. Avi & S. Campestrini",NA,"2009","12","06","Brasil","Santa Catarina","Laurentino","Propriedade de Olivio Campestrini, Serra Fruteira.","-49.7725","-27.234722","49º46'21''W","27º14'5''S",NA,NA,"Floresta Ombrófila Densa Habito: árvore","CRI004963","CRI004963","2010","01","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:41:47-03","E","E","146945","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","lucida","Calyptranthes lucida",NA,NA,"Salis, S.M.;","499","2001","09","10","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00146945 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00146945",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:171318",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","563992","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","affinis","Calyptranthes affinis","O.Berg",NA,"Martii Herbar. Florae Brasil.","57",NA,NA,NA,"Brazil","Rio de Janeiro",NA,"Serra dos Organs, Prov. Sebastianopolis.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500063' target='other'> <mi>dwc_moreinfo</mi></a>","NY00563992","NY00563992_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Myrtales","possible isolectotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","561635","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","affinis","Calyptranthes affinis","O.Berg","C. M. D. E. Legrand","R. Reitz","1552","1954","02","18","Brazil","Santa Catarina","Itajaí","Morro da Fazenda, Itajaí","-48.6617","-26.9081",NA,NA,"100","100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500062' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561635","NY00561635_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","561679","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","lucida","Calyptranthes lucida","Mart. ex DC.","R. McVaugh","B. Maguire","24691","1944","09","10","Suriname",NA,NA,"Tafelberg (Table Mountain). Base of cliffs, west escarpment.","-56.21666667","3.916666667",NA,NA,"426.7","426.7","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=735313' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561679",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","561664","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","lucida","Calyptranthes lucida polyantha","(O.Berg) D.Legrand",NA,"G. G. Hatschbach","18261","1968","01","11","Brazil","Paraná","Guaraqueçaba","Serrinha","-48.3289","-25.3069",NA,NA,"50","100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=703366' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561664","NY00561664_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,"polyantha",NA,NA,NA,NA,NA,NA,NA,NA
