"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","typeStatus","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","continentOcean"
"1","2019-08-27 13:28:43-03","IAP","PACA-AGP","76279","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Caryophyllales","Microteaceae","Microtea","papilosa","Microtea papilosa","Marchioretto & J.C. Siqueira","M.S. Marchioretto","1996","04","29","Holotipo","L. Rossi","1982","04","11","Brasil","MG","Diamantina","estrada para Cons. Mata, a 2Km do asfalto","-43.716667","-18.266667","43°43'00W","18°16'00S","3311","3311","erva 20cm, flores verde-creme; SPF 23524; CFCR 3317.&nf;HOLOTYPUS.","PACA076279","PACA076279_1 PACA076279_2",NA,NA
"2","2019-08-27 13:28:43-03","IAP","PACA-AGP","76279.1","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Caryophyllales","Microteaceae","Microtea","papilosa","Microtea papilosa","Marchioretto & J.C. Siqueira","M.S. Marchioretto","1996","04","29","Isotipo","L. Rossi","1982","04","11","Brasil","MG","Diamantina","estr. p/ Const. Mata, a 2Km do asfalto","-43.716667","-18.266667","43°43'00W","18°16'00S","3311","3311","erva 2ocm, flores verde-creme;","PACA076279-1",NA,NA,NA
"3","2019-08-27 13:28:43-03","IAP","PACA-AGP","76285","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Caryophyllales","Microteaceae","Microtea","papilosa","Microtea papilosa","Marchioretto & J.C. Siqueira","M.S. Marchioretto","1996","04","29","Paratipo","L. Rossi","1982","04","11","Brasil","MG","Diamantina","Estr. p/ Cons. Mata, a 2Km do asfalto","-43.716667","-18.266667","43°43'00W","18°16'00S","3311","3311","erva, inflorescência creme-esverdeada;&nf;PARATYPUS.","PACA076285","PACA076285",NA,NA
"4","2019-11-27 13:51:31-03","UFS","ASE","22148","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Phytolaccaceae","Microtea","papilosa","Microtea papilosa","March.","Melo, E","2010","11",NA,NA,"Queiroz, LP; Cardoso, D; Ribeiro, PG; Salas, RM","2010","05","28","Brasil","Bahia","Umburanas","Serra do Curral Frio (mapeado como Curral Feio)","-41.313333","-10.341944","-41.313333","-10.341944","1177","1196","Subarbusto ereto, muito ramificado, cerca de 70 cm alt. Folhas coriáceas. Flores verdes. Frutos verdes.; Subarbusto ereto, muito ramificado, cerca de 70 cm alt. Folhas coriáceas. Flores verdes. Frutos verdes.; Campo rupestre no topo d","ASE0028338","ASE0028338","14875","Southern America"
"5","2021-03-01 16:37:44-03","UNICAMP","UEC","172771","S","Plantae","Magnoliopsida",NA,NA,"Phytolaccaceae","Microtea","papillosa","Microtea papillosa","Marchior. & J.C.Siqueira","Melo, E","2010","11",NA,NA,"Queiroz, LP; Ribeiro, PG; Cardoso, D; Salas, RM","2010","05","28","Brazil","Bahia","Umburanas","Serra do Curral Feio, (Mapeado como Curral Feio).","-41.313333","-10.341944","-41.313333","-10.341944","1177","1196","Subarbusto ereto, muito ramificado, ca. 70 cm alt. folhas coriáceas. Flores verdes. Frutos verdes.; Campo rupestre no topo da serra.","UEC044258","UEC044258","14875",NA
"6","2019-06-07 18:05:01-03","UFLA","ESAL","23612","S","Plantae",NA,NA,NA,"Microteaceae","Microtea","papilosa","Microtea papilosa","Marchior. & J.C.Siqueira","Melo, E","2010","11",NA,NA,"Queiroz, LP de; Salas, RM; Ribeiro, PG; Car","2010","05","28","Brasil","Bahia","Umburanas","Serra do curral frio","-41","-10","-41","-10","1177","1196","Doação HUEFS n; Subarbusto ereto, muito ramificado, ca 70cm alt.Folhas coriáceas. Flores verdes. Frutos verdes; campo rupestre",NA,NA,"14875",NA
"7","2021-03-01 11:50:24-03","UFPE","UFP","69558","PreservedSpecimen","Plantae",NA,NA,NA,"Phytolaccaceae","Microtea","papilosa","Microtea papilosa","March","Melo, E","2010","11",NA,NA,"Queiroz, LP; Ribeiro, PG; Cardoso, D; Salas, RM","2010","05","28","Brasil","Bahia","Umburanas",NA,"-41.313333","-10.341944","-41.313333","-10.341944","1177","1196","Subarbusto ereto, muito ramificado. Folhas coriáceas. Flores verdes. Frutos verdes.","UFP069558",NA,"14875",NA
"8","2021-03-01 11:50:24-03","UFPE","UFP",NA,"PreservedSpecimen","Plantae",NA,NA,NA,"Phytolaccaceae","Microtea","papilosa","Microtea papilosa","March","Melo, E","2010","11",NA,NA,"Queiroz, LP; Ribeiro, PG; Cardoso, D; Salas, RM","2010","05","28","Brasil","Bahia","Umburanas",NA,"-41.313333","-10.341944","-41.313333","-10.341944","1177","1196","Subarbusto ereto, muito ramificado. Folhas coriáceas. Flores verdes. Frutos verdes.",NA,NA,"14875",NA
"9","2019-10-07 09:18:50-03","UEFS","HUEFS","119852","PreservedSpecimen","Plantae","Angiospermae","Caryophyllanae","Caryophyllales","Microteaceae","Microtea","papillosa","Microtea papillosa","March.","E.Melo","2010","11",NA,NA,"Pastore, J.F.B.","2007","05","20","Brasil","Bahia","Morro do Chapéu","Fazenda Guariba.","-41.194167","-11.44","41W11'39''","11S26'24''","1071","1071","Solo úmido com matéria orgânico.","HUEFS0119852","HUEFS0119852","2090",NA
"10","2019-10-07 09:18:50-03","UEFS","HUEFS","122017","PreservedSpecimen","Plantae","Angiospermae","Caryophyllanae","Caryophyllales","Microteaceae","Microtea","papillosa","Microtea papillosa","March.","E.Melo","2010","11",NA,NA,"Melo, E.","2007","07","01","Brasil","Bahia","Morro do Chapéu","Fazenda Guariba; nascentes do Rio Salitre.","-41.191389","-11.435833","41W11'29''","11S26'9''","1066","1066","Cerrado sobre solo arenoso.","HUEFS0122017","HUEFS0122017","4914",NA
"11","2019-10-07 09:18:50-03","UEFS","HUEFS","161929","PreservedSpecimen","Plantae","Angiospermae","Caryophyllanae","Caryophyllales","Microteaceae","Microtea","papillosa","Microtea papillosa","March.","E.Melo","2010","11",NA,NA,"Queiroz, L.P.de","2010","05","28","Brasil","Bahia","Umburanas","Serra do Curral Frio (mapeado como Curral Feio).","-41.313333","-10.341944","41W18'48''","10S20'31''","1177","1196","Campo rupestre no topo da serra.","HUEFS0161929","HUEFS0161929","14875",NA
