"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","country","stateProvince","county","barcode","scientificNameAuthorship","identifiedBy","yearIdentified","recordNumber","continentOcean","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","order","verbatimLongitude","verbatimLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","monthIdentified","dayIdentified","class"
"1","2020-11-04 11:13:21-03","ESALQ","ESA","37450","PreservedSpecimen","Plantae","Magnoliophyta","Melastomataceae","Lavoisiera","mello-barretoi","Lavoisiera mello-barretoi","Hatschbach, G.","1978","04","22","Brasil","Minas Gerais","Rio Itacambiruçu","ESA037450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-02-15 11:45:37-02","IPA","IPA","64151","S","Plantae","Plantae","Melastomataceae","Lavoisiera","mello-barretoi","Lavoisiera mello-barretoi","Hatschbach, G.","1978","04","22","Brasil","Minas Gerais","Grão Mogol","IPA0064151","Markgr.","Semir, J.","1995","41334","Southern America","Rio Itacambiruçu, margens de córrego.","-42.8897018432617","-16.5594005584717","67219","Arbusto 2,5m, ramoso no ápice. Flor rosada, estames e anteras amarelas.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0024869","PreservedSpecimen","Plantae","Magnoliophyta","Melastomataceae","Lavoisiera","mello-barretoi","Lavoisiera mello-barretoi","G. Hatschbach","1978","4","22","Brazil","Minas Gerais",NA,NA,"Markgr.","J. Semir",NA,"41334",NA,"Rio Itacambiruçu (Mun. Grão Mogol) Minas Gerais, Brazil","-42.9","-16.5667",NA,"PMC-DPP 004; Arbusto, 2.50m, ramoso no ápice. Flor rosada, estames e anteras amarelos",NA,"Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:34:03-03","UNICAMP","UEC","10473","S","Plantae","Magnoliopsida","Melastomataceae","Lavoisiera","mello-barretoi","Lavoisiera mello-barretoi","Leitão Filho, HF; Andrade, JB; Milanez, AC","1978","05","22","Brazil","Minas Gerais","Grão Mogol","UEC079086","Markgr.",NA,NA,"7891",NA,"rod. Francisco de Sá.","-42.95","-16.583333",NA,"ARBUSTO ATÉ 2M ; FLORES LEVE LLASES.; campo rupestre e beira de local úmido.",NA,NA,"-42.95","-16.583333","UEC079086",NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:34:03-03","UNICAMP","UEC","105102","S","Plantae","Magnoliopsida","Melastomataceae","Lavoisiera","mello-barretoi","Lavoisiera mello-barretoi","Zappi, DC; Pirani, JR; Oliveira, AA; Simão-Bianchini, R","1990","06","16","Brazil","Minas Gerais","Grão Mogol","UEC079088","Markgr.",NA,NA,"13117",NA,"estreito do riacho ribeirão","-42.9","-16.55",NA,"arbusto 1m alt. folhas ca margem e nervura média creme; orla da mata ciliar.",NA,NA,"-42.9","-16.55","UEC079088","950","1000",NA,NA,NA,NA
"6","2019-08-20 10:18:24-03","UNICAMP","UEC","111682","S","Plantae","Magnoliopsida","Melastomataceae","Lavoisiera","mello-barretoi","Lavoisiera mello-barretoi","Markgraf, F; Brade, AC; Mello Barreto, HL","1938","11","12","Brazil","Minas Gerais","Grão Mogol","UEC022907","Markgr.","Martins, AB","2013","3441",NA,"Serra de Grão Mogol - 1.000 msm. Entre pedras, margem do córrego.","-42.866667","-16.55",NA,NA,NA,NA,"-42.866667","-16.55","UEC022907",NA,NA,"isotypus",NA,NA,NA
"7","2021-03-01 16:34:03-03","UNICAMP","UEC","143419","S","Plantae","Magnoliopsida","Melastomataceae","Lavoisiera","mello-barretoi","Lavoisiera mello-barretoi","Bidá, A; Zappi, DC; Prado, J; Queiroz, R; Barreto, R","1988","05","26","Brazil","Minas Gerais","Grão Mogol","UEC079018","Markgr.",NA,NA,"11938",NA,"Córreg Escurona, próximo a estrada","-42.95","-16.583333",NA,"arbusto 2,5 m alt.com ramos eretos. Folhas com margem avermelhada . Corola lilás, filetes alvos, anteras amarelas.; rentre fendas de rochas, à beira do córrego.",NA,NA,"-42.95","-16.583333","UEC079018","750","800",NA,NA,NA,NA
"8","2021-03-01 16:34:03-03","UNICAMP","UEC","143420","S","Plantae","Magnoliopsida","Melastomataceae","Lavoisiera","mello-barretoi","Lavoisiera mello-barretoi","Pirani, JR; Mello-Silva, R","1987","05","21","Brazil","Minas Gerais","Grão Mogol","UEC079020","Markgr.",NA,NA,"10746",NA,"Vale do Riacho Ribeirão830m s.n.m.","-42.885","-16.558611",NA,"subarbusto ca 1,5 alt. Caule folhoso somente nas porções terminais dos ramos, onde é creme claro ou rosado; na parte velha é desfolhado e castanho. folhas marginadas de rosa ou branco. ca.de 4-5flores terminias. brácteasfoliáceas creme",NA,NA,"-42.885","-16.558611","UEC079020",NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:34:03-03","UNICAMP","UEC","143421","S","Plantae","Magnoliopsida","Melastomataceae","Lavoisiera","mello-barretoi","Lavoisiera mello-barretoi","Cordeiro, I; Pirani, JR; Amaral, MCE; Rossi, L; Furlan, A","1981","04","15","Brazil","Minas Gerais","Grão Mogol","UEC079016","Markgr.",NA,NA,"961",NA,"Cristália.","-42.885","-16.558611",NA,"arbusto de 2m, flores lilás claro.; beira de rio.",NA,NA,"-42.885","-16.558611","UEC079016",NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:34:03-03","UNICAMP","UEC","199751","S","Plantae","Magnoliopsida","Melastomataceae","Lavoisiera","mello-barretoi","Lavoisiera mello-barretoi","Pirani, JR; Mello-Silva, R","1987","05","21","Brazil","Minas Gerais","Grão Mogol","UEC079085","Markgr.",NA,NA,"10764",NA,"vale do riachoribeirão.","-42.9","-16.55",NA,"subarbusto ca 1,5 alt. Caule folhoso somente nas porções terminais dos ramos, onde é creme claro ou rosado; na parte velha é desfolhado e castanho. folhas marginadas de rosa ou branco. ca.de 4-5flores terminias. brácteasfoliáceas creme",NA,NA,"-42.9","-16.55","UEC079085","830","830",NA,NA,NA,NA
"11","2021-03-01 16:34:03-03","UNICAMP","UEC","27789","S","Plantae","Magnoliopsida","Melastomataceae","Lavoisiera","mello-barretoi","Lavoisiera mello-barretoi","Cordeiro, I; Pirani, JR; Amaral, MCE; Rossi, L; Furlan, A","1981","04","15","Brazil","Minas Gerais","Grão Mogol","UEC079083","Markgr.",NA,NA,"961",NA,"Cristália.","-42.885","-16.558611",NA,"arbusto de 2m, flores lilás claro.; beira de rio.",NA,NA,"-42.885","-16.558611","UEC079083",NA,NA,NA,NA,NA,NA
"12","2021-03-01 16:34:03-03","UNICAMP","UEC","43665","S","Plantae","Magnoliopsida","Melastomataceae","Lavoisiera","mello-barretoi","Lavoisiera mello-barretoi","Giulietti, AM; Mamede, MCH; Hensold, N; Giulietti, N","1997","05","26","Brazil","Minas Gerais",NA,"UEC079087","Markgr.","Martins, AB","2002","3545",NA,"Prox. da ponte sobre o rio das mortes.",NA,NA,NA,"arbustp mais ou menos 2,0m, ramificado, amais ou menos 40cm da base. Flores lilas c/ base da pétala na face ventral amarela, estames amarelos.; beira do rio.",NA,NA,NA,NA,"UEC079087",NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:34:08-03","MBM","MBM","57281","PreservedSpecimen","Plantae",NA,"Melastomataceae","Lavoisiera","mello-barretoi","Lavoisiera mello-barretoi","Hatschbach, G.",NA,NA,NA,"Brazil","Minas Gerais","Grão Mogol","MBM057281","Markgraf","Semir, J.",NA,"41334","Southern America","Rio Itacambiruçu","-42.8897018432617","-16.5594005584717","67219",NA,"auto",NA,NA,NA,"MBM057281",NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:34:08-03","MBM","MBM","137972","PreservedSpecimen","Plantae",NA,"Melastomataceae","Lavoisiera","mello-barretoi","Lavoisiera mello-barretoi","Hatschbach, G.; Hatschbach, M.; Nicolack, V.; Hatschbach, M.; Nicolack, V.",NA,NA,NA,"Brazil","Minas Gerais","Grão Mogol","MBM137972","Markgraf","Semir, J.",NA,"54273","Southern America","Trilha dos Garimpeiros","-42.8897018432617","-16.5594005584717","67219",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-11 11:38:10-03","UFMG","BHCB","43904","PreservedSpecimen","Plantae","Dicotyledon","Melastomataceae","Lavoisiera","mello-barretoi","Lavoisiera mello-barretoi",NA,NA,NA,NA,NA,NA,NA,NA,"Markgr.",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-12-11 11:38:10-03","UFMG","BHCB","100659","PreservedSpecimen","Plantae","Dicotyledon","Melastomataceae","Lavoisiera","mello-barretoi","Lavoisiera mello-barretoi","Vidal, CV","2006","06","04","Brasil","Minas Gerais","Grão Mogol","BHCB040684","Markgr.",NA,"2017","131","Southern America","Parque Estadual de Grão Mogol","-42.8897018432617","-16.5594005584717","67219","Arbusto 2,5m; Campo rupestre em beira de córrego.","auto",NA,NA,NA,"BHCB040684",NA,NA,NA,"02","13",NA
"17","2020-12-11 11:38:10-03","UFMG","BHCB","54552","PreservedSpecimen","Plantae","Dicotyledon","Melastomataceae","Lavoisiera","mello-barretoi","Lavoisiera mello-barretoi","Markgraf, F; Brade, AC; Barreto, HLM","1938","11","12","Brasil","Minas Gerais","Grão Mogol","BHCB000266","Markgr.",NA,"1940","3454","Southern America","Serra do Grão Mogol","-42.8897018432617","-16.5594005584717","67219","Coletor: Mello-Barreto nº 12196.; Arbusto, 2,0m.; Entre pedras - margem de córrego","auto",NA,NA,NA,"BHCB000266","1000","1000","Isotypus",NA,NA,NA
"18","2020-12-11 11:38:10-03","UFMG","BHCB","54551","PreservedSpecimen","Plantae","Dicotyledon","Melastomataceae","Lavoisiera","mello-barretoi","Lavoisiera mello-barretoi","Markgraf, F; Brade, AC; Barreto, HLM","1938","11","12","Brasil","Minas Gerais","Grão Mogol","BHCB000265","Markgr.",NA,NA,"3441","Southern America","Serra do Grão Mogol","-42.8897018432617","-16.5594005584717","67219","Coletor: Mello-Barreto nº 12195.; Arbusto, 3,0m.; Entre pedras - margem de córrego","auto",NA,NA,NA,"BHCB000265","1000","1000","Isotypus",NA,NA,NA
"19","2021-02-11 17:19:40-03","UFPR","UPCB","32749","PreservedSpecimen","Plantae",NA,"Melastomataceae","Lavoisiera","mello-barretoi","Lavoisiera mello-barretoi","Hatschbach, G.","1978","04","22","Brasil","Minas Gerais","Grão Mogol","UPCB0012704","Markgraf","Semir, J.","1995","41334",NA,"Rio Itacambiruçu","-42.8897018432617","-16.5594005584717","67219","Arbusto, 2,50m, ramoso no ápice, flor rosada, estames e anteras amarelos. Margem córrego..","auto",NA,NA,NA,"UPCB0012704",NA,NA,NA,"01","01",NA
"20","2008-05-27 22:02:00-03","MO","MOBOT","3227434","PreservedSpecimen","Plantae",NA,"Melastomataceae","Lavoisiera","mello-barretoi","Lavoisiera mello-barretoi","Gert G. Hatschbach","1978",NA,NA,"Brazil","Minas Gerais",NA,NA,"Markgr.","J. Semir",NA,"Hatschbach 41334","South America","Rio Itacambirucu (Mun. Grão Mogol).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-12-28 10:31:31-03","ICAUFMG","MCCA","1577","S","Plantae",NA,"Melastomataceae","Lavoisiera","mello-barretoi","Lavoisiera mello-barretoi",NA,"2017","08","19","Brasil","Minas Gerais","Grão Mogol","MCCA01633","Markgr.","IGLESIAS, D.T.","2017","39",NA,"Trilha do Barão","-42.8897018432617","-16.5594005584717","67219",NA,"auto",NA,"-428997222.0","-165130556.0",NA,"1117","1117",NA,"09","05",NA
"22","2019-11-13 11:25:20-03","USP","SPF","65848","PreservedSpecimen","Plantae",NA,"Melastomataceae","Lavoisiera","mello-barretoi","Lavoisiera mello-barretoi","Bidá, A","1988","05","26","Brasil","Minas Gerais","Grão Mogol","SPF00065848","Markgr.","Martins, AB","2006","CFCR11938",NA,NA,"-42.95","-16.583333",NA,NA,NA,NA,"-42.95","-16.583333",NA,"750","800",NA,NA,NA,NA
"23","2019-11-13 11:25:20-03","USP","SPF","74704","PreservedSpecimen","Plantae",NA,"Melastomataceae","Lavoisiera","mello-barretoi","Lavoisiera mello-barretoi","Zappi, DC","1990","06","16","Brasil","Minas Gerais","Grão Mogol","SPF00074704","Markgr.",NA,NA,"CFCR13117",NA,NA,"-42.9","-16.55",NA,NA,NA,NA,"-42.9","-16.55",NA,"950","1000",NA,NA,NA,NA
