"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","1795751","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","leonanii","Eugenia leonanii","Mattos","isotype","J. Santana","s.n. [=herb. SP 118801]","1970","01","27","South America","Brazil","São Paulo","Paranapiacaba (via férrea S. Paulo-Santos), Estação Biológica","-46.3","-23.75","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2024102' target='other'> <mi>dwc_moreinfo</mi></a>","NY01795751","NY01795751_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","594859","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","macrobracteolata","Eugenia macrobracteolata","Mattos","isotype","G. G. Hatschbach","13391","1965","11","30","South America","Brazil","Paraná","Pedra Branca de Araraquara","-48.90806","-25.93389","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479268' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594859","NY00594859_01","M. Sobral","Guaratuba","150","150",NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-07-02 14:03:13-03","JBP","HPL","5729","S","Plantae",NA,NA,"Myrtaceae","Eugenia","leonanii","Eugenia leonanii","Mattos",NA,"E.R. Salviani & H. Lorenzi","488","1999","09","06",NA,"Brasil","SP","Coletado no morro do Garrafão.","-46.1883","-23.5228",NA,NA,NA,NA,"M. Sobral","Mogi das Cruzes",NA,NA,"2012","02","10","28666","auto",NA,NA,NA
"4","2021-03-01 16:36:19-03","UNICAMP","UEC","111418","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Eugenia","macrobracteolata","Eugenia macrobracteolata","Mattos",NA,"Garcia, RJF; Coffani-Nunes, JV; Sordi, SJ; Oliveira, LF; Soares, JM","971","1996","12","19",NA,"Brazil","São Paulo","Parque Estadual da Serra do Mar, Núcleo Curucutu. Trilha para rio Embu-Guaçu","-46.6300010681152","-23.5400009155273",NA,"Árvore, 5m alt., DAP 9cm, tronco liso manchado, casca descamante, frutos verdes com sépalas e brácteas persistentes.","UEC018764","UEC018764","Sobral, M","São Paulo",NA,NA,"2003",NA,NA,"53584","auto",NA,NA,NA
"5","2020-12-21 16:36:34-03","MBM","MBM","47407","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","macrobracteolata","Eugenia macrobracteolata","Mattos","HOLOTYPE","Hatschbach, G.","13391","1965","11","30","Southern America","Brazil","Paraná","Pedra Branca de Araraquara","-48.5746994018555","-25.8827991485596",NA,"Árvore 10m, flor alva, mata pluvial. Fruto maduro vermelho escuro; Árvore 10m, flor alva, fruto maduro vermelho escuro.; Mata pluvial.","MBM047407","MBM047407","Legrand, D.","Guaratuba","150","150",NA,NA,NA,"41937","auto",NA,NA,NA
"6","2015-11-18 09:38:31-02","MNHN","RECOLNAT_MNHN_P","P01059271","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Eugenia","leonanii","Eugenia leonanii","Mattos","isotype","Santana, J.",NA,"1970","1","27",NA,"Brésil",NA,"Est. São Paulo : Paranapiacaba (via férrea S. Paulo-Santos), Estação Biologica",NA,NA,"hb","n°118801 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01059271' target='other'> <mi>dwc_moreinfo</mi></a>","P01059271","P01059271_01","Kawasaki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-11 11:39:11-03","UFMG","BHCB","130002","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","macrobracteolata","Eugenia macrobracteolata","N.F.Mattos",NA,"Farrág, PR","181","1995","12","06","Southern America","Brasil","Rio de Janeiro","Reserva Biológica do Tinguá, Rebio do Tinguá. Rio Serra Velha.","-43.451099395752","-22.7591991424561",NA,"Árvore ca. De 16m de altura. Ritidoma castanho-avermelhado liso. Folhas mambranáceas. Flores com cálice verde-claro, corola alva e estames brancos com anteras laranjas.","BHCB015134","BHCB015134",NA,"Nova Iguaçu",NA,NA,"2009","03","19","25743","auto",NA,NA,NA
"8","2009-07-09 17:05:00-03","MO","MOBOT","2483143","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","macrobracteolata","Eugenia macrobracteolata","Mattos",NA,"Gert G. Hatschbach","Hatschbach 13391","1965","11","13","South America","Brazil","Paraná","Guaratuba. Pedra Branca de Araraquara",NA,NA,NA,NA,NA,NA,NA,NA,"150.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-13 11:26:45-03","USP","SPF","65197","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","leonanii","Eugenia leonanii","Mattos",NA,"Santana, J","s.n.","1968","01","10",NA,"Brasil","São Paulo","Estação Campo Grande (via férrea São Paulo-Santos) Estação Biológica.",NA,NA,NA,NA,"SPF00065197",NA,"Sobral, M",NA,NA,NA,"2018","04",NA,NA,NA,NA,NA,NA
"10","2019-11-13 11:26:45-03","USP","SPF","120627","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","macrobracteolata","Eugenia macrobracteolata","Mattos",NA,"Garcia, RJF","971","1996","12","19",NA,"Brasil","São Paulo","Parque Estadual da Serra do Mar","-46.733611","-23.987778",NA,NA,"SPF00120627",NA,"Bünger, MO","São Paulo",NA,NA,"2012","05",NA,NA,NA,"-46.733611","-23.987778",NA
"11","2019-11-13 11:26:45-03","USP","SPF","67458","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","macrobracteolata","Eugenia macrobracteolata","Mattos",NA,"Handro, O","1047","1962","11",NA,NA,"Brasil","São Paulo","Campo Grande, Estação Biológica.",NA,NA,NA,NA,"SPF00067458",NA,"Sobral, M",NA,NA,NA,"2004",NA,NA,NA,NA,NA,NA,NA
"12","2019-11-13 11:26:45-03","USP","SPF","67459","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","macrobracteolata","Eugenia macrobracteolata","Mattos",NA,"Mattos, J","s.n.","1961","12","05",NA,"Brasil","São Paulo","Campo Grande, Estação Biológica.",NA,NA,NA,NA,"SPF00067459",NA,"Sobral, M",NA,NA,NA,"2004",NA,NA,NA,NA,NA,NA,NA
"13","2019-10-07 09:35:19-03","UEFS","HUEFS","87514","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Myrtaceae","Eugenia","macrobracteolata","Eugenia macrobracteolata","Mattos","Tipo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HUEFS0087514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rosanae"
"14","2019-02-27 14:02:49-03","UFSJ","HUFSJ","6600","S","Plantae",NA,NA,"Myrtaceae","Eugenia","macrobracteolata","Eugenia macrobracteolata","Mattos",NA,"Faria, JEQ; Lima, MEL","2984","2012","10","26",NA,"Brasil","São Paulo","Reserva Biológica do Alto da Serra de Paranapiacaba, coletada ao lado da casa dos guardas, entrada para a picada 12 Mathias Wacket","-46.3125","-23.775556",NA,"Árvore ca. 5 m de altura, botões florais verdes e flores brancas. (coletado material em sílica gel)","HUFSJ006600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-46.3125","-23.775556",NA
"15","2019-02-27 14:02:49-03","UFSJ","HUFSJ","6633","S","Plantae",NA,NA,"Myrtaceae","Eugenia","macrobracteolata","Eugenia macrobracteolata","Mattos",NA,"Faria, JEQ; Lima, MEL","3051","2012","11","22",NA,"Brasil","São Paulo","Paranapiacaba, reserva Biológica do Alto da Serra de Paranapiacaba, ao lado da portaria da reserva","-46.312778","-23.78",NA,"Árvore ca. 5 m de altura, botões florais verdes, frutos imaturos jovens. (material coletado em sílica gel)","HUFSJ006633",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-46.312778","-23.78",NA
"16","2019-12-20 18:46:41-03","UFSJ","HUFSJ","1873","S","Plantae",NA,NA,"Myrtaceae","Eugenia","macrobracteolata","Eugenia macrobracteolata","Mattos",NA,"Ressel, K; Guilherme, FAG","185","2003","03","10",NA,"Brasil","São Paulo","Parque Estadual da Serra do Mar, Núcleo Santa Virgínia, trilha pirapitinga.","-45.310001373291","-23.2199993133545",NA,"Árvore até 20m de altura, frutos alaranjados.","HUFSJ001873",NA,"Sobral, M","São Luis do Paraitinga",NA,NA,"2009",NA,NA,"27362","auto",NA,NA,NA
"17","2019-11-01 15:05:38-03","UnB","UB","199048","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Eugenia","macrobracteolata","Eugenia macrobracteolata","Mattos",NA,"Faria, JEQ; Lima, MEL","2984","2012","10","26","Southern America","Brasil","São Paulo","Reserva Biológica do Alto da Serra de Paranapiacaba, coletada ao lado da casa dos guardas, entrada para a picada 12 Mathias Wacket","-46.3125","-23.775556",NA,"Árvore ca. 5 m de altura, botões florais verdes e flores brancas. (coletado material em sílica gel); Floresta ombrófila densa montana",NA,NA,"Faria, JEQ","Santo André","781","781","2012","10",NA,NA,NA,"-46.3125","-23.775556",NA
"18","2019-11-01 15:05:38-03","UnB","UB","199112","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Eugenia","macrobracteolata","Eugenia macrobracteolata","Mattos",NA,"Faria, JEQ; Lima, MEL","3051","2012","11","22","Southern America","Brasil","São Paulo","Paranapiacaba, reserva Biológica do Alto da Serra de Paranapiacaba, ao lado da portaria da reserva","-46.312778","-23.78",NA,"Árvore ca. 5 m de altura, botões florais verdes, frutos imaturos jovens. (material coletado em sílica gel); Floresta ombrófila densa montana",NA,NA,"Bünger, M","Santo André","804","804","2012","11",NA,NA,NA,"-46.312778","-23.78",NA
"19","2020-08-20 14:58:16-03","UFSC","FLOR","36976","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Eugenia","macrobracteolata","Eugenia macrobracteolata","Mattos",NA,"Silva, J.M.; Soares, A. & Maschio, W.","2239","1997","11","27",NA,"Brasil","Paraná","Parque Estadual do Murumbi, Rochedinho.","-48.834400177002","-25.476900100708",NA,"árvore, flor alva, 7 a 8m altura","FLOR0036976","FLOR0036976","Bünger, M.O.","Morretes",NA,NA,"2016","03","22","30514","auto",NA,NA,NA
"20","2021-02-08 12:43:55-03","UFRGS","ICN","098731","S","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","leonanii","Eugenia leonanii","Mattos",NA,"Santana, J","s.n.","1969","10","13","América do Sul","Brasil","SP","Estação Ecológica (via férrea São Paulo - Santos)",NA,NA,NA,"Arbusto com ca 3m de altura. Flores brancas; Na mata ciliar",NA,NA,"Sobral, M","Paranapiacaba",NA,NA,"1993",NA,NA,NA,NA,NA,NA,NA
"21","2019-11-21 10:11:31-03","IBt","SP","156563","S","Plantae",NA,NA,"Myrtaceae","Eugenia","leonanii","Eugenia leonanii","Mattos",NA,"Santana, J","s.n.","1968","01","10",NA,"Brasil","São Paulo","E.B. do Alto da Serra de Paranapiacaba, Estação Campo Grande via férrea São Paulo-Santos","-46.5299987792969","-23.6599998474121",NA,NA,"SP020614","SP020614","Kawasaki, ML","Santo André",NA,NA,NA,NA,NA,"27258","auto",NA,NA,NA
"22","2019-11-21 10:11:31-03","IBt","SP","118801","S","Plantae",NA,NA,"Myrtaceae","Eugenia","leonanii","Eugenia leonanii","Mattos","Isotype","Santana, J","s.n.","1970","01","27",NA,"Brasil","São Paulo","Paranapiacaba, (Via férrea São Paulo-Santos) Estação Biológica. Na matinha secundária","-46.5299987792969","-23.6599998474121",NA,"Arvoreta com ca. 3m","SP001332","SP001332","Kawasaki, ML","Santo André",NA,NA,NA,NA,NA,"27258","auto",NA,NA,NA
"23","2019-11-21 10:11:32-03","IBt","SP","7392","S","Plantae",NA,NA,"Myrtaceae","Eugenia","macrobracteolata","Eugenia macrobracteolata","Mattos",NA,"Kuhlmann, M","s.n.","1948","01","14",NA,"Brasil","São Paulo","E.B. do Alto da Serra de Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,"Arvorezinha esguia nativa","SP057027","SP057027 SP057027_01","Bünger, MD","Santo André",NA,NA,"2013","07",NA,"27258","auto",NA,NA,NA
"24","2019-11-21 10:11:32-03","IBt","SP","1266","S","Plantae",NA,NA,"Myrtaceae","Eugenia","macrobracteolata","Eugenia macrobracteolata","Mattos",NA,"Schwebel, E","s.n.","1917","12",NA,NA,"Brasil","São Paulo","E.B. do Alto da Serra de Paranapiacaba, Alto da Serra","-46.5299987792969","-23.6599998474121",NA,NA,"SP057025","SP057025","Bünger, MD","Santo André",NA,NA,"2016","03","22","27258","auto",NA,NA,NA
"25","2019-11-21 10:11:32-03","IBt","SP","65111","S","Plantae",NA,NA,"Myrtaceae","Eugenia","macrobracteolata","Eugenia macrobracteolata","Mattos",NA,"Handro, O","1047","1962","11",NA,NA,"Brasil","São Paulo","E.B. do Alto da Serra de Paranapiacaba, Campo Grande via férrea São Paulo-Santos","-46.5299987792969","-23.6599998474121",NA,"Arbusto ca. 2m de alt., ramos com folhas adultas e ramos com folhas jovens e botões florais em desenvolvimento","SP057026","SP057026","Bünger, MD","Santo André",NA,NA,"2013","07",NA,"27258","auto",NA,NA,NA
