"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","01301799","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Calophyllaceae","Caraipa","odorata","Caraipa odorata","Ducke","F. N. Cabral","M. A. D. de Souza","476","1997","12","02","South America","Brazil","Amazonas","Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Igarapé do Acará.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1578382' target='other'> <mi>dwc_moreinfo</mi></a>","NY01301799","NY01301799_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01301717","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Calophyllaceae","Caraipa","odorata","Caraipa odorata","Ducke","J. A. Kallunki","L. Riedel","s.n.","1831",NA,NA,"South America","Brazil","Amazonas","Rio Negro.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1575845' target='other'> <mi>dwc_moreinfo</mi></a>","NY01301717","NY01301717_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01301716","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Calophyllaceae","Caraipa","odorata","Caraipa odorata","Ducke","K. Kubitzki","J. F. Pruski","3200","1987","09","10","South America","Brazil","Amazonas","Reserva Florestal Ducke, Manaus-Itacoatiara, Km 26. Floresta de Vertente.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1575817' target='other'> <mi>dwc_moreinfo</mi></a>","NY01301716","NY01301716_01","Manaus","-60.0250015258789","-3.10193991661072","138090","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","67006","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Calophyllaceae","Caraipa","odorata","Caraipa odorata","Ducke","K. Kubitzki","W. A. Ducke","23455","1929","11","02","South America","Brazil","Amazonas","Manáos","sheet","Collection date noted on label as 2-11-1929 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=588940' target='other'> <mi>dwc_moreinfo</mi></a>","NY00067006","NY00067006_01",NA,"-59.9953079","-3.0673242",NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01301712","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Calophyllaceae","Caraipa","odorata","Caraipa odorata","Ducke","K. Kubitzki","W. A. Ducke","1083","1942","12","02","South America","Brazil","Amazonas","Manáos, estrada do Aleixo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1575758' target='other'> <mi>dwc_moreinfo</mi></a>","NY01301712","NY01301712_01",NA,"-59.955906","-3.075656",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01301718","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Calophyllaceae","Caraipa","odorata","Caraipa odorata","Ducke","K. Kubitzki","R. de Lemos Fróes","22093","1947","04","07","South America","Brazil","Amazonas","Rio Negro, Tapurucoara.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1575905' target='other'> <mi>dwc_moreinfo</mi></a>","NY01301718","NY01301718_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01301791","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Calophyllaceae","Caraipa","odorata","Caraipa odorata","Ducke","J. A. Kallunki","W. A. Ducke","7767",NA,NA,NA,"South America","Brazil",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1578270' target='other'> <mi>dwc_moreinfo</mi></a>","NY01301791","NY01301791_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01301715","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Calophyllaceae","Caraipa","odorata","Caraipa odorata","Ducke","K. Kubitzki","R. de Lemos Fróes","22093","1947","04","07","South America","Brazil","Amazonas","Rio Negro, Tapurucoara.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1575814' target='other'> <mi>dwc_moreinfo</mi></a>","NY01301715","NY01301715_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01301713","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Calophyllaceae","Caraipa","odorata","Caraipa odorata","Ducke","K. Kubitzki","R. de Lemos Fróes","22093","1947","04","07","South America","Brazil","Amazonas","Rio Negro, Tapurucoara.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1575778' target='other'> <mi>dwc_moreinfo</mi></a>","NY01301713","NY01301713_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01301714","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Calophyllaceae","Caraipa","odorata","Caraipa odorata","Ducke","K. Kubitzki","R. de Lemos Fróes","20498","1945","03",NA,"South America","Brazil","Amazonas",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1575785' target='other'> <mi>dwc_moreinfo</mi></a>","NY01301714","NY01301714_01","Manaus","-60.0250015258789","-3.10193991661072","138090","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
