"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","geoFlag","scientificNameAuthorship","recordNumber","barcode","continentOcean","imagecode","typeStatus","phylum","class","order"
"1","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4522","S","Plantae","Cactaceae","Discocactus","pseudoinsignis","Discocactus pseudoinsignis","Carlos Alberto Ferreira Júnior","2019","02","24","Ferreira Jr., C.A. et all; Maria Guadalupe Carvalho, Juliana Rego Ordones","2019","02","19","Brasil","Minas Gerais","Botumirim","Estrada para o Rio do Peixe, próximo a reserva da SAVE - Rolinha-do-planalto.","-43.010799407959","-16.872200012207","42°59'36.0","16°52'40.2","39434","713","713","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-20 21:16:31-03","UFV","VIC","39956","PreservedSpecimen","Plantae","Cactaceae","Discocactus","pseudoinsignis","Discocactus pseudoinsignis","M.R.Santos",NA,NA,NA,"Santos, M.R.","2011","03","17","Brasil","Minas Gerais","Cristália",NA,"-42.8622016906738","-16.8003005981445",NA,NA,"30029",NA,NA,NA,"Vegetação Cerrado arbustivo e sub-arbustivo, solo arenoso, globoso; Vegetação Cerrado arbustivo e sub-arbustivo, solo arenoso, globos","auto","N. P. Taylor & Zappi","78","VIC039956",NA,NA,NA,NA,NA,NA
"3","2020-12-20 21:16:31-03","UFV","VIC","39985","PreservedSpecimen","Plantae","Cactaceae","Discocactus","pseudoinsignis","Discocactus pseudoinsignis","M.R.Santos",NA,NA,NA,"Santos, M.R.","2011","03","16","Brasil","Minas Gerais","P.E. Grão Mogol",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Campo rupestre, solo arenoso,globoso",NA,"N. P. Taylor & Zappi","74","VIC039985",NA,NA,NA,NA,NA,NA
"4","2020-12-20 21:16:31-03","UFV","VIC","39994","PreservedSpecimen","Plantae","Cactaceae","Discocactus","pseudoinsignis","Discocactus pseudoinsignis","M.R.Santos",NA,NA,NA,"Guarconi, E.","2011","01","30","Brasil","Minas Gerais","Botumirim, Fazenda do grupo Pl",NA,NA,NA,NA,NA,NA,NA,NA,NA,"724m,Campo rupestre",NA,"N. P. Taylor & Zappi","1583","VIC039994",NA,NA,NA,NA,NA,NA
"5","2020-12-20 21:16:31-03","UFV","VIC","39957","PreservedSpecimen","Plantae","Cactaceae","Discocactus","pseudoinsignis","Discocactus pseudoinsignis","M.R.Santos",NA,NA,NA,"Santos, M.R.","2011","03","17","Brasil","Minas Gerais","Cristália",NA,"-42.8622016906738","-16.8003005981445",NA,NA,"30029",NA,NA,NA,"Vegetação Cerrado arbustivo e sub-arbustivo, solo arenoso; Vegetação Cerrado arbustivo e sub-arbustivo, solo arenoso","auto","N. P. Taylor & Zappi","76","VIC039957",NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:19:44-03","MBM","MBM","60641","PreservedSpecimen","Plantae","Cactaceae","Discocactus","pseudoinsignis","Discocactus pseudoinsignis","Taylor, N.P.",NA,NA,NA,"Hatschbach, G.","1978","10","22","Brazil","Minas Gerais","Grão Mogol","10km NO de Grão Mogol","-42.8897018432617","-16.5594005584717",NA,NA,"67219",NA,NA,NA,NA,"auto","N.P. Taylor & Zappi","41634","MBM060641","Southern America","MBM060641",NA,NA,NA,NA
"7","2020-06-15 15:29:44-03","UNESP-RC","HRCB","14067","PreservedSpecimen","Plantae","Cactaceae","Discocactus","pseudoinsignis","Discocactus pseudoinsignis","Zappi, D.C. & Taylor, N. P.","1990",NA,NA,"Zappi, D.C.","1990","06","13","Brasil","Minas Gerais","Grão Mogol","Vale do córrego Escurona","-42.966667","-16.6","42º58'W","16º36'S",NA,"750","750",NA,"plantas globosas, compressas, ca. 16-22cm diâmetro, epiderme verde clara a acinzentada, com 13 costelas, cefálio alvo. Herborizada, coleção em álcool e viva.",NA,"N.P.Taylor & Zappi","s.n.",NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:10:28-03","FZB-BH","BHZB","12555","S","Plantae","Cactaceae","Discocactus","pseudoinsignis","Discocactus pseudoinsignis",NA,NA,NA,NA,"Ferreira Junior, C.A. et al.","2019","02","19","Brasil","MG","Botumirim","Estrada para o Rio do Peixe, próximo a reserva da SAVE - Rolinha-do-planalto.","-43.010799407959","-16.872200012207","42°59'36.0","16°52'40.2","39434","713","713",NA,"Unicata. Cacto crescendo sobre areal. CR e CITES.","auto",NA,"1758",NA,NA,NA,NA,NA,NA,NA
"9","2019-11-13 11:17:19-03","USP","SPF","174187","PreservedSpecimen","Plantae","Cactaceae","Discocactus","pseudoinsignis","Discocactus pseudoinsignis","Anônimo",NA,NA,NA,"Arruda, ECP","2006","03","21","Brasil","Minas Gerais",NA,"Estrada de Grão Mogol para Cristália.","-42.866667","-16.583333","-42.866667","-16.583333",NA,NA,NA,NA,NA,NA,"N.P.Taylor & Zappi","49","SPF00174187",NA,NA,NA,NA,NA,NA
"10","2019-11-13 11:17:19-03","USP","SPF","174188","PreservedSpecimen","Plantae","Cactaceae","Discocactus","pseudoinsignis","Discocactus pseudoinsignis","Anônimo",NA,NA,NA,"Arruda, ECP","2006","03","21","Brasil","Minas Gerais",NA,"Estrada de Grão Mogol para Cristália.","-42.866667","-16.583333","-42.866667","-16.583333",NA,NA,NA,NA,NA,NA,"N.P.Taylor & Zappi","50","SPF00174188",NA,NA,NA,NA,NA,NA
