"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","locality","phylum","order","scientificNameAuthorship","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","imagecode","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:38:15-03","E","E","433329","PreservedSpecimen","Plantae","Compositae","Wedelia","floribunda","Wedelia floribunda","unspecified kind of","Gardner, George","4241","E. Tropical South America","BR","Goyaz","herbarium specimen of unspecif","BGBASE:462876","<a href=http://data.rbge.org.uk/herb/E00433329 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00433329",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:38:15-03","E","E","433069","PreservedSpecimen","Plantae","Compositae","Wedelia","floribunda","Wedelia floribunda","unspecified kind of","Gardner, George","4240","E. Tropical South America","BR","Goyaz","herbarium specimen of unspecif","BGBASE:458396","<a href=http://data.rbge.org.uk/herb/E00433069 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00433069",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:38:15-03","E","E","433330","PreservedSpecimen","Plantae","Compositae","Wedelia","floribunda","Wedelia floribunda","unspecified kind of","Gardner, George","2650","E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:462880","<a href=http://data.rbge.org.uk/herb/E00433330 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00433330","1905","01","12","Piauhy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","781587","PreservedSpecimen","Plantae","Asteraceae","Aspilia","floribunda","Aspilia floribunda",NA,"R. M. Harley","21654","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=706513' target='other'> <mi>dwc_moreinfo</mi></a>","NY00781587","1980","04","23","Chapadao Ocidental da Bahia. Islets and banks of the Rio Corrente by Correntina.","Magnoliophyta","Asterales","Baker","Correntina","-44.63","-13.33","580","580",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","781585","PreservedSpecimen","Plantae","Asteraceae","Aspilia","floribunda","Aspilia floribunda",NA,"J. C. Lindeman","3294","South America","Brazil","Paraná","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=706510' target='other'> <mi>dwc_moreinfo</mi></a>","NY00781585","1966","11","17","Guaria, 7 Quedas.","Magnoliophyta","Asterales","Baker",NA,NA,NA,NA,NA,"G. M. Barroso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","781589","PreservedSpecimen","Plantae","Asteraceae","Aspilia","floribunda","Aspilia floribunda",NA,"J. R. Pirani","3305","South America","Brazil","Espírito Santo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=706509' target='other'> <mi>dwc_moreinfo</mi></a>","NY00781589","1994","12","03","Praia de Guriri.","Magnoliophyta","Asterales","Baker","Sao Mateus","-39.8589","-18.7161",NA,NA,"H. E. Robinson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","781586","PreservedSpecimen","Plantae","Asteraceae","Aspilia","floribunda","Aspilia floribunda",NA,"R. M. Harley","21620","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=706512' target='other'> <mi>dwc_moreinfo</mi></a>","NY00781586","1980","04","23","Chapadao Ocidental da Bahia. Islets and banks of the Rio Corrente by Correntina.","Magnoliophyta","Asterales","Baker","Correntina","-44.63","-13.33","580","580",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","781588","PreservedSpecimen","Plantae","Asteraceae","Aspilia","floribunda","Aspilia floribunda",NA,"Hoehne","s.n.","South America","Brazil","São Paulo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=706511' target='other'> <mi>dwc_moreinfo</mi></a>","NY00781588","1924","01","24","Parque Jabaquara.","Magnoliophyta","Asterales","Baker","Sao Paulo","-46.63","-23.5403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-27 14:56:00-03","NY","NYBG","781590","PreservedSpecimen","Plantae","Asteraceae","Aspilia","floribunda","Aspilia floribunda",NA,"T. J. Killeen","1929A","South America","Bolivia","Santa Cruz","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=706508' target='other'> <mi>dwc_moreinfo</mi></a>","NY00781590","1986","04","08","Est. San Josecito, 8km NW of Concepción.","Magnoliophyta","Asterales",NA,"Ñuflo de Chávez","-62.08","-16.03","490","490","J. F. Pruski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-28 14:01:00-03","NY","NYBG","277949","PreservedSpecimen","Plantae","Asteraceae","Viguiera","floribunda","Viguiera floribunda","isotype","G. Gardner","VIII.4241","South America","Brazil","Tocantins","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=83044' target='other'> <mi>dwc_moreinfo</mi></a>","NY00277949","1840","05",NA,"Brasil. Prov. Goyaz, prope Villa de Arrayas.","Magnoliophyta","Asterales",NA,"Arraias","-46.9381","-12.9317",NA,NA,NA,"NY00277949_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
