"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","locality","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","infraspecificEpithet","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","sex"
"1","2021-04-05 14:33:13-03","UNESC","CRI","9496","PreservedSpecimen","Plantae","Annonaceae","Annona","neosericea","Annona neosericea","H.Rainer","A. L. de Gasper","2009","11","01","J. L. Schmitt; E. Caglioni, S. Andrade & C. Cristofolini","449","2009","10","27","Brasil","Santa Catarina","Presidente Nereu","-49.231389","-27.181389","49º13'53''W","27º10'53''S","533","533","Floresta Ombrófila Densa Habitat: mata ciliar Habito: arbórea","CRI000133","CRI000133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:48-03","UNESC","CRI","9571","PreservedSpecimen","Plantae","Annonaceae","Annona","neosericea","Annona neosericea","H.Rainer","A. A. de Oliveira","2010","03","18","M. Verdi; D. H. Klettenberg & G. Klemz","3399","2010","01","27","Brasil","Santa Catarina","Treviso","-49.497222","-28.529167","49º29'50''W","28º31'45''S","197","197","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea","CRI000131","CRI000131","Cirenaica.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:24:48-03","UNESC","CRI","9504","PreservedSpecimen","Plantae","Annonaceae","Annona","neosericea","Annona neosericea","H.Rainer","A. L. de Gasper","2010","03","15","S. Dreveck; F. E. Carneiro","1597","2010","01","26","Brasil","Santa Catarina","Jaraguá do Sul","-49.172233","-26.552222","49º10'334''W","26º33'8''S","180","180","Floresta Ombrófila Densa Habitat: entorno de fragmento Habito: arvoreta","CRI000132","CRI000132","Garibaldi.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:24:48-03","UNESC","CRI","5172","PreservedSpecimen","Plantae","Annonaceae","Annona","neosericea","Annona neosericea","H.Rainer","V. C. Zanette",NA,NA,NA,"V. Citadini-Zanette; T. Ike & T. Komatsubara","2325","1996","11","04","Brasil","Santa Catarina","Lauro Muller","-49.396944","-28.393333","49º23'49''W","28º23'36''S",NA,NA,"Habitat: beira do rio","CRI000300","CRI000300","Rocinha.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:24:48-03","UNESC","CRI","11758","PreservedSpecimen","Plantae","Annonaceae","Annona","neosericea","Annona neosericea","H.Rainer",NA,NA,NA,NA,"Jean Gabriel Cemin; Marciel Fernandes e Kleber Emerick",NA,"2009","08","04","Brasil","Santa Catarina","Turvo","-49.681944","-28.928056","49º40'55''W","28º55'41''S","29","29",NA,"CRI000128","CRI000128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:13-03","UNESC","CRI","4176","PreservedSpecimen","Plantae","Annonaceae","Annona","neosericea","Annona neosericea","H.Rainer","Vanilde Citadini- Zanette","1996","08","28","V. P. Boff","378","1995","11","29","Brasil","Santa Catarina","Jacinto Machado","-49.761111","-29.000278","49º45'40''W","29º0'1''S","42","42","Habito: arbórea","CRI000134","CRI000134","Pinheirinho.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:24:48-03","UNESC","CRI","6263","PreservedSpecimen","Plantae","Annonaceae","Annona","neosericea","Annona neosericea","H.Rainer","Vanilde Citadini- Zanette",NA,NA,NA,"V. Citadini-Zanette; R. dos Santos & C. Martine","2542","1993","08","13","Brasil","Santa Catarina","Orleans","-49.291667","-28.359444","49º17'30''W","28º21'34''S","187","187",NA,"CRI000296","CRI000296","Rio Novo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:24:48-03","UNESC","CRI","1008","PreservedSpecimen","Plantae","Annonaceae","Annona","neosericea","Annona neosericea","H.Rainer","Renato Záquia",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Clair Maria Martinello","1286","1991","11","28","Brasil","Santa Catarina","Orleans","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI000298","CRI000298","Rio Novo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:24:48-03","UNESC","CRI","4903","PreservedSpecimen","Plantae","Annonaceae","Annona","neosericea","Annona neosericea","H.Rainer","Vanilde Citadini- Zanette","1996","08","28","Aurea Stela Wessling Wernoke",NA,"1995","10","22","Brasil",NA,"Brasil","-49.165833","-28.275556","49º9'57''W","28º16'32''S","171","171",NA,"CRI000299","CRI000299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:24:48-03","UNESC","CRI","3187","PreservedSpecimen","Plantae","Annonaceae","Annona","neosericea","Annona neosericea","H.Rainer","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; João Juares Soares","1934","1992","10","22","Brasil","Santa Catarina","Orleans","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI000294","CRI000294","Rio Novo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
