"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","county","minimumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","class","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","01806422","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","umbrosa","Eugenia umbrosa","O.Berg","R. A. S. de Pontes","R. A. S. de Pontes","854","2012","11","22","South America","Brazil","Pernambuco","Água Preta, Fazenda Camarão.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2197069' target='other'> <mi>dwc_moreinfo</mi></a>","NY01806422","NY01806422_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01806417","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","umbrosa","Eugenia umbrosa","O.Berg","R. A. S. de Pontes","R. A. S. de Pontes","831","2012","10","25","South America","Brazil","Pernambuco","Água Preta, Fazenda Camarão: Mata da sede da fazenda.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2197053' target='other'> <mi>dwc_moreinfo</mi></a>","NY01806417","NY01806417_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1737913","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","umbrosa","Eugenia umbrosa","O.Berg","B. S. Amorim","B. S. Amorim","1295","2011","11","23","South America","Brazil","Pernambuco","Lagoa dos Gatos, RPPN Pedra Danta. Mata do Peru.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1944115' target='other'> <mi>dwc_moreinfo</mi></a>","NY01737913","NY01737913_01","-35.8597","-8.6914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","03687192","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","umbrosa","Eugenia umbrosa","O.Berg","A. M. Amorim","L. Nusbaumer","4182","2014","10","17","South America","Brazil","Alagoas","Reserva Biológica da Pedra Talhada. localité de Quebrangulo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2952221' target='other'> <mi>dwc_moreinfo</mi></a>","NY03687192","NY03687192_01","-36.444596","-9.228694","Quebrangulo","730",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01874160","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","umbrosa","Eugenia umbrosa","O.Berg","B. S. Amorim","B. S. Amorim","1713","2012","12","20","South America","Brazil","Alagoas","REBIO Pedra Talhada, Trilha para riacho, interior da mata.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2249851' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874160","NY01874160_01","-36.4281","-9.2511","Quebrangulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1738419","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","umbrosa","Eugenia umbrosa","O.Berg","B. S. Amorim","B. S. Amorim","1398","2012","01","24","South America","Brazil","Alagoas","REBIO Pedra Talhada, Mata próximo à Pedra Talhada.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2007729' target='other'> <mi>dwc_moreinfo</mi></a>","NY01738419","NY01738419_01","-36.4710998535156","-9.31888961791992","Quebrangulo",NA,"16583","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2017-05-17 10:21:00-03","NY","NYBG","02173099","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","umbrosa","Eugenia umbrosa",NA,NA,"S. J. da Silva Neto","1005","1997","08","28","South America","Brazil","Rio de Janeiro","Reservatório de Saracuruna(REDUC), Rio Pedra BRanca. Reserva da Petrobras","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2847907' target='other'> <mi>dwc_moreinfo</mi></a>","NY02173099","NY02173099_01","-42.5","-22.516667","Duque de Caxias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-06-29 11:31:36-03","UFRJ","RFA","17885","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","magnifolia","Eugenia magnifolia","Kiaersk.","G. M. Barroso","Pessoal do Horto Florestal",NA,"1928","01","17",NA,"Brasil","Rio de Janeiro","Pedra Bonita, Gávea",NA,"Árvore de 3 - 5 m de altura, alva","RFA46453",NA,"-43.2075004577637","-22.9027996063232","Rio de Janeiro",NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-13 09:20:23-03","UFRJ","RFA","25688","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","umbrosa","Eugenia umbrosa","O.Berg","G.M. Barroso","A. Quinet","mai-54","2000","11","24",NA,"Brasil","Rio de Janeiro","Distrito de Piabetá",NA,"Árvore, 4 m de altura, 27 cm de DAP, flores com cálice verde e corola amarelada, folha discolor, comum no local","RFA42085",NA,"-43.124444","-22.573333","Magé","290",NA,NA,"2001","01","26","43º7'28''W","22º34'24''S","290",NA,NA,NA,NA,NA
"10","2020-11-13 09:20:23-03","UFRJ","RFA","26870","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","umbrosa","Eugenia umbrosa","O.Berg","G.M. Barroso","A. Quinet","set-73","2001","02","16",NA,"Brasil","Rio de Janeiro","Lumiar, Sítio dos Lírios Brancos",NA,"Árvore, 6 m de altura, 35 cm de DAP, folha discolor verde, fruto imaturo verde de cálice persistente, comum no local","RFA42088",NA,"-42.3825","-22.373333","Nova Friburgo","700",NA,NA,"2001","06","26","42º22'57''W","22º22'24''S","700",NA,NA,NA,NA,NA
