"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","stateProvince","phylum","order","scientificNameAuthorship","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","identifiedBy","county","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2020-09-23 10:40:56-03","E","E","259151","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","longifolia","Utricularia longifolia","unspecified kind of","Gardner, George","252","W. Tropical South America","BR","Tijuca","herbarium specimen of unspecif","BGBASE:266452","<a href=http://data.rbge.org.uk/herb/E00259151 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:56-03","E","E","310860","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","longifolia","Utricularia longifolia",NA,"Harley, R.M.; Nic Lughadha, E.; Sakuragui, C.M.; Ganev, W.",NA,"E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:316838","<a href=http://data.rbge.org.uk/herb/E00310860 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00310860","1991","12","21","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:56-03","E","E","315761","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","longifolia","Utricularia longifolia",NA,"Harley, Raymond M.","19278","E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:319544","<a href=http://data.rbge.org.uk/herb/E00315761 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00315761","1977","03","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:40:56-03","E","E","259150","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","longifolia","Utricularia longifolia","unspecified kind of","Gardner, George","252","W. Tropical South America","BR","Tijuca","herbarium specimen of unspecif","BGBASE:266418","<a href=http://data.rbge.org.uk/herb/E00259150 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","400613","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","longifolia","Utricularia longifolia",NA,"R. M. Harley","27261","South America","Brazil","Agua Quente. Pico das Almas. Vertente norte. Vale ao oeste da Serra do Pau Queimado","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=35195' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400613","1988","12","16","Bahia","Magnoliophyta","Lamiales","Gardner","-41.98","-13.5","1500","1500","NY00400613_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","632293","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","longifolia","Utricularia longifolia",NA,"R. M. Harley","H50221","South America","Brazil","Agua Limpa","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=35187' target='other'> <mi>dwc_moreinfo</mi></a>","NY00632293","1991","12","21","Bahia","Magnoliophyta","Lamiales","Gardner","-41.87","-13.3","1350","1650","NY00632293_01","R. M. Harley","Abaíra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","777285","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","longifolia","Utricularia longifolia",NA,"A. M. Amorim","2801","South America","Brazil","Pico do Itobira. Coletas efetuadas na trilha para o Pico","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=35196' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777285","1999","04","12","Bahia","Magnoliophyta","Lamiales","Gardner","-41.8114","-13.5792","1300","1300","NY00777285_01",NA,"Rio de Contas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","400610","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","longifolia","Utricularia longifolia",NA,"H. S. Irwin","32505","South America","Brazil","Rio Ferro Doido, ca. 18 km E of Morro do Chapéu","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=35188' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400610","1971","02","18","Bahia","Magnoliophyta","Lamiales","Gardner","-41.1558","-11.5503","1100","1100","NY00400610_01","P. G. Taylor","Morro do Chapéu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","400612","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","longifolia","Utricularia longifolia",NA,"A. M. V. de Carvalho","6631","South America","Brazil","Pico do Itubira. Cerca de 31 km SW da cidade, caminho para Mato Grosso","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=35194' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400612","1998","08","29","Bahia","Magnoliophyta","Lamiales","Gardner","-41.8969","-13.3889",NA,NA,"NY00400612_01",NA,"Rio de Contas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","400611","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","longifolia","Utricularia longifolia",NA,"D. R. Hunt","5429","South America","Brazil","Guanabara: Rio de Janeiro, 2 km. above Usina on the Avenida Eng. Passos.","sheet",NA,"date says 4.5.66 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=35193' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400611","1966","05","04","Rio de Janeiro","Magnoliophyta","Lamiales","Gardner","-43.2075","-22.9031",NA,NA,"NY00400611_01",NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
