"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00893238","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","basiloba","Byrsonima basiloba","A.Juss.","W. R. Anderson","J. H. Kirkbride Jr.","3532","1980","07","10","South America","Brazil","Distrito Federal","Brasília","Perto Córrego Terra Branca.","-47.75","-15.57","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966430' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893238","NY00893238_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00893234","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","basiloba","Byrsonima basiloba","A.Juss.",NA,"J. A. Ratter","R.2849","1976","03","31","South America","Brazil","Distrito Federal","Brasília","clos to the Escola Fazendária, c. 11 km SE of the Brasília TV Tower.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966411' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893234","NY00893234_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00893231","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","basiloba","Byrsonima basiloba","A.Juss.","W. R. Anderson","E. P. Heringer","13257","1974","04","10","South America","Brazil","Distrito Federal","Brasília","Chapada da Contagem.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966403' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893231","NY00893231_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00893198","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","basiloba","Byrsonima basiloba","A.Juss.","W. R. Anderson","H. S. Irwin","5339","1964","08","20","South America","Brazil","Distrito Federal","Brasília","Ca. 38 km E. of Brasília.","-47.85","-15.68","700","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966181' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893198","NY00893198_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00893208","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","basiloba","Byrsonima basiloba","A.Juss.","H. S. Irwin","H. S. Irwin","13892","1966","03","11","South America","Brazil","Distrito Federal","Brasília","West margin of Lagoa Paranoá","-47.83","-15.78","975","975","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966266' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893208","NY00893208_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00893200","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","basiloba","Byrsonima basiloba","A.Juss.","W. R. Anderson","H. S. Irwin","5849","1964","09","02","South America","Brazil","Distrito Federal","Brasília","Universidade de Brasília.","-47.875","-15.758","700","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966233' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893200","NY00893200_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2360986","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","basiloba","Byrsonima basiloba","A.Juss.",NA,"A. F. M. Glaziou","20782",NA,NA,NA,"South America","Brazil","Goiás",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2543935' target='other'> <mi>dwc_moreinfo</mi></a>","NY02360986","NY02360986_01 NY02360986_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00893248","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","basiloba","Byrsonima basiloba","A.Juss.",NA,"J. C. Lindeman","6053",NA,NA,NA,"South America","Brazil","Distrito Federal","Brasília","Peninsula in Lago de Brasília.","-47.9294","-15.7797","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966620' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893248","NY00893248_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00893230","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","basiloba","Byrsonima basiloba","A.Juss.","W. R. Anderson","E. P. Heringer","13069","1974","01","04","South America","Brazil","Distrito Federal","Brasília","Chapada da Contagem.","-47.9294","-15.7797","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966399' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893230","NY00893230_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00893227","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","basiloba","Byrsonima basiloba","A.Juss.","B. A. S. Periera","E. P. Heringer","4148","1980","03","28","South America","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu. Quadrícula No. 171.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966387' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893227","NY00893227_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
