"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","typeStatus","recordNumber","continentOcean","locality","preparationType","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","infraspecificEpithet","individualCount","fieldNumber"
"1","2021-04-05 14:34:00-03","UNESC","CRI","2068","PreservedSpecimen","Plantae","Poaceae","Saccharum","angustifolium","Saccharum angustifolium","(Nees) Trin.","L. B. Smith","R. Reitz; R. M. Klein","1963","12","28","Brasil","Santa Catarina","Irani","-51.901944","-27.025278","51º54'7''W","27º1'31''S","938","938","CRI006819","CRI006819",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","381016","PreservedSpecimen","Plantae","Poaceae","Erianthus","fischerianus","Erianthus fischerianus","Döll",NA,"L. Riedel",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"NY00381016","NY00381016_01","Magnoliophyta","Poales","type","1654","South America","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276564' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-10-28 16:20:00-02","NY","NYBG","00906287","PreservedSpecimen","Plantae","Poaceae","Saccharum","angustifolium","Saccharum angustifolium",NA,NA,"P. Clausen",NA,NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"NY00906287","NY00906287_01","Magnoliophyta","Poales",NA,"s.n.","South America","Minas-Geraes, Bresil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971541' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-11-01 12:52:00-02","NY","NYBG","783924","PreservedSpecimen","Plantae","Poaceae","Saccharum","angustifolium","Saccharum angustifolium",NA,NA,"B. V. Skvortzov","1963","12","12","Brazil","São Paulo","Sao Paulo","-46.63","-23.6",NA,NA,"760","820","NY00783924","NY00783924_01","Magnoliophyta","Poales",NA,"195","South America","Parque do Estado (on old maps Parque de Agua Funda), grounds of the Instituto de Botânica. Ca. 10 km. south and 0.8-1.0 km. east of center of Sao Paulo (Praça da Sé)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=677894' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-11-01 12:52:00-02","NY","NYBG","783925","PreservedSpecimen","Plantae","Poaceae","Saccharum","angustifolium","Saccharum angustifolium",NA,NA,"B. V. Skvortzov","1963","12","12","Brazil","São Paulo","Sao Paulo","-46.63","-23.6",NA,NA,"760","820","NY00783925","NY00783925_01","Magnoliophyta","Poales",NA,"195","South America","Parque do Estado (on old maps Parque de Agua Funda), grounds of the Instituto de Botânica. Ca. 10 km. south and 0.8-1.0 km. east of center of Sao Paulo (Praça da Sé)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=677895' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 21:25:00-03","NY","NYBG","00906286","PreservedSpecimen","Plantae","Poaceae","Saccharum","angustifolium","Saccharum angustifolium",NA,NA,"A. F. M. Glaziou","1896",NA,NA,"Brazil","Goiás",NA,NA,NA,NA,NA,NA,NA,"NY00906286","NY00906286_01","Magnoliophyta","Poales",NA,"22380","South America","Brazil: Chiefly Province of Goyaz","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971536' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-11-01 12:52:00-02","NY","NYBG","783928","PreservedSpecimen","Plantae","Poaceae","Saccharum","angustifolium","Saccharum angustifolium",NA,NA,"R. Reitz","1963","02","03","Brazil","Santa Catarina",NA,NA,NA,NA,NA,"900","900","NY00783928","NY00783928_01","Magnoliophyta","Poales",NA,"6542","South America","Passo do Socorro, Lajes","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=677897' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-11-01 12:52:00-02","NY","NYBG","783930","PreservedSpecimen","Plantae","Poaceae","Saccharum","angustifolium","Saccharum angustifolium",NA,NA,"M. A. Chase","1929","12","21","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"1350","1400","NY00783930","NY00783930_01","Magnoliophyta","Poales",NA,"10257","South America","Hargreaves","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=677901' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-11-01 12:52:00-02","NY","NYBG","783927","PreservedSpecimen","Plantae","Poaceae","Saccharum","angustifolium","Saccharum angustifolium",NA,NA,"R. Reitz","1960","12","27","Brazil","Santa Catarina","Sao José","-48.6272","-27.6156",NA,NA,"700","700","NY00783927","NY00783927_01","Magnoliophyta","Poales",NA,"10603","South America","Serra da Boa Vista, Sao José","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=677896' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","783929","PreservedSpecimen","Plantae","Poaceae","Saccharum","angustifolium","Saccharum angustifolium","(Nees) Trin.",NA,"G. Gardner","1836",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"NY00783929","NY00783929_01","Magnoliophyta","Poales",NA,"851","South America","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=677900' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
