"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","phylum","class","order","identifiedBy","yearIdentified","monthIdentified","dayIdentified","locality","occurrenceRemarks","fieldNumber","preparationType","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-01-14 15:26:37-03","MN","R","222553","PreservedSpecimen","Plantae","Cactaceae","Echinopsis","oxygona","Echinopsis oxygona","(Link) Zucc. ex Pfeiff. & Otto","Aona, L.Y.S.","1249 a","2009","07","03","Brasil","Bahia","Cruz das Almas","-39.1018981933594","-12.6700000762939","14660","R010023312","R010023312","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:28:35-03","IAP","PACA-AGP","73467","PreservedSpecimen","Plantae","Cactaceae","Echinopsis","oxygona","Echinopsis oxygona","Zucc.","U. Eggli","2465","1994","02","03","Brasil","RS","Caçapava do Sul","-53.4914016723633","-30.5121994018555","50525","PACA073467",NA,"auto","Magnoliophyta","Magnoliatae","Caryophyllales","N.P.Zaylor","2010","08","20","Pedra do Segredo",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:28:35-03","IAP","PACA-AGP","2165","PreservedSpecimen","Plantae","Cactaceae","Echinopsis","oxygona","Echinopsis oxygona","Zucc.","Rambo, B.",NA,"1935","11","16","Brasil","RS","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","PACA002165",NA,"auto","Magnoliophyta","Magnoliatae","Caryophyllales","N.P.Zaylor","2010","08","20",NA,"CRITICAMENTE EM PERIGO Habitat: Culta. Fenofase: flor",NA,NA,NA,NA,NA,NA,NA
"4","2019-11-25 12:11:42-03","UFSM","SMDB","18382","S","Plantae","Cactaceae","Echinopsis","oxygona","Echinopsis oxygona","LinkZucc.","Moia, IW; Borges, I Essi, L","18","2018","11","20","Brasil","Rio Grande do Sul","Santa Maria","-53.8069000244141","-29.6842002868652","37819","SMDB018382",NA,"auto",NA,NA,NA,"Moia, I W","2018","11","20","Distrito Santo Antão","Encontrada crescendo em solo rochoso e próximo à paredões rochosos. Planta ameaçada de extinção. Projeto: Flora de Santa Maria revisitada.",NA,NA,NA,NA,NA,NA,NA
"5","2015-09-04 16:17:41-03","MNHN","RECOLNAT_MNHN_P","P04596230","PreservedSpecimen",NA,"Cactaceae","Echinopsis","tubiflora","Echinopsis tubiflora","(Pfeiff.) Zucc. ex A.Dietr.","Goodall, N.|Tirel, C.",NA,"1973","11","4","Argentina",NA,NA,NA,NA,NA,"P04596230","P04596230_01",NA,NA,NA,NA,NA,NA,NA,NA,"Prov. Corrientes; Dept. Paso de los Libres Route 23, coté est du Rio Mirinay. Argentina, América do Sul",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04596230' target='other'> <mi>dwc_moreinfo</mi></a>","139","hb",NA,NA,NA,NA,NA
"6","2013-08-23 04:12:00-03","MO","MOBOT","1450140","PreservedSpecimen","Plantae","Cactaceae","Echinopsis","eyriesii","Echinopsis eyriesii","(Turpin) Zucc.","W.G. Herter","Herter 2247","1936","11",NA,"Uruguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA
"7","2008-05-27 22:02:00-03","MO","MOBOT","1453102","PreservedSpecimen","Plantae","Cactaceae","Echinopsis","eyriesii","Echinopsis eyriesii","(Turpin) Zucc.","Anonymous","Anonymous s.n.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,"South America",NA,NA,NA,NA
"8","2013-08-23 04:12:00-03","MO","MOBOT","1451924","PreservedSpecimen","Plantae","Cactaceae","Echinopsis","tubiflora","Echinopsis tubiflora","(Pfeiff.) Zucc. ex A. Dietr.","John A. Shafer","Shafer 105","1917","2","15","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Choromoro",NA,NA,NA,"South America",NA,NA,NA,NA
"9","2021-03-04 11:06:37-03","UFRB","HURB","1272","PreservedSpecimen","Plantae","Cactaceae","Echinopsis","oxygona","Echinopsis oxygona","(Link) Zuccarinni ex Pfeiffer & Otto","Aona, L.Y.S.","1249","2009","07","03","Brasil","Bahia","Cruz das Almas","-39.1018981933594","-12.6700000762939","14660","HURB000001272","HURB000001272","auto","Anthophyta",NA,NA,NA,NA,NA,NA,"cultivado;","1249A.",NA,NA,NA,NA,NA,NA,NA
"10","2020-06-15 15:29:44-03","UNESP-RC","HRCB","13890","PreservedSpecimen","Plantae","Cactaceae","Echinopsis","oxygona","Echinopsis oxygona","(Link & Otto) Pfeiff. & Otto","Fernandes, I.","874","1990","12","28","Brasil","Rio Grande do Sul","Bagé","-54.1068992614746","-31.3313999176025","74087",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,"Casa da Pedra","Flores róseas com estames e estigma brancos.",NA,NA,NA,NA,NA,NA,NA
"11","2019-11-07 11:44:07-03","FUVATES","HVAT","1693","PreservedSpecimen","Plantae","Cactaceae","Echinopsis","oxygona","Echinopsis oxygona","(Link & Otto) Pfeiff. & Otto","E. Freitas","s.n.","2005","01","17","Brasil","Rio Grande do Sul","São Francisco de Assis","-55.131111","-29.550278",NA,"HVAT00001693",NA,NA,NA,NA,NA,"E. Freitas","2005","01","19","Fazenda Joaquim Paz.","área de campo arenoso e seco, em rochas da econsta de morro tabular.",NA,NA,NA,"-55º7'52''W","-29º33'1''S",NA,NA
