"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","typeStatus","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","infraspecificEpithet","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","sex"
"1","2021-04-05 14:33:35-03","UNESC","CRI","15370","PreservedSpecimen","Plantae","Lauraceae","Nectandra","leucantha","Nectandra leucantha","Nees & Mart.","Isadora Zapelini & José T. Pires","2020","08","08","Alexandre Medeiros","2017","04","19","Brasil","Santa Catarina","Balneário Camboriú","Barra.","-48.640278","-26.999167","48º38'25''W","26º59'57''S","Habito: Arbóreo","CRI014787",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:18-03","E","E","259438","PreservedSpecimen","Plantae","Lauraceae","Nectandra","leucantha","Nectandra leucantha",NA,NA,NA,NA,NA,"Gardner, George",NA,NA,NA,"BR","Minas Gerais",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00259438 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259438","syntype","5150","E. Tropical South America","herbarium specimen of unspecif","BGBASE:270843",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","469085","PreservedSpecimen","Plantae","Lauraceae","Nectandra","leucantha","Nectandra leucantha","Nees","J. G. Rohwer",NA,NA,NA,"R. Reitz","1954","11","06","Brazil","Santa Catarina","Luiz Alves","Luis Alves, Itajaí","-48.9328","-26.7208",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=570155' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469085",NA,"2266","South America","sheet",NA,"Magnoliophyta","Laurales","100","100","NY00469085_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","469083","PreservedSpecimen","Plantae","Lauraceae","Nectandra","leucantha","Nectandra leucantha","Nees","I. de Vattimo",NA,NA,NA,"R. Reitz","1957","10","05","Brazil","Santa Catarina","Garuva","Tres Barras, Garuva","-48.8547","-26.0269",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=570160' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469083",NA,"5041","South America","sheet",NA,"Magnoliophyta","Laurales","100","100","NY00469083_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","469136","PreservedSpecimen","Plantae","Lauraceae","Nectandra","leucantha","Nectandra leucantha","Nees",NA,NA,NA,NA,"G. G. Hatschbach","1974","05","03","Brazil","Paraná","Antonina","Rio Cachoeira","-48.7117","-25.4286",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=570162' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469136",NA,"34407","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,"NY00469136_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","469086","PreservedSpecimen","Plantae","Lauraceae","Nectandra","leucantha","Nectandra leucantha","Nees","J. G. Rohwer",NA,NA,NA,"R. Reitz","1956","10","11","Brazil","Santa Catarina","Ibirama",NA,"-49.5178","-27.0569",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=570157' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469086",NA,"3874","South America","sheet",NA,"Magnoliophyta","Laurales","150","150","NY00469086_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","469082","PreservedSpecimen","Plantae","Lauraceae","Nectandra","leucantha","Nectandra leucantha","Nees","J. G. Rohwer",NA,NA,NA,"A. Gevieski","1954","04","20","Brazil","Santa Catarina","Ibirama","Horto Florestal I. N. P.","-49.5178","-27.0569",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=570163' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469082",NA,"141","South America","sheet",NA,"Magnoliophyta","Laurales","300","300","NY00469082_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02687316","PreservedSpecimen","Plantae","Lauraceae","Nectandra","leucantha","Nectandra leucantha","Nees",NA,NA,NA,NA,"E. G. A. Martins","2012","05","19","Brazil","São Paulo","Cubatão","Parque Ecológico Perequê. Após o campinho de futebol, na borda da mata ao lado da área de churrasco/banheiros e início da trilha de captação de àgua do Parque. Borda de Floresta Atlântica.","-46.41578","-23.84886",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2962284' target='other'> <mi>dwc_moreinfo</mi></a>","NY02687316",NA,"357","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,"NY02687316_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","469080","PreservedSpecimen","Plantae","Lauraceae","Nectandra","leucantha","Nectandra leucantha","Nees",NA,NA,NA,NA,"G. G. Hatschbach","1967","04","22","Brazil","Paraná","Paranaguá","Morro do Tabaquara","-48.5092","-25.5203",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=570165' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469080",NA,"16358","South America","sheet",NA,"Magnoliophyta","Laurales","100","100","NY00469080_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1039634","PreservedSpecimen","Plantae","Lauraceae","Nectandra","leucantha","Nectandra leucantha","Nees","M. L. Brotto",NA,NA,NA,"M. L. Brotto","2008","05","14","Brazil","Paraná","Morretes","Serra da Graciosa, estrada da Graciosa.","-48.8836","-25.3522",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1488656' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039634",NA,"137","South America","sheet",NA,"Magnoliophyta","Laurales","500",NA,"NY01039634_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
