"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","355048","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cryptocarya","riedelii","Cryptocarya riedelii","Meisn.","isotype","L. Riedel","770","1821","05","South America","Brazil","In sylvis pr. Esperança.","sheet","Comm. ex Herb. Imp. Petropol. 1859 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=234372' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355048","NY00355048_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","354876","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cryptocarya","riedelii","Cryptocarya riedelii","Meisn.","possible type","L. Riedel","770","1860","12","South America","Brazil","Brasilia","sheet","Fragments of Cryptocarya riedelii, which is identical with Ocotea macrocalyx. Meissner erroneously described the species as : Riedel 770 under both names. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=234371' target='other'> <mi>dwc_moreinfo</mi></a>","NY00354876","NY00354876_01","A. J. G. H. Kostermans","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","540864","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Rhodostemonodaphne","macrocalyx","Rhodostemonodaphne macrocalyx","(Meisn.) Rohwer ex Madriñán",NA,"Pessoal do Horto Florestal","s.n.","1927","12","South America","Brazil","Gravata, Pae Ricardo, perto da sede do Horto Florestal","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=306678' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540864","NY00540864_01","S. R. Madriñán","30","Rio de Janeiro","Rio de Janeiro","-43.23","-22.9","150","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","540860","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Rhodostemonodaphne","macrocalyx","Rhodostemonodaphne macrocalyx","(Meisn.) Rohwer ex Madriñán",NA,"G. G. Hatschbach","18487","1968","01","South America","Brazil","Cacatu","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=306673' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540860",NA,"S. R. Madriñán","29","Paraná","Antonina","-48.72","-25.45","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","540863","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Rhodostemonodaphne","macrocalyx","Rhodostemonodaphne macrocalyx","(Meisn.) Rohwer ex Madriñán",NA,"A. P. Duarte","5605","1961","07","South America","Brazil","Estrada do Redentor","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=306676' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540863","NY00540863_01","S. R. Madriñán","10","Rio de Janeiro","Rio de Janeiro","-43.23","-22.9","150","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","540861","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Rhodostemonodaphne","macrocalyx","Rhodostemonodaphne macrocalyx","(Meisn.) Rohwer ex Madriñán",NA,"G. G. Hatschbach","18487","1968","01","South America","Brazil","Cacatu","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=306672' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540861","NY00540861_01","S. R. Madriñán","29","Paraná","Antonina","-48.72","-25.45","250","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","540871","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Rhodostemonodaphne","macrocalyx","Rhodostemonodaphne macrocalyx","(Meisn.) Rohwer ex Madriñán",NA,"A. F. M. Glaziou","18454","1891","04","South America","Brazil","Alto Macahé","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=306682' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540871","NY00540871_01","S. R. Madriñán","07","Rio de Janeiro","Nova Friburgo","-42.33","-22.32","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","540865","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Rhodostemonodaphne","macrocalyx","Rhodostemonodaphne macrocalyx","(Meisn.) Rohwer ex Madriñán",NA,"E. Pereira","4520","1959","02","South America","Brazil","Sumaré, próximo as torres da T.V.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=306675' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540865",NA,"S. R. Madriñán","24","Rio de Janeiro","Rio de Janeiro","-43.232881","-22.951176","250","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","540866","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Rhodostemonodaphne","macrocalyx","Rhodostemonodaphne macrocalyx","(Meisn.) Rohwer ex Madriñán",NA,"Pessoal do Horto Florestal","s.n.","1926","12","South America","Brazil","Mata do pae Ricardo, perto séde do Horto Florestal","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=306674' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540866","NY00540866_01","S. R. Madriñán","20","Rio de Janeiro","Rio de Janeiro","-43.23","-22.9","150","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","540869","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Rhodostemonodaphne","macrocalyx","Rhodostemonodaphne macrocalyx","(Meisn.) Rohwer ex Madriñán",NA,"A. F. M. Glaziou","15367","1884","01","South America","Brazil","Corcovado","sheet","donné par Mme Simard, sa fille, en 1907 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=306680' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540869","NY00540869_01","S. R. Madriñán","19","Rio de Janeiro","Rio de Janeiro","-43.22","-22.95","710","710",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
