"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","identifiedBy","relatedCatalogItem","fieldNumber","individualCount","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","214240","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Primulaceae","Ctenardisia","speciosa","Ctenardisia speciosa","Ducke","isotype","W. A. Ducke","2524","1927","09","07","South America","Brazil","Pará","As orientem lacus Salgado prope flumen. Trombetas","-55.9212738","-1.4382103","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=267654' target='other'> <mi>dwc_moreinfo</mi></a>","NY00214240","NY00214240_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:47:15-03","EAO","IAN","50600","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Primulaceae","Ctenardisia","speciosa","Ctenardisia speciosa","Ducke",NA,"Ducke, A","s.n.","1927","10","22","Southern America","Brasil","Pará","Lago Salgado; Rio Trombetas; mata da terra firme, a leste em baixas pedregosas umidas.",NA,NA,NA,"Arbustinho. &nf;Flor: 7.9.1927&nf;Fruto:7.2.1927","IAN050600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:03:22-03","NBC","NL-BOTANY","U 0004885","PreservedSpecimen","Plantae",NA,"Ericales","Myrsinaceae","Ctenardisia","speciosa","Ctenardisia speciosa","Ducke","isotype","Ducke A",NA,"1927","02","07","Southern America","Brazil","Pará","lacus Salgado (prope fl. Trombetas inferius, civ. Pará)",NA,NA,NA,"In silvis non inundatis ad orietem lacus<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200004885 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0004885","NL-U0004885","Magnoliopsidae","Ducke A","986 A",NA,NA,NA,NA,NA,NA,NA
"4","2015-09-04 05:40:50-03","MNHN","RECOLNAT_MNHN_P","P00649846","PreservedSpecimen",NA,NA,NA,"Myrsinaceae","Ctenardisia","speciosa","Ctenardisia speciosa","Ducke","isotype","Ducke, A.",NA,"1927","9","7",NA,"Brésil",NA,"In silvis primaris ad orientem laars Salgado (Rio Trombetas infer., civ. Para), loeis humidis",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649846' target='other'> <mi>dwc_moreinfo</mi></a>","P00649846","P00649846_01",NA,"Ricketson",NA,"2524",NA,NA,NA,NA,NA,NA
"5","2008-05-27 22:02:00-03","MO","MOBOT","1414897","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Ctenardisia","speciosa","Ctenardisia speciosa","Ducke",NA,"A. Ducke","Ducke 2524","1927","9","7","South America","Brazil","Pará","In silvis primariis non inundatis ad orientem lacus Salgado, prope flumen Trombetas inferius (civitate Pára) locis humidis.",NA,NA,NA,NA,NA,NA,NA,"Jon Ricketson (MO)",NA,NA,"3",NA,NA,NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","1441544","PreservedSpecimen","Plantae",NA,"Primulales","Myrsinaceae","Ctenardisia","speciosa","Ctenardisia speciosa","Ducke","Isotype","A. Ducke","2524",NA,NA,NA,"South America - Neotropics","Brazil","Pará",NA,NA,NA,NA,NA,"US00116245","US00116245_01","Dicotyledonae",NA,NA,NA,"1",NA,NA,NA,NA,NA
"7","2014-09-23 10:59:19-03","G","G","G00369891","S","Plantae",NA,NA,"Primulaceae","Ctenardisia","speciosa","Ctenardisia speciosa","Ducke","ISOTYPUS of Ctenardisia speciosa Ducke","Ducke, A.","2524","1927","09","07","AMERIQUE DU SUD","Brazil",NA,NA,"-53.08972222","-10.77305556",NA,"Coordinate uncertainty: Precision at the level of country Image URL: No picture available on the institution's web site","G00369891",NA,NA,"Ricketson, J. M.",NA,NA,NA,"1998","01","01","-53.08972222","-10.77305556"
