grupo,familia,especie_original,especie_autor,genero,epiteto_especifico,taxon_rank,epiteto_infraespecifico,cat_ameaca_br_sima,cat_ameaca_cncflora_sima,cat_ameaca_sp_sima,cat_ameaca_sp,cat_ameaca_cr_lac,cat_ameaca_cncflora,cat_ameaca_iucn,cat_ameaca_mpo_sp,cat_ameaca_br,fontes,id,accepted_name,taxon_status,especie,threat_status,notes,original_search,occurrence,name_status,notas_dupl
NA,NA,Achimenes ichtyostoma,NA,NA,NA,NA,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Achimenes ichtyostoma,NA,NA,
NA,NA,Aeschynomene montevidensis var. microphylla,NA,NA,NA,NA,NA,NA,LC,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Aeschynomene montevidensis var. microphylla,NA,NA,
NA,NA,Alternanthera malmeana,NA,NA,NA,NA,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Alternanthera malmeana,NA,NA,
NA,NA,Aniba rosaeodora,NA,NA,NA,NA,NA,EN,NA,NA,NA,NA,NA,NA,NA,EN,sima-Portaria 443/2014,NA,NA,NA,NA,NA,not found,Aniba rosaeodora,NA,NA,
NA,NA,Athyrium filix-femina,NA,NA,NA,NA,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Athyrium filix-femina,NA,NA,
NA,NA,Austroblechnum lechleri,NA,NA,NA,NA,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Austroblechnum lechleri,NA,NA,
NA,NA,Begonia diaphones,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Begonia diaphones,NA,NA,
NA,NA,Begonia glabrescens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Begonia glabrescens,NA,NA,
NA,NA,Begonia klydophylla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Begonia klydophylla,NA,NA,
NA,NA,Begonia succulenta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Begonia succulenta,NA,NA,
