id,scientific.name,accepted.name,family,taxon.rank,taxon.status,search.str,threat.status,notes,original.search,occurrence,genus,specific.epiteth,infra.epiteth,name.status
22757,Abarema acreana (J.F.Macbr.) L.Rico,NA,Fabaceae,species,accepted,Abarema acreana,DD,,Abarema acreana,BR-AC,Abarema,acreana,NA,correct
17974,Abarema cochliacarpos (Gomes) Barneby & J.W.Grimes,NA,Fabaceae,species,accepted,Abarema cochliacarpos,LC,,Abarema cochliacarpos,BR-AL|BR-BA|BR-CE|BR-ES|BR-MG|BR-PB|BR-PE|BR-RJ|BR-RN|BR-SE|BR-SP,Abarema,cochliacarpos,NA,correct
17974,Abarema cochliacarpos (Gomes) Barneby & J.W.Grimes,NA,Fabaceae,species,accepted,Abarema cochliacarpos,LC,replaced synonym,Abarema cochliocarpos,BR-AL|BR-BA|BR-CE|BR-ES|BR-MG|BR-PB|BR-PE|BR-RJ|BR-RN|BR-SE|BR-SP,Abarema,cochliacarpos,NA,correct
17978,Abarema langsdorffii (Benth.) Barneby & J.W.Grimes,NA,Fabaceae,species,accepted,Abarema langsdorffii,NA,,Abarema langsdorffii,BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,Abarema,langsdorffii,NA,correct
82544,Abarema brachystachya (DC.) Barneby & J.W.Grimes,NA,Fabaceae,species,accepted,Abarema brachystachya,LC,replaced synonym,Abarema obovata,BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP,Abarema,brachystachya,NA,correct
82562,Abarema villifera (Ducke) Barneby & J.W.Grimes,NA,Fabaceae,species,accepted,Abarema villifera,DD,,Abarema villifera,BR-AM,Abarema,villifera,NA,correct
14349,Abatia angeliana M.H.Alford,NA,Salicaceae,species,accepted,Abatia angeliana,VU,,Abatia angeliana,BR-PR,Abatia,angeliana,NA,correct
19749,Abuta selloana Eichler,NA,Menispermaceae,species,accepted,Abuta selloana,LC,,Abuta selloana,BR-BA|BR-CE|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP,Abuta,selloana,NA,correct
8975,Abutilon anodoides A.St.-Hil. & Naudin,NA,Malvaceae,species,accepted,Abutilon anodoides,CR,,Abutilon anodoides,BR-RJ,Abutilon,anodoides,NA,correct
8980,Abutilon costicalyx K.Schum. ex C. Takeuchi & G.L. Esteves,NA,Malvaceae,species,accepted,Abutilon costicalyx,LC,,Abutilon costicalyx,BR-PR|BR-SP,Abutilon,costicalyx,NA,NA
8991,Abutilon nigricans G.L.Esteves & Krapov.,NA,Malvaceae,species,accepted,Abutilon nigricans,CR,,Abutilon nigricans,BR-SP,Abutilon,nigricans,NA,correct
106930,Abutilon venosum Lem.,NA,Malvaceae,species,accepted,Abutilon venosum,DD,,Abutilon venosum,BR-RJ|BR-SP,Abutilon,venosum,NA,correct
101018,Senegalia riparia (Kunth) Britton & Rose ex Britton & Killip,NA,Fabaceae,species,accepted,Senegalia riparia,NA,replaced synonym,Acacia riparia,BR-AM|BR-BA|BR-CE|BR-DF|BR-ES|BR-MG|BR-MT|BR-RJ|BR-RN|BR-RR|BR-RS|BR-SC|BR-SP,Senegalia,riparia,NA,correct
116395,Acaena eupatoria Cham. & Schltdl.,NA,Rosaceae,species,accepted,Acaena eupatoria,NA,,Acaena eupatoria,BR-PR|BR-RS|BR-SC|BR-SP,Acaena,eupatoria,NA,correct
17440,Acalypha brasiliensis Müll.Arg.,NA,Euphorbiaceae,species,accepted,Acalypha brasiliensis,NA,replaced synonym,Acalypha fragilis,BR-BA|BR-CE|BR-ES|BR-GO|BR-MG|BR-MS|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,Acalypha,brasiliensis,NA,correct via conservation
22668,Acalypha macrostachya Jacq.,NA,Euphorbiaceae,species,accepted,Acalypha macrostachya,NA,,Acalypha macrostachya,BR-AC|BR-BA|BR-MG|BR-RR|BR-SP,Acalypha,macrostachya,NA,correct
17446,Acalypha villosa Jacq.,NA,Euphorbiaceae,species,accepted,Acalypha villosa,NA,,Acalypha villosa,BR-BA|BR-CE|BR-GO|BR-MG|BR-MT|BR-PR|BR-SP,Acalypha,villosa,NA,correct
