familia,genero,epiteto_especifico,especie,cat_ameaca_br_old,cat_ameaca_cncflora_old,cat_ameaca_sp_old,especie_autor,cat_ameaca_sp,grupao,grupo,cat_ameaca_CR_lac,cat_ameaca_br,fonte
Fabaceae,Abarema,acreana,Abarema acreana,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Fabaceae,Abarema,villifera,Abarema villifera,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Salicaceae,Abatia,angeliana,Abatia angeliana,VU,NA,NA,NA,NA,NA,NA,NA,NA,NA
Menispermaceae,Abuta,selloana,Abuta selloana,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA
Malvaceae,Abutilon,anodoides,Abutilon anodoides,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malvaceae,Abutilon,nigricans,Abutilon nigricans,CR,NA,CR,Abutilon nigricans G.L.Esteves & Krapov.,CR,NA,NA,NA,CR,Portaria 443/2014
Malvaceae,Abutilon,venosum,Abutilon venosum,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Rosaceae,Acaena,eupatoria,Acaena eupatoria,NA,"NA",VU,Acaena eupatoria Cham. & Schltdl.,VU,NA,NA,NA,NA,NA
Polygalaceae,Acanthocladus,brasiliensis,Acanthocladus brasiliensis,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Acanthostachys,pitcairnioides,Acanthostachys pitcairnioides,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Santalaceae,Acanthosyris,paulo-alvinii,Acanthosyris paulo-alvinii,VU,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myrtaceae,Accara,elegans,Accara elegans,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achatocarpaceae,Achatocarpus,praecox,Achatocarpus praecox,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA
Plantaginaceae,Achetaria,caparaoense,Achetaria caparaoense,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantaginaceae,Achetaria,latifolia,Achetaria latifolia,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gesneriaceae,Achimenes,ichtyostoma,Achimenes ichtyostoma,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Orchidaceae,Acianthera,adiri,Acianthera adiri,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orchidaceae,Acianthera,heringeri,Acianthera heringeri,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orchidaceae,Acianthera,karlii,Acianthera karlii,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA
Orchidaceae,Acianthera,langeana,Acianthera langeana,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orchidaceae,Acianthera,ophiantha,Acianthera ophiantha,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Orchidaceae,Acianthera,papillosa,Acianthera papillosa,VU,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orchidaceae,Acianthera,pernambucensis,Acianthera pernambucensis,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Orchidaceae,Acianthera,tricarinata,Acianthera tricarinata,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA
Calyceraceae,Acicarpha,tribuloides,Acicarpha tribuloides,NA,LC,EX,Acicarpha tribuloides Juss.,EX,NA,NA,NA,NA,NA
Asteraceae,Acmella,pusilla,Acmella pusilla,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asteraceae,Acritopappus,catolesensis,Acritopappus catolesensis,VU,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asteraceae,Acritopappus,connatifolius,Acritopappus connatifolius,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
