especie_original,notes,taxon_status,cat_ameaca_br_sima,cat_ameaca_cncflora_sima,cat_ameaca_sp_sima,cat_ameaca_sp,cat_ameaca_cr_lac,cat_ameaca_cncflora,cat_ameaca_iucn,cat_ameaca_mpo_sp,cat_ameaca_br
Achimenes ichtyostoma,not found,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA
Aeschynomene montevidensis var. microphylla,not found,NA,NA,LC,NA,NA,NA,NA,NA,NA,NA
Alternanthera malmeana,not found,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA
Aniba rosaeodora,not found,NA,EN,NA,NA,NA,NA,NA,NA,NA,EN
Athyrium filix-femina,not found,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA
Austroblechnum lechleri,not found,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA
Begonia diaphones,not found,NA,NA,NE,NA,NA,NA,NA,NA,NA,NA
Begonia glabrescens,not found,NA,NA,NE,NA,NA,NA,NA,NA,NA,NA
Begonia klydophylla,not found,NA,NA,NE,NA,NA,NA,NA,NA,NA,NA
Begonia succulenta,not found,NA,NA,NE,NA,NA,NA,NA,NA,NA,NA
Begonia tibagiensis,not found,NA,NA,NE,NA,NA,NA,NA,NA,NA,NA
Begonia velloziana,was misspelled|check undefined status,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA
Butia leiospatha,was misspelled|check undefined status,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA
Cedrela angustifolia,not found,NA,EN,NA,NA,NA,NA,NA,NA,NA,NA
Chaetoclamys psammina,not found,NA,NA,NE,NA,NA,NA,NA,NA,NA,NA
Citharexylum obtusifolium,was misspelled|check undefined status,NA,EN,NA,NA,NA,NA,NA,NA,NA,EN
Cupania olivacea,was misspelled|check undefined status,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA
Discolobium psoraleifolium,was misspelled|check undefined status,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA
Dyckia commixta,not found,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA
Dyckia julianae,not found,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA
Dyckia polycladus,was misspelled|check undefined status,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA
Echinodorus rhombifolia,not found,NA,NA,NE,NA,NA,NA,NA,NA,NA,NA
Elaphoglossum jamesonii,not found,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA
Enhydra sessilis,not found,NA,NA,NE,EX,EX,NA,NA,NA,NA,NA
Epidendrum polyanthum,not found,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA
Erythrophyllastrum andinum,not found,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA
Evolvulus elegans subsp. confertifolius,not found,NA,NA,NE,EX,NA,NA,NA,NA,NA,NA
Ficus velutina,not found,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA
Hibiscus linearis,not found,NA,NA,NE,NA,NA,NA,NA,NA,NA,NA
Hibiscus urticifolius,not found,NA,NA,NE,EX,EX,NA,NA,NA,NA,NA
Holocheilus schulzii,not found,NA,NA,NE,NA,NA,NA,NA,NA,NA,NA
Hypericum cordiforme var. Kleinii,not found,NA,NA,NE,NA,NA,NA,NA,NA,NA,NA
Macradenia paulensis,was misspelled|check undefined status,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA
Maytenus ilicifolia,check +1 accepted,NA,NA,NE,VU,VU,NA,NA,NA,VU,NA
Microlicia cardiophora,was misspelled|check undefined status,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA
Microlicia myrtifolia,was misspelled|check undefined status,NA,NA,NE,NA,NA,NA,NA,NA,NA,NA
Ossaea australis,not found,NA,NA,NE,NA,NA,NA,NA,NA,NA,NA
Paepalanthus melaleucus var. epilosus,not found,NA,NA,NE,NA,NA,NA,NA,NA,NA,NA
Parodia schumanniana,not found,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA
Peperomia cooperi,not found,NA,NA,DD,EX,EX,NA,NA,NA,NA,NA
Peperomia sessilifolia,not found,NA,NA,NE,NA,NA,NA,NA,NA,NA,NA
Poikilacanthus guillesii,not found,NA,NA,NE,NA,NA,NA,NA,NA,NA,NA
Portulaca cryptopetala var. poellniztiana,not found,NA,NA,NE,NA,NA,NA,NA,NA,NA,NA
Rhipsalis hileiabaiana subsp. hileiabaiana,not found,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA
Schwenckia grandiflora var. hatschbachiana,not found,NA,NA,NE,NA,NA,NA,NA,NA,NA,NA
Spananthe Jacq.,not found,NA,NA,NA,NA,NA,NA,NA,NA,EX,NA
Syngonanthus caulescens var. epapillosus,not found,NA,NA,NE,NA,NA,NA,NA,NA,NA,NA
Trichilia lepidota var. schumanniana,not found,NA,NA,LC,NA,NA,NA,NA,NA,NA,NA
Zexmenia viguerioides,not found,NA,NA,NE,NA,NA,NA,NA,NA,NA,NA
Zornia acauensis,was misspelled|check undefined status,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA
