"","especie_original","fontes","cats","id","scientific.name","accepted.name","family","taxon.rank","taxon.status","search.str","NA.","threat.status","notes","original.search","life.form","habitat","vegetation.type","vernacular.name","occurrence","establishment","domain","endemism"
"1","Acalypha ampliata","cncflora_out_1","DD",25455,"Acalypha amblyodonta (Müll.Arg.) Müll.Arg.",NA,"Euphorbiaceae","species","accepted","Acalypha amblyodonta","Acalypha amblyodonta",NA,"replaced synonym","Acalypha ampliata","Arbusto|Subarbusto","Terrícola","Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-GO|BR-MG|BR-PR|BR-RJ|BR-SP","native","Caatinga|Cerrado|Mata Atlântica","Não endemica"
"2","Acalypha subsana","cncflora_out_1","DD",17440,"Acalypha brasiliensis Müll.Arg.",NA,"Euphorbiaceae","species","accepted","Acalypha brasiliensis","Acalypha brasiliensis",NA,"replaced synonym","Acalypha subsana","Arbusto|Subarbusto","Terrícola","Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Vegetação Sobre Afloramentos Rochosos","Tapa-buraco/PORTUGUES/Santa Catarina","BR-BA|BR-CE|BR-ES|BR-GO|BR-MG|BR-MS|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP","native","Amazônia|Caatinga|Cerrado|Mata Atlântica","Não endemica"
"3","Acca sellowiana","cncflora_out_1","LC",62480,"Feijoa sellowiana (O.Berg) O.Berg",NA,"Myrtaceae","species","accepted","Feijoa sellowiana","Feijoa sellowiana",NA,"replaced synonym","Acca sellowiana","Arbusto|Árvore","Terrícola","Campo Limpo|Floresta Estacional Semidecidual|Floresta Ombrófila Mista",NA,"BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP","native","Mata Atlântica|Pampa","Não endemica"
"4","Actinostemon mandiocanus","cncflora_out_1","DD",25459,"Actinostemon klotzschii (Didr.) Pax",NA,"Euphorbiaceae","species","accepted","Actinostemon klotzschii","Actinostemon klotzschii",NA,"replaced synonym","Actinostemon mandiocanus","Arbusto|Árvore","Terrícola","Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Ombrófila (= Floresta Pluvial)","canela-de-veado-comum/PORTUGUES/Rio de Janeiro","BR-BA|BR-CE|BR-ES|BR-MA|BR-MG|BR-PA|BR-PR|BR-RJ|BR-SP","native","Amazônia|Mata Atlântica","Não endemica"
"5","Agarista pulchella","cncflora_out_1","LC",7465,"Agarista pulchella Cham. ex G.Don",NA,"Ericaceae","species","accepted","Agarista pulchella","Agarista pulchella",NA,"","Agarista pulchella","Arbusto|Subarbusto","Terrícola","Campo de Altitude|Campo rupestre",NA,"BR-BA|BR-MG|BR-PR|BR-SC|BR-SP","native","Cerrado|Mata Atlântica","Endemica"
"6","Anemia candidoi","cncflora_out_1","DD",90641,"Anemia phyllitidis (L.) Sw.",NA,"Anemiaceae","species","accepted","Anemia phyllitidis","Anemia phyllitidis",NA,"replaced synonym","Anemia candidoi","Erva","Rupícola|Terrícola","Área Antrópica|Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Estacional Decidual|Floresta Estacional Perenifólia|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista","Feto pluma/PORTUGUES/NA | Pluma-de-cacho/PORTUGUES/NA","BR-AC|BR-AL|BR-AM|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PA|BR-PE|BR-PR|BR-RJ|BR-RO|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO","native","Amazônia|Cerrado|Mata Atlântica|Pantanal","Não endemica"
"7","Aspidosperma compactinervium","cncflora_out_1","DD",4523,"Aspidosperma compactinervium Kuhlm.",NA,"Apocynaceae","species","accepted","Aspidosperma compactinervium","Aspidosperma compactinervium",NA,"","Aspidosperma compactinervium","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-ES|BR-MG|BR-RJ|BR-SP","native","Mata Atlântica","Endemica"
"8","Aspidosperma ingratum","cncflora_out_1","DD",4529,"Aspidosperma parvifolium A.DC.",NA,"Apocynaceae","species","accepted","Aspidosperma parvifolium","Aspidosperma parvifolium",NA,"replaced synonym","Aspidosperma ingratum","Árvore","Terrícola","Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Vegetação Sobre Afloramentos Rochosos",NA,"BR-ES|BR-MG|BR-RJ|BR-SP","native","Mata Atlântica","Endemica"
"9","Begonia valida","cncflora_out_1","DD",5703,"Begonia reniformis Dryand.",NA,"Begoniaceae","species","accepted","Begonia reniformis","Begonia reniformis",NA,"replaced synonym","Begonia valida","Subarbusto","Rupícola","Campo rupestre|Carrasco|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Vegetação Sobre Afloramentos Rochosos",NA,"BR-AL|BR-BA|BR-CE|BR-ES|BR-GO|BR-MG|BR-PB|BR-PE|BR-RJ|BR-SE|BR-SP","native","Caatinga|Cerrado|Mata Atlântica","Endemica"
"10","Billbergia amandae","cncflora_out_1","DD",5944,"Billbergia nutans H.H.Wendl. ex Regel",NA,"Bromeliaceae","species","accepted","Billbergia nutans","Billbergia nutans","LC","replaced synonym","Billbergia amandae","Erva","Epífita|Terrícola","Floresta Estacional Decidual|Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-MG|BR-MS|BR-PE|BR-PR|BR-RS|BR-SC|BR-SP","native","Mata Atlântica|Pampa","Não endemica"
"11","Cattleya acuensis","cncflora_out_1","DD",65032,"Cattleya acuensis (Fowlie) Van den Berg",NA,"Orchidaceae","species","accepted","Cattleya acuensis","Cattleya acuensis",NA,"","Cattleya acuensis","Erva","Rupícola","Campo de Altitude|Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-MG|BR-RJ|BR-SP","native","Mata Atlântica","Endemica"
"12","Chomelia monantha","cncflora_out_1","EN",13863,"Chomelia brasiliana A.Rich.",NA,"Rubiaceae","species","accepted","Chomelia brasiliana","Chomelia brasiliana",NA,"replaced synonym","Chomelia monantha","Arbusto|Árvore","Terrícola","Cerrado (lato sensu)|Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-ES|BR-MG|BR-MS|BR-PR|BR-RJ|BR-SC|BR-SP","native","Cerrado|Mata Atlântica","Endemica"
