grupo,familia,especie_original,sinonimia,fonte_sinonimia,nome_aceito_correto,genero,epiteto_especifico,taxon_rank,epiteto_infraespecifico,notas_dupl,nota_ocorrencia,nota_nome,nota_taxo,nota_found,nota_checar,nota_sinonimo,cat_ameaca_br_sima,cat_ameaca_cncflora_sima,cat_ameaca_sp_sima,cat_ameaca_sp,cat_ameaca_cr_lac,cat_ameaca_cncflora,cat_ameaca_iucn,cat_ameaca_mpo_sp,cat_ameaca_br,fontes,apta
Angiospermas,Rutaceae,Andreadoxa flava,,,Andreadoxa flava,Andreadoxa,flava,species,,,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,,,,,,CR,,,,,,,,CR,sima-Portaria 443/2014,
Angiospermas,Rutaceae,Balfourodendron riedelianum,,,Balfourodendron riedelianum,Balfourodendron,riedelianum,species,,,,,,,,,,NT,,,,NT,EN,,,sima-cncflora_web-UICN_API,apta
Angiospermas,Rutaceae,Conchocarpus bellus,,,Conchocarpus bellus,Conchocarpus,bellus,species,,,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,,,,,,CR,,,,,,,,CR,sima-Portaria 443/2014,
Angiospermas,Rutaceae,Conchocarpus cauliflorus,,,Conchocarpus cauliflorus,Conchocarpus,cauliflorus,species,,,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,,,,,,CR,,,,,,,,CR,sima-Portaria 443/2014,
Angiospermas,Rutaceae,Conchocarpus fontanesianus,,,Conchocarpus fontanesianus,Conchocarpus,fontanesianus,species,,,,,,,,,,,,,,LC,LC,,,cncflora_ckan-UICN_API,apta
Angiospermas,Rutaceae,Conchocarpus marginatus,,,Conchocarpus marginatus,Conchocarpus,marginatus,species,,,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,,,,,,CR,,,,,,,,CR,sima-Portaria 443/2014,
Angiospermas,Rutaceae,Dictyoloma vandellianum,,,Dictyoloma vandellianum,Dictyoloma,vandellianum,species,,,,,,,,,,,,,,,LC,,,UICN_API,apta
Angiospermas,Rutaceae,Esenbeckia grandiflora,,,Esenbeckia grandiflora,Esenbeckia,grandiflora,species,,,,,,,,,,,,,,,LC,,,UICN_API,apta
Angiospermas,Rutaceae,Esenbeckia hieronymi,,,Esenbeckia hieronymi,Esenbeckia,hieronymi,species,,,,,,,,,,,,,,NT,,,,cncflora_web,apta
Angiospermas,Rutaceae,Esenbeckia irwiniana,,,Esenbeckia irwiniana,Esenbeckia,irwiniana,species,,,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,,,,,,EN,,,,,,,,EN,sima-Portaria 443/2014,
