especie_original,fontes,cat_ameaca_br_sima,cat_ameaca_cncflora_sima,cat_ameaca_sp_sima,cat_ameaca_sp,cat_ameaca_CR_lac,cat_ameaca_cncflora,cat_ameaca_iucn,cat_ameaca_mpoSP,cat_ameaca_br
Abarema acreana,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Abarema cochliacarpos,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Abarema cochliocarpos,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Abarema langsdorffii,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Abarema obovata,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,VU,NA,NA
Abarema villifera,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Abatia angeliana,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Abuta selloana,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Abutilon anodoides,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Abutilon costicalyx,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Abutilon nigricans,sima-SP_oficial-cncflora_web-Portaria 443/2014,CR,NA,CR,CR,NA,CR,NA,NA,CR
Abutilon venosum,sima-cncflora_web,NA,DD,NA,NA,NA,DD,NA,NA,NA
Acacia riparia,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Acaena eupatoria,sima-SP_oficial,NA,NA,VU,VU,NA,NA,NA,NA,NA
Acalypha fragilis,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,CR*,CR,NA,NA
Acalypha macrostachya,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Acalypha villosa,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Acanthocladus brasiliensis,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Acanthostachys pitcairnioides,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Acanthosyris paulo-alvinii,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Acca sellowiana,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
