especie_original,cat_ameaca_cncflora_1,cat_ameaca_cncflora_0,id,scientific.name,accepted.name,family,taxon.rank,taxon.status,search.str,NA.,threat.status,notes,original.search,life.form,habitat,vegetation.type,vernacular.name,occurrence,establishment,domain,endemism
Aiouea bracteata,EN,VU,8380,Aiouea bracteata Kosterm.,NA,Lauraceae,species,accepted,Aiouea bracteata,Aiouea bracteata,VU,,Aiouea bracteata,Árvore,Terrícola,Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual,NA,BR-SP,native,Cerrado|Mata Atlântica,Endemica
Casearia paranaensis,NT,VU,14380,Casearia paranaensis Sleumer,NA,Salicaceae,species,accepted,Casearia paranaensis,Casearia paranaensis,VU,,Casearia paranaensis,Árvore,Terrícola,Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Restinga,NA,BR-PR|BR-SP,native,Mata Atlântica,Endemica
Couepia leitaofilhoi,EN,VU,34645,Couepia leitaofilhoi Prance,NA,Chrysobalanaceae,species,accepted,Couepia leitaofilhoi,Couepia leitaofilhoi,VU,,Couepia leitaofilhoi,Árvore,Terrícola,Floresta Ombrófila (= Floresta Pluvial),NA,BR-SP,native,Mata Atlântica,Endemica
Cupania concolor,NT,VU,32708,Cupania concolor Radlk.,NA,Sapindaceae,species,accepted,Cupania concolor,Cupania concolor,VU,,Cupania concolor,Árvore,Terrícola,Floresta Ombrófila (= Floresta Pluvial),NA,BR-MG|BR-RJ|BR-SP,native,Mata Atlântica,Endemica
Cupania furfuracea,NT,VU,32709,Cupania furfuracea Radlk.,NA,Sapindaceae,species,accepted,Cupania furfuracea,Cupania furfuracea,VU,,Cupania furfuracea,Árvore,Terrícola,Floresta Ombrófila (= Floresta Pluvial),NA,BR-BA|BR-ES|BR-RJ|BR-SP,native,Mata Atlântica,Endemica
Eugenia disperma,EN,VU,10385,Eugenia disperma Vell.,NA,Myrtaceae,species,accepted,Eugenia disperma,Eugenia disperma,VU,,Eugenia disperma,Árvore,Terrícola,Floresta Ombrófila (= Floresta Pluvial),NA,BR-RJ|BR-SP,native,Mata Atlântica,Endemica
Eugenia malacantha,VU,EN,10453,Eugenia malacantha D.Legrand,NA,Myrtaceae,species,accepted,Eugenia malacantha,Eugenia malacantha,EN,,Eugenia malacantha,Árvore,Terrícola,Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial),NA,BR-PR|BR-RJ|BR-SC|BR-SP,native,Mata Atlântica,Endemica
Eugenia oxyoentophylla,DD,EN,10520,Eugenia repanda O.Berg,NA,Myrtaceae,species,accepted,Eugenia repanda,Eugenia repanda,EN,replaced synonym,Eugenia oxyoentophylla,Arbusto|Árvore,Terrícola,Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista,NA,BR-ES|BR-MG|BR-MS|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,native,Mata Atlântica,Não endemica
Eugenia peruibensis,CR,EN,10492,Eugenia peruibensis Mattos,NA,Myrtaceae,species,accepted,Eugenia peruibensis,Eugenia peruibensis,EN,,Eugenia peruibensis,Árvore,Terrícola,Floresta Ombrófila (= Floresta Pluvial),NA,BR-SP,native,Mata Atlântica,Endemica
Ficus cyclophylla,NT,VU,10158,Ficus cyclophylla (Miq.) Miq.,NA,Moraceae,species,accepted,Ficus cyclophylla,Ficus cyclophylla,VU,,Ficus cyclophylla,Árvore,Hemiepífita|Terrícola,Floresta Ombrófila (= Floresta Pluvial)|Restinga,NA,BR-BA|BR-ES|BR-MG|BR-PB|BR-RJ|BR-SE|BR-SP,native,Mata Atlântica,Endemica
Handroanthus botelhensis,EN,NT,117441,Handroanthus botelhensis (A.H.Gentry) S.Grose,NA,Bignoniaceae,species,accepted,Handroanthus botelhensis,Handroanthus botelhensis,NT,,Handroanthus botelhensis,Árvore,Terrícola,Floresta Ombrófila (= Floresta Pluvial),NA,BR-RJ|BR-SP,native,Mata Atlântica,Endemica
Inga praegnans,EN,VU,100937,Inga praegnans T.D.Penn.,NA,Fabaceae,species,accepted,Inga praegnans,Inga praegnans,VU,,Inga praegnans,Arbusto|Árvore,Terrícola,Floresta Ombrófila (= Floresta Pluvial),NA,BR-SP,native,Mata Atlântica,Endemica
Inga sellowiana,LC,NT,100939,Inga sellowiana Benth.,NA,Fabaceae,species,accepted,Inga sellowiana,Inga sellowiana,NT,,Inga sellowiana,Arbusto|Árvore,Terrícola,Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Restinga,"ingá mirim, ingá ferro/PORTUGUES/SC | ingá xixica, ingá xixi/PORTUGUES/RJ, SP",BR-PR|BR-RJ|BR-SC|BR-SP,native,Mata Atlântica,Endemica
Miconia picinguabensis,CR,EN,79282,Miconia picinguabensis R.Goldenb. & A.B.Martins,NA,Melastomataceae,species,accepted,Miconia picinguabensis,Miconia picinguabensis,EN,,Miconia picinguabensis,Árvore,Terrícola,Floresta Ombrófila (= Floresta Pluvial),NA,BR-SP,native,Mata Atlântica,Endemica
Miconia setosociliata,NT,VU,9766,Miconia setosociliata Cogn.,NA,Melastomataceae,species,accepted,Miconia setosociliata,Miconia setosociliata,VU,,Miconia setosociliata,Árvore,Terrícola,Floresta Ombrófila (= Floresta Pluvial),NA,BR-ES|BR-MG|BR-RJ|BR-SP,native,Mata Atlântica,Endemica
Mimosa myuros,EN,VU,100964,Mimosa myuros Barneby,NA,Fabaceae,species,accepted,Mimosa myuros,Mimosa myuros,VU,,Mimosa myuros,Árvore,Terrícola,Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista,NA,BR-MG|BR-RJ|BR-SP,native,Mata Atlântica,Endemica
Mollinedia luizae,DD,VU,10092,Mollinedia luizae Peixoto,NA,Monimiaceae,species,accepted,Mollinedia luizae,Mollinedia luizae,VU,,Mollinedia luizae,Arbusto|Árvore,Terrícola,Floresta Ombrófila (= Floresta Pluvial),NA,BR-PR|BR-SP,native,Mata Atlântica,Endemica
Myrceugenia franciscensis,VU,EN,10640,Myrceugenia franciscensis (O.Berg) Landrum,NA,Myrtaceae,species,accepted,Myrceugenia franciscensis,Myrceugenia franciscensis,EN,,Myrceugenia franciscensis,Árvore,Terrícola,Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista,NA,BR-MG|BR-PR|BR-SP,native,Mata Atlântica,Endemica
Myrcia diaphana,NT,VU,10682,Myrcia diaphana (O.Berg) N.Silveira,NA,Myrtaceae,species,accepted,Myrcia diaphana,Myrcia diaphana,VU,,Myrcia diaphana,Árvore,Terrícola,Floresta Ombrófila (= Floresta Pluvial),NA,BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP,native,Mata Atlântica,Endemica
Myrcia isaiana,NT,EN,10710,Myrcia isaiana G.M.Barroso & Peixoto,NA,Myrtaceae,species,accepted,Myrcia isaiana,Myrcia isaiana,EN,,Myrcia isaiana,Árvore,Terrícola,Floresta Ombrófila (= Floresta Pluvial)|Restinga,NA,BR-AL|BR-BA|BR-ES|BR-PE|BR-PR|BR-RJ|BR-SP,native,Mata Atlântica,Endemica
Nectandra barbellata,EN,VU,8425,Nectandra barbellata Coe-Teix.,NA,Lauraceae,species,accepted,Nectandra barbellata,Nectandra barbellata,VU,,Nectandra barbellata,Árvore,Terrícola,Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial),"canela amarela, canela parda/PORTUGUES/mata atlântica (planalto e litoral)",BR-ES|BR-SP,native,Mata Atlântica,Endemica
Nectandra paranaensis,EN,VU,84330,Nectandra paranaensis Coe-Teix.,NA,Lauraceae,species,accepted,Nectandra paranaensis,Nectandra paranaensis,VU,,Nectandra paranaensis,Árvore,Terrícola,Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista,NA,BR-PR|BR-SP,native,Mata Atlântica,Endemica
Neomitranthes amblymitra,EN,VU,10806,Neomitranthes amblymitra (Burret) Mattos,NA,Myrtaceae,species,accepted,Neomitranthes amblymitra,Neomitranthes amblymitra,VU,,Neomitranthes amblymitra,Árvore,Terrícola,Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial),NA,BR-MG|BR-RJ|BR-SP,native,Mata Atlântica,Endemica
Ocotea beulahiae,VU,EN,8445,Ocotea beulahiae J.B. Baitello,NA,Lauraceae,species,accepted,Ocotea beulahiae,Ocotea beulahiae,EN,,Ocotea beulahiae,Árvore,Terrícola,Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial),canela-sassafras/PORTUGUES/sudeste,BR-ES|BR-SP,native,Mata Atlântica,Endemica
Ocotea frondosa,LC,NT,8459,Ocotea frondosa (Meisn.) Mez,NA,Lauraceae,species,accepted,Ocotea frondosa,Ocotea frondosa,NT,,Ocotea frondosa,Árvore,Terrícola,Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial),caju do mato/PORTUGUES/sudeste,BR-GO|BR-MG|BR-RJ|BR-SP|BR-TO,native,Cerrado|Mata Atlântica,Endemica
Parinari brasiliensis,LC,EN,34782,Parinari brasiliensis (Schott) Hook.f.,NA,Chrysobalanaceae,species,accepted,Parinari brasiliensis,Parinari brasiliensis,EN,,Parinari brasiliensis,Árvore,Terrícola,Floresta Ombrófila (= Floresta Pluvial),NA,BR-AL|BR-BA|BR-ES|BR-MG|BR-PE|BR-PR|BR-RJ|BR-SC|BR-SP,native,Mata Atlântica,Endemica
Pouteria oxypetala,NT,EN,14510,Pouteria oxypetala T.D.Penn.,NA,Sapotaceae,species,accepted,Pouteria oxypetala,Pouteria oxypetala,EN,,Pouteria oxypetala,Árvore,Terrícola,Floresta Estacional Perenifólia|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial),NA,BR-BA|BR-MG|BR-SP,native,Mata Atlântica,Endemica
Rhipsalis agudoensis,EN,DD,1682,Rhipsalis agudoensis N.P.Taylor,NA,Cactaceae,species,accepted,Rhipsalis agudoensis,Rhipsalis agudoensis,DD,,Rhipsalis agudoensis,Erva|Subarbusto|Suculenta,Epífita|Rupícola,Floresta Ombrófila (= Floresta Pluvial),NA,BR-RJ|BR-SP,native,Mata Atlântica,Endemica
Roupala sculpta,EN,VU,13803,Roupala sculpta Sleumer,NA,Proteaceae,species,accepted,Roupala sculpta,Roupala sculpta,VU,,Roupala sculpta,Árvore,Terrícola,Floresta Ombrófila (= Floresta Pluvial),NA,BR-RJ|BR-SP,native,Mata Atlântica,Endemica
Rudgea nobilis,EN,NT,14260,Rudgea nobilis Müll.Arg.,NA,Rubiaceae,species,accepted,Rudgea nobilis,Rudgea nobilis,NT,,Rudgea nobilis,Árvore,Terrícola,Floresta Ombrófila (= Floresta Pluvial),NA,BR-RJ|BR-SP,native,Mata Atlântica,Endemica
Rudgea pachyphylla,CR,EN,14262,Rudgea pachyphylla Müll.Arg.,NA,Rubiaceae,species,accepted,Rudgea pachyphylla,Rudgea pachyphylla,EN,,Rudgea pachyphylla,Arbusto|Árvore,Terrícola,Floresta Ombrófila (= Floresta Pluvial)|Restinga,NA,BR-RJ|BR-SP,native,Mata Atlântica,Endemica
Rudgea vellerea,VU,NT,14272,Rudgea vellerea Müll.Arg.,NA,Rubiaceae,species,accepted,Rudgea vellerea,Rudgea vellerea,NT,,Rudgea vellerea,Árvore,Terrícola,Floresta Ombrófila (= Floresta Pluvial)|Restinga,NA,BR-RJ|BR-SP,native,Mata Atlântica,Endemica
Tabebuia cassinoides,VU,EN,114267,Tabebuia cassinoides (Lam.) DC.,NA,Bignoniaceae,species,accepted,Tabebuia cassinoides,Tabebuia cassinoides,EN,,Tabebuia cassinoides,Árvore,Terrícola,Floresta Ombrófila (= Floresta Pluvial),caixeta/PORTUGUES/NA | pau de tamanco/PORTUGUES/NA | tabebuya/PORTUGUES/NA | tagibibuia/PORTUGUES/NA,BR-ES|BR-MG|BR-RJ|BR-SP,native,Mata Atlântica,Endemica
Tachigali denudata,EN,NT,100907,Tachigali denudata (Vogel) Oliveira-Filho,NA,Fabaceae,species,accepted,Tachigali denudata,Tachigali denudata,NT,,Tachigali denudata,Árvore,Terrícola,Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial),NA,BR-PR|BR-RJ|BR-SC|BR-SP,native,Mata Atlântica,Endemica
Ternstroemia cuneifolia,EN,VU,12576,Ternstroemia cuneifolia Gardner,NA,Pentaphylacaceae,species,accepted,Ternstroemia cuneifolia,Ternstroemia cuneifolia,VU,,Ternstroemia cuneifolia,Arbusto|Árvore,Terrícola,Campo de Altitude|Floresta Estacional Decidual,Congonhinha/PORTUGUES/Rio de Janeiro,BR-BA|BR-MG|BR-RJ|BR-SP,native,Mata Atlântica,Endemica
Urbanodendron bahiense,EN,VU,8533,Urbanodendron bahiense (Meisn.) Rohwer,NA,Lauraceae,species,accepted,Urbanodendron bahiense,Urbanodendron bahiense,VU,,Urbanodendron bahiense,Árvore,Terrícola,Floresta Ombrófila (= Floresta Pluvial),NA,BR-BA|BR-RJ|BR-SP,native,Mata Atlântica,Endemica
Weinmannia organensis,LC,NT,7128,Weinmannia organensis Gardner,NA,Cunoniaceae,species,accepted,Weinmannia organensis,Weinmannia organensis,NT,,Weinmannia organensis,Arbusto|Árvore,Terrícola,Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Floresta Ombrófila (= Floresta Pluvial),NA,BR-MG|BR-RJ|BR-SP,native,Cerrado|Mata Atlântica,Endemica
Xylopia brasiliensis,VU,NT,110560,Xylopia brasiliensis Spreng.,NA,Annonaceae,species,accepted,Xylopia brasiliensis,Xylopia brasiliensis,NT,,Xylopia brasiliensis,Árvore,Terrícola,Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial),Casca de barata/PORTUGUES/NA | Embira/PORTUGUES/NA | Erva doce/PORTUGUES/NA | Guamirim/PORTUGUES/NA | Pimenta/PORTUGUES/NA | Pindaíba/PORTUGUES/NA | Pindaíba vermelha/PORTUGUES/NA | Pindauva/PORTUGUES/NA | Pindauvúna/PORTUGUES/NA,BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP,native,Mata Atlântica,Endemica
Xylosma glaberrima,VU,NT,14395,Xylosma glaberrima Sleumer,NA,Salicaceae,species,accepted,Xylosma glaberrima,Xylosma glaberrima,NT,,Xylosma glaberrima,Árvore,Terrícola,Floresta Ombrófila (= Floresta Pluvial)|Restinga,resedá/PORTUGUES/RJ | açucará manso/PORTUGUES/SP | espinho de judeu/PORTUGUES/SP | sucurá/PORTUGUES/SP | camélia do mato/PORTUGUES/SP | assucará/PORTUGUES/SP,BR-PR|BR-RJ|BR-SP,native,Mata Atlântica,Endemica
Zeyheria tuberculosa,NT,VU,114468,Zeyheria tuberculosa (Vell.) Bureau ex Verl.,NA,Bignoniaceae,species,accepted,Zeyheria tuberculosa,Zeyheria tuberculosa,VU,,Zeyheria tuberculosa,Árvore,Terrícola,Floresta Estacional Decidual,buxo de boi/PORTUGUES/NA | culhoes de bode/PORTUGUES/NA | ipe branco/PORTUGUES/NA,BR-AL|BR-BA|BR-CE|BR-ES|BR-MA|BR-MG|BR-PB|BR-PE|BR-PI|BR-RJ|BR-RN|BR-SE|BR-SP,native,Caatinga|Cerrado|Mata Atlântica,Não endemica
