especie_iucn,nome_correto_flora,scientific.name,notes,taxon.status,cat_ameaca_iucn,threat.status
Abarema cochliocarpos,Abarema cochliacarpos,Abarema cochliacarpos (Gomes) Barneby & J.W.Grimes,replaced synonym,accepted,LC,LC
Abarema obovata,Abarema brachystachya,Abarema brachystachya (DC.) Barneby & J.W.Grimes,replaced synonym,accepted,VU,LC
Acalypha fragilis,Acalypha brasiliensis,Acalypha brasiliensis Müll.Arg.,replaced synonym,accepted,CR,NA
Acca sellowiana,Feijoa sellowiana,Feijoa sellowiana (O.Berg) O.Berg,replaced synonym,accepted,LC,NA
Aeschynomene brasiliana,Ctenodon brasilianus,"Ctenodon brasilianus (Poir.) D.B.O.S.Cardoso, P.L.R.Moraes & H.C.Lima",replaced synonym,accepted,LC,NA
Aeschynomene brevipes,Ctenodon brevipes,"Ctenodon brevipes (Benth.) D.B.O.S.Cardoso, P.L.R.Moraes & H.C.Lima",replaced synonym,accepted,LC,NA
Aeschynomene marginata,Ctenodon marginatus,"Ctenodon marginatus (Benth.) D.B.O.S.Cardoso, P.L.R.Moraes & H.C.Lima",replaced synonym,accepted,LC,NA
Aeschynomene racemosa,Ctenodon racemosus,"Ctenodon racemosus (Vogel) D.B.O.S.Cardoso, Filardi & H.C.Lima",replaced synonym,accepted,LC,NA
Ambrosia maritima,Ambrosia polystachya,Ambrosia polystachya DC.,replaced synonym,accepted,LC,NA
Anathallis guimaraensii,Acianthera guimaraensii,Acianthera guimaraensii (Brade) F.Barros,replaced synonym,accepted,VU,NA
Anemia candidoi,Anemia phyllitidis,Anemia phyllitidis (L.) Sw.,replaced synonym,accepted,DD,NA
Anthodon decussatum,Anthodon decussatus,Anthodon decussatus Ruiz & Pav.,was misspelled,accepted,LC,NA
Apinagia fluitans,Apinagia riedelii,Apinagia riedelii (Bong.) Tul.,replaced synonym,accepted,DD,LC
Aspidosperma ingratum,Aspidosperma parvifolium,Aspidosperma parvifolium A.DC.,replaced synonym,accepted,DD,NA
Aureliana fasciculata,Athenaea fasciculata,Athenaea fasciculata (Vell.) I.M.C. Rodrigues & Stehmann,replaced synonym,accepted,LR/cd,LC
