grupo,family,especie_original,scientific_name,genus,specific_epiteth,taxon_rank,infra_epiteth,cat_ameaca_br_sima,cat_ameaca_cncflora_sima,cat_ameaca_sp_sima,cat_ameaca_sp,cat_ameaca_cr_lac,cat_ameaca_cncflora,cat_ameaca_iucn,cat_ameaca_mpo_sp,cat_ameaca_br,fontes,id,accepted_name,taxon_status,search_str,threat_status,notes,original_search,occurrence,name_status
Angiospermas,Rutaceae,Andreadoxa flava,Andreadoxa flava Kallunki,Andreadoxa,flava,species,NA,CR,NA,NA,NA,NA,NA,NA,NA,CR,sima-Portaria 443/2014,280,NA,accepted,Andreadoxa flava,CR,NA,Andreadoxa flava,BR-BA,correct
Angiospermas,Rutaceae,Balfourodendron riedelianum,Balfourodendron riedelianum (Engl.) Engl.,Balfourodendron,riedelianum,species,NA,NA,NT,NA,NA,NA,NT,EN,NA,NA,sima-cncflora_web-UICN_API,343,NA,accepted,Balfourodendron riedelianum,NT,NA,Balfourodendron riedelianum,BR-MG|BR-MS|BR-PR|BR-RS|BR-SC|BR-SP,correct
Angiospermas,Rutaceae,Conchocarpus bellus,Conchocarpus bellus Kallunki,Conchocarpus,bellus,species,NA,CR,NA,NA,NA,NA,NA,NA,NA,CR,sima-Portaria 443/2014,441,NA,accepted,Conchocarpus bellus,CR,NA,Conchocarpus bellus,BR-ES,correct
Angiospermas,Rutaceae,Conchocarpus cauliflorus,Conchocarpus cauliflorus Pirani,Conchocarpus,cauliflorus,species,NA,CR,NA,NA,NA,NA,NA,NA,NA,CR,sima-Portaria 443/2014,442,NA,accepted,Conchocarpus cauliflorus,CR,NA,Conchocarpus cauliflorus,BR-ES,correct
Angiospermas,Rutaceae,Conchocarpus fontanesianus,Conchocarpus fontanesianus (A. St.-Hil.) Kallunki & Pirani,Conchocarpus,fontanesianus,species,NA,NA,NA,NA,NA,NA,LC,LC,NA,NA,cncflora_ckan-UICN_API,453,NA,accepted,Conchocarpus fontanesianus,NA,NA,Conchocarpus fontanesianus,BR-MG|BR-RJ|BR-SP,correct
Angiospermas,Rutaceae,Conchocarpus marginatus,Conchocarpus marginatus (Rizzini) Kallunki & Pirani,Conchocarpus,marginatus,species,NA,CR,NA,NA,NA,NA,NA,NA,NA,CR,sima-Portaria 443/2014,470,NA,accepted,Conchocarpus marginatus,CR,NA,Conchocarpus marginatus,BR-ES,correct
Angiospermas,Rutaceae,Dictyoloma vandellianum,Dictyoloma vandellianum A.Juss.,Dictyoloma,vandellianum,species,NA,NA,NA,NA,NA,NA,NA,LC,NA,NA,UICN_API,542,NA,accepted,Dictyoloma vandellianum,NA,NA,Dictyoloma vandellianum,BR-AC|BR-BA|BR-ES|BR-MG|BR-MT|BR-RJ|BR-RO|BR-SP,correct
Angiospermas,Rutaceae,Esenbeckia grandiflora,Esenbeckia grandiflora Mart.,Esenbeckia,grandiflora,species,NA,NA,NA,NA,NA,NA,NA,LC,NA,NA,UICN_API,589,NA,accepted,Esenbeckia grandiflora,NA,NA,Esenbeckia grandiflora,BR-AC|BR-AL|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RS|BR-SC|BR-SE|BR-SP,correct
Angiospermas,Rutaceae,Esenbeckia hieronymi,Esenbeckia hieronymi Engl.,Esenbeckia,hieronymi,species,NA,NA,NA,NA,NA,NA,NT,NA,NA,NA,cncflora_web,596,NA,accepted,Esenbeckia hieronymi,NT,NA,Esenbeckia hieronymi,BR-MS|BR-PR|BR-SC|BR-SP,correct
Angiospermas,Rutaceae,Esenbeckia irwiniana,Esenbeckia irwiniana Kaastra,Esenbeckia,irwiniana,species,NA,EN,NA,NA,NA,NA,NA,NA,NA,EN,sima-Portaria 443/2014,598,NA,accepted,Esenbeckia irwiniana,EN,NA,Esenbeckia irwiniana,BR-MG,correct
