especie_original,fontes,cat_ameaca_br_sima,cat_ameaca_cncflora_sima,cat_ameaca_sp_sima,cat_ameaca_sp,cat_ameaca_CR_lac,cat_ameaca_cncflora,cat_ameaca_iucn,cat_ameaca_mpoSP,cat_ameaca_br,id,scientific.name,accepted.name,family,taxon.rank,taxon.status,search.str,threat.status,notes,original.search,occurrence,genus,specific.epiteth,infra.epiteth,name.status
Abarema acreana,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA,22757,Abarema acreana (J.F.Macbr.) L.Rico,NA,Fabaceae,species,accepted,Abarema acreana,DD,,Abarema acreana,BR-AC,Abarema,acreana,NA,correct
Abarema cochliacarpos,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA,17974,Abarema cochliacarpos (Gomes) Barneby & J.W.Grimes,NA,Fabaceae,species,accepted,Abarema cochliacarpos,LC,,Abarema cochliacarpos,BR-AL|BR-BA|BR-CE|BR-ES|BR-MG|BR-PB|BR-PE|BR-RJ|BR-RN|BR-SE|BR-SP,Abarema,cochliacarpos,NA,correct
Abarema cochliocarpos,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA,17974,Abarema cochliacarpos (Gomes) Barneby & J.W.Grimes,NA,Fabaceae,species,accepted,Abarema cochliacarpos,LC,replaced synonym,Abarema cochliocarpos,BR-AL|BR-BA|BR-CE|BR-ES|BR-MG|BR-PB|BR-PE|BR-RJ|BR-RN|BR-SE|BR-SP,Abarema,cochliacarpos,NA,correct
Abarema langsdorffii,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA,17978,Abarema langsdorffii (Benth.) Barneby & J.W.Grimes,NA,Fabaceae,species,accepted,Abarema langsdorffii,NA,,Abarema langsdorffii,BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,Abarema,langsdorffii,NA,correct
Abarema obovata,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,VU,NA,NA,82544,Abarema brachystachya (DC.) Barneby & J.W.Grimes,NA,Fabaceae,species,accepted,Abarema brachystachya,LC,replaced synonym,Abarema obovata,BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP,Abarema,brachystachya,NA,correct
Abarema villifera,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA,82562,Abarema villifera (Ducke) Barneby & J.W.Grimes,NA,Fabaceae,species,accepted,Abarema villifera,DD,,Abarema villifera,BR-AM,Abarema,villifera,NA,correct
Abatia angeliana,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU,14349,Abatia angeliana M.H.Alford,NA,Salicaceae,species,accepted,Abatia angeliana,VU,,Abatia angeliana,BR-PR,Abatia,angeliana,NA,correct
Abuta selloana,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA,19749,Abuta selloana Eichler,NA,Menispermaceae,species,accepted,Abuta selloana,LC,,Abuta selloana,BR-BA|BR-CE|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP,Abuta,selloana,NA,correct
Abutilon anodoides,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR,8975,Abutilon anodoides A.St.-Hil. & Naudin,NA,Malvaceae,species,accepted,Abutilon anodoides,CR,,Abutilon anodoides,BR-RJ,Abutilon,anodoides,NA,correct
Abutilon costicalyx,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA,8980,Abutilon costicalyx K.Schum. ex C. Takeuchi & G.L. Esteves,NA,Malvaceae,species,accepted,Abutilon costicalyx,LC,,Abutilon costicalyx,BR-PR|BR-SP,Abutilon,costicalyx,NA,NA
Abutilon nigricans,sima-SP_oficial-cncflora_web-Portaria 443/2014,CR,NA,CR,CR,NA,CR,NA,NA,CR,8991,Abutilon nigricans G.L.Esteves & Krapov.,NA,Malvaceae,species,accepted,Abutilon nigricans,CR,,Abutilon nigricans,BR-SP,Abutilon,nigricans,NA,correct
Abutilon venosum,sima-cncflora_web,NA,DD,NA,NA,NA,DD,NA,NA,NA,106930,Abutilon venosum Lem.,NA,Malvaceae,species,accepted,Abutilon venosum,DD,,Abutilon venosum,BR-RJ|BR-SP,Abutilon,venosum,NA,correct
Acacia riparia,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA,101018,Senegalia riparia (Kunth) Britton & Rose ex Britton & Killip,NA,Fabaceae,species,accepted,Senegalia riparia,NA,replaced synonym,Acacia riparia,BR-AM|BR-BA|BR-CE|BR-DF|BR-ES|BR-MG|BR-MT|BR-RJ|BR-RN|BR-RR|BR-RS|BR-SC|BR-SP,Senegalia,riparia,NA,correct
Acaena eupatoria,sima-SP_oficial,NA,NA,VU,VU,NA,NA,NA,NA,NA,116395,Acaena eupatoria Cham. & Schltdl.,NA,Rosaceae,species,accepted,Acaena eupatoria,NA,,Acaena eupatoria,BR-PR|BR-RS|BR-SC|BR-SP,Acaena,eupatoria,NA,correct
Acalypha fragilis,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,CR*,CR,NA,NA,17440,Acalypha brasiliensis Müll.Arg.,NA,Euphorbiaceae,species,accepted,Acalypha brasiliensis,NA,replaced synonym,Acalypha fragilis,BR-BA|BR-CE|BR-ES|BR-GO|BR-MG|BR-MS|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,Acalypha,brasiliensis,NA,correct via conservation
Acalypha macrostachya,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA,22668,Acalypha macrostachya Jacq.,NA,Euphorbiaceae,species,accepted,Acalypha macrostachya,NA,,Acalypha macrostachya,BR-AC|BR-BA|BR-MG|BR-RR|BR-SP,Acalypha,macrostachya,NA,correct
Acalypha villosa,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA,17446,Acalypha villosa Jacq.,NA,Euphorbiaceae,species,accepted,Acalypha villosa,NA,,Acalypha villosa,BR-BA|BR-CE|BR-GO|BR-MG|BR-MT|BR-PR|BR-SP,Acalypha,villosa,NA,correct
Acanthocladus brasiliensis,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA,103170,Acanthocladus brasiliensis (A.St.-Hil. & Moq.) Klotzsch ex Hassk.,NA,Polygalaceae,species,accepted,Acanthocladus brasiliensis,LC,,Acanthocladus brasiliensis,BR-MS|BR-PR|BR-SP,Acanthocladus,brasiliensis,NA,correct
Acanthostachys pitcairnioides,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA,5751,Acanthostachys pitcairnioides (Mez) Rauh & Barthlott,NA,Bromeliaceae,species,accepted,Acanthostachys pitcairnioides,DD,,Acanthostachys pitcairnioides,BR-BA|BR-ES,Acanthostachys,pitcairnioides,NA,correct
Acanthosyris paulo-alvinii,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU,102914,Acanthosyris paulo-alvinii G.M. Barroso,NA,Santalaceae,species,accepted,Acanthosyris paulo-alvinii,VU,,Acanthosyris paulo-alvinii,BR-BA,Acanthosyris,paulo-alvinii,NA,correct
Acca sellowiana,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA,62480,Feijoa sellowiana (O.Berg) O.Berg,NA,Myrtaceae,species,accepted,Feijoa sellowiana,NA,replaced synonym,Acca sellowiana,BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,Feijoa,sellowiana,NA,correct
Accara elegans,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,10258,Accara elegans (DC.) Landrum,NA,Myrtaceae,species,accepted,Accara elegans,EN,,Accara elegans,BR-MG,Accara,elegans,NA,correct
Achatocarpus praecox,sima-cncflora_web-UICN_API,NA,LC,NA,NA,NA,LC,LC,NA,NA,4252,Achatocarpus praecox Griseb.,NA,Achatocarpaceae,species,accepted,Achatocarpus praecox,LC,,Achatocarpus praecox,BR-ES|BR-MS|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,Achatocarpus,praecox,NA,correct
Achetaria caparaoense,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR,618909,Matourea caparaoensis (Brade) Colletta & V.C.Souza,NA,Plantaginaceae,species,accepted,Matourea caparaoensis,NA,replaced synonym,Achetaria caparaoense,BR-ES|BR-MG,Matourea,caparaoensis,NA,correct
Achetaria latifolia,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR,618912,Matourea latifolia (V.C.Souza) V.C.Souza & Colletta,NA,Plantaginaceae,species,accepted,Matourea latifolia,NA,replaced synonym,Achetaria latifolia,BR-RJ,Matourea,latifolia,NA,correct
Achimenes ichtyostoma,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not found,Achimenes ichtyostoma,NA,NA,NA,NA,NA
Acianthera adiri,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR,10988,Acianthera adiri (Brade) Pridgeon & M.W.Chase,NA,Orchidaceae,species,accepted,Acianthera adiri,CR,,Acianthera adiri,BR-PR,Acianthera,adiri,NA,correct
Acianthera aphthosa,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA,10992,Acianthera aphthosa (Lindl.) Pridgeon & M.W.Chase,NA,Orchidaceae,species,accepted,Acianthera aphthosa,LC,,Acianthera aphthosa,BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,Acianthera,aphthosa,NA,correct
Acianthera auriculata,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA,10993,Acianthera auriculata (Lindl.) Pridgeon & M.W.Chase,NA,Orchidaceae,species,accepted,Acianthera auriculata,LC,,Acianthera auriculata,BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,Acianthera,auriculata,NA,correct
Acianthera bragae,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA,10997,Acianthera bragae (Ruschi) F.Barros,NA,Orchidaceae,species,accepted,Acianthera bragae,LC,,Acianthera bragae,BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP,Acianthera,bragae,NA,correct
Acianthera crinita,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA,11001,Acianthera crinita (Barb.Rodr.) Pridgeon & M.W.Chase,NA,Orchidaceae,species,accepted,Acianthera crinita,LC,,Acianthera crinita,BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SP,Acianthera,crinita,NA,correct
Acianthera glumacea,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA,11011,Acianthera glumacea (Lindl.) Pridgeon & M.W.Chase,NA,Orchidaceae,species,accepted,Acianthera glumacea,LC,,Acianthera glumacea,BR-AL|BR-BA|BR-ES|BR-MG|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,Acianthera,glumacea,NA,correct
