"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","1419150","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.","G. Mathieu","W. W. Thomas","14070","2004","09","15","South America","Brazil","Bahia","Arataca","Serra das Lontras, 9.0 km WNW of Itatinguí on Fazenda road, then on trail over mountain ridge to Fazenda Cairo.","-39.3972","-15.1981","530","630","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=828499' target='other'> <mi>dwc_moreinfo</mi></a>","NY01419150","NY01419150_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","679957","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.","C. L. F. Ichaso","H. S. Irwin","19111","1968","01","24","South America","Brazil","Goiás","Cocalzinho de Goiás","50 km N. of Corumbá de Goiás on road to Niquelândia, valley of Rio Maranhão. Serra dos Pirineus.","-48.6","-15.57","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=854711' target='other'> <mi>dwc_moreinfo</mi></a>","NY00679957","NY00679957_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00957060","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.",NA,"C. W. Mosén","1028","1873","12","05","South America","Brazil","Minas Gerais","Caldas","Caldas","-46.3858","-21.9236",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1085762' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957060","NY00957060_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00957058","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.","C. L. F. Ichaso","H. S. Irwin","11281","1965","12","14","South America","Brazil","Distrito Federal","Brasília","25 km N. of Brasília","-47.9167","-15.55738","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1085747' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957058","NY00957058_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00555495","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.","E. F. Guimarães","H. S. Irwin","22923","1969","01","30","South America","Brazil","Minas Gerais",NA,"Ca. 25 km NE of Diamantina on road to Mendanha",NA,NA,"1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530995' target='other'> <mi>dwc_moreinfo</mi></a>","NY00555495","NY00555495_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","555490","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.",NA,"F. C. Hoehne","s.n.","1937","12","29","South America","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530991' target='other'> <mi>dwc_moreinfo</mi></a>","NY00555490","NY00555490_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","679953","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.","C. L. F. Ichaso","H. S. Irwin","11336","1965","12","16","South America","Brazil","Distrito Federal","Brasília","Córrego Landím, ca. 20 km N. of Brasília","-47.9167","-15.60256","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=854705' target='other'> <mi>dwc_moreinfo</mi></a>","NY00679953","NY00679953_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","555489","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.",NA,"M. Kuhlmann","s.n.","1941","02","21","South America","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530990' target='other'> <mi>dwc_moreinfo</mi></a>","NY00555489","NY00555489_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00957059","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.","R. Callejas Posada","G. G. Hatschbach","31455","1973","02","10","South America","Brazil","Minas Gerais","Caparaó","Vale Verde.","-41.9","-20.52",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1085750' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957059","NY00957059_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00957061","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.",NA,"L. B. Damazio","s.n.",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,"Pr. Antonioo Pereira, Serra do Frazão (Frascao).",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1085767' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957061","NY00957061_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","555493","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.",NA,"E. Pereira","2022","1956","09","11","South America","Brazil","Bahia","Morro do Chapéu","Morro do Chapéu","-41.1558","-11.5503","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530989' target='other'> <mi>dwc_moreinfo</mi></a>","NY00555493","NY00555493_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00957062","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.",NA,"A. C. Brade","18937","1948","05","03","South America","Brazil","Minas Gerais","Passa Quatro",NA,"-44.9667","-22.3906",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1085914' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957062","NY00957062_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","555494","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.",NA,"E. Pereira","6989","1962","03","04","South America","Brazil","Rio de Janeiro","Itatiaia","Itatiaia pr. Maromba","-44.609817","-22.331098","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530994' target='other'> <mi>dwc_moreinfo</mi></a>","NY00555494","NY00555494_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","01095531","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.","G. Mathieu","P. Fiaschi","1344","2003","02","23","South America","Brazil","Bahia","Lençóis","Parque Nacional da Chapada Diamantina. Serra da Chapadinha","-41.43","-12.45","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1391882' target='other'> <mi>dwc_moreinfo</mi></a>","NY01095531","NY01095531_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","555491","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.",NA,"A. Löfgren","2437","1894","04","25","South America","Brazil","São Paulo","Bocaina","Campos da Bocaina","-44.684548","-23.029725",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530992' target='other'> <mi>dwc_moreinfo</mi></a>","NY00555491","NY00555491_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","250346","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.","G. Mathieu","P. K. H. Dusén","9489","1910","02","26","South America","Brazil","Paraná",NA,"Fortaleza, in saxis umbrosis",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272227' target='other'> <mi>dwc_moreinfo</mi></a>","NY00250346","NY00250346_01","not a type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","632487","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.","L. A. Garces","P. T. Sano",NA,"1994","02","26","South America","Brazil","Bahia","Abaíra","Catolés. Serra do Barbado","-41.6636009216309","-13.2496995925903","1750","2035","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530988' target='other'> <mi>dwc_moreinfo</mi></a>","NY00632487","NY00632487_01",NA,"26531","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","555492","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.",NA,"A. C. Brade","18201","1946","05","13","South America","Brazil","Espírito Santo","Itaguaçu","Jatiboca","-40.884085","-19.954583",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530993' target='other'> <mi>dwc_moreinfo</mi></a>","NY00555492","NY00555492_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-30 12:46:47-03","EAO","IAN","149104","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.","Ichaso, CLF","Irwin, HS; Wasshausen, DC","19111","1968","01","24","Southern America","Brasil","Goiás",NA,"Locally common 50km N of Corumbá de Goiás on road to Niquelândia, Goiás in valley of rio Maranhão. Forested limestone outcrop.",NA,NA,"800","800",NA,"Erect or ascending fleshy herb or subshrub to ca. 50cm tall. Inflorescences erect, cream.","IAN149104",NA,NA,NA,NA,"1974",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-30 12:46:47-03","EAO","IAN","118477","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.","Carvalho-Silva, M","Belém, RP; Mendes, JM","1","1964","12","10","Southern America","Brasil","Distrito Federal","Brasília","Fercal, região do cálcario.","-47.9296989440918","-15.7797002792358",NA,NA,NA,"Planta de 20cm de altura; sobre a rocha cálcaria.","IAN118477",NA,NA,"70570","auto","2006","05","09",NA,NA,NA,NA,NA,NA,NA
"21","2020-02-08 10:10:26-03","NBC","NL-BOTANY","L.1536651","PreservedSpecimen","Plantae",NA,"Piperales","Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.",NA,"Irwin HS; Souza R; Reis dos Santos R",NA,"1965","12","16","Southern America","Brazil",NA,NA,"Plants of the Planalto do Brasil Distrito Federal. Gallery forest and creek margin, Corrego Landim, ca. 20 km N. of Brasilia.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1536651 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1536651","NL-L1536651",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"22","2020-02-08 10:10:26-03","NBC","NL-BOTANY","U 0112573","PreservedSpecimen","Plantae",NA,"Piperales","Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.",NA,"Sello F",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200112573 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0112573","NL-U0112573","syntype",NA,NA,NA,NA,NA,"Magnoliopsidae","67694 A",NA,NA,NA,NA,NA
"23","2020-02-08 10:10:26-03","NBC","NL-BOTANY","U.1481224","PreservedSpecimen","Plantae",NA,"Piperales","Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.","Ichaso CLF","Irwin HS; Souza R; Reis dos Santos R",NA,"1965","12","14","Southern America","Brazil","Distrito Federal",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1481224 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1481224","NL-U1481224",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0087205",NA,NA,NA,NA,NA
"24","2020-02-08 10:10:26-03","NBC","NL-BOTANY","U.1481225","PreservedSpecimen","Plantae",NA,"Piperales","Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.","Ichaso CLF","Irwin HS; Maxwell H; Wasshausen DC",NA,"1968","01","24","Southern America","Brazil","Goiás",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1481225 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1481225","NL-U1481225",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0087204",NA,NA,NA,NA,NA
"25","2020-12-20 21:18:50-03","UFV","VIC","9618","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.",NA,"Vieira, M.F.; et al.","379","1986","04","05",NA,"Brasil","Minas Gerais","Estouro","Caminho para pedra do boné",NA,NA,NA,NA,NA,"Erva em pedra,inflorescência verde.","VIC009618","VIC009618",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-24 17:09:46-03","UFES","SAMES","7313","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.","Guimarães,E.","Verdi,M.; Souza,N.L.de.;Klemz,G.;Klettenberg,D.H.","4555","2010","04","30",NA,"Brasil","Santa Catarina","Paulo Lopes","Laranjal","-48.6836013793945","-27.9617004394531","126","126",NA,"Habitat: Floresta Ombrófila Densa","SAMES07313",NA,NA,"23385","auto","2011",NA,NA,NA,NA,"-487800000.0","-280800000.0",NA,NA,NA
