"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","class","dayIdentified","fieldNumber","infraspecificEpithet","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","493581","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia","jubata","Pfaffia jubata","Mart.","T. M. Pedersen","G. G. Hatschbach","27176","1971","10","08","South America","Brazil","Paraná","Sengés","Estr. S. Antonio - Itararé","-49.4633","-24.1131","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=715782' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493581","NY00493581_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","493580","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia","jubata","Pfaffia jubata","Mart.",NA,"P. K. H. Dusén","17455","1915","12","18","South America","Brazil","Paraná","Jaguariaíva",NA,"-49.7056","-24.2511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=715787' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493580","NY00493580_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","493577","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia","jubata","Pfaffia jubata","Mart.","F. R. Fosberg","W. A. Archer","165","1936","09","10","South America","Brazil","Mato Grosso","Campo Grande","Estaca",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=715783' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493577","NY00493577_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","493579","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia","jubata","Pfaffia jubata","Mart.",NA,"J. S. Blanchet","3335","1841",NA,NA,"South America","Brazil","Rio de Janeiro",NA,"Igreja Velha",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=715786' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493579","NY00493579_01","possible type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02474402","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia","jubata","Pfaffia jubata","Mart.",NA,"R. de Carvalho","125","1983","07","30","South America","Brazil","Distrito Federal","Brasília","Lago Norte.","-47.9296989440918","-15.7797002792358","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2691878' target='other'> <mi>dwc_moreinfo</mi></a>","NY02474402","NY02474402_01",NA,"70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02474403","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia","jubata","Pfaffia jubata","Mart.",NA,"C. Carneiro","2082","1985","10","05","South America","Brazil","Minas Gerais","Moeda","Serra da Moeda.","-44.0527992248535","-20.3330993652344","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2691879' target='other'> <mi>dwc_moreinfo</mi></a>","NY02474403","NY02474403_01",NA,"14750","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","679897","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia","jubata","Pfaffia jubata","Mart.","T. Borsch","M. L. Fonseca","1163","1996","09","17","South America","Brazil","Goiás","Niquelândia","Segunda bica do asfalto ca. 8km de Niquelândia. Companhinha de Níquel Tocantins.","-48.4330556","-14.3966667","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=853846' target='other'> <mi>dwc_moreinfo</mi></a>","NY00679897","NY00679897_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1033219","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia","jubata","Pfaffia jubata","Mart.",NA,"A. de Sainte-Hilaire","287","1816",NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1216468' target='other'> <mi>dwc_moreinfo</mi></a>","NY01033219","NY01033219_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1033225","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia","jubata","Pfaffia jubata","Mart.","T. Borsch","F. C. Hoehne","23973","1911","04",NA,"South America","Brazil","Mato Grosso",NA,"Marimbondo",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1216487' target='other'> <mi>dwc_moreinfo</mi></a>","NY01033225","NY01033225_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1033223","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia","jubata","Pfaffia jubata","Mart.","G. M. Barroso","H. S. Irwin","6222","1964","09","14","South America","Brazil","Distrito Federal","Brasília","Ca. 20 km. E. of Brasília, nr. Sobradinho.","-47.82","-15.65","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1216482' target='other'> <mi>dwc_moreinfo</mi></a>","NY01033223","NY01033223_01",NA,NA,NA,"700","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
