"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","coordinatePrecision","geoFlag","recordNumber","phylum","order","individualCount","continentOcean","preparationType","typeStatus","class","relatedCatalogItem","fieldNumber","previousCatalogNumber","sex"
"1","2021-04-05 14:33:49-03","UNESC","CRI","1644","PreservedSpecimen","Plantae","Ochnaceae","Polystachya","concreta","Polystachya concreta","(Jacq.) Garay & H. R. Sweet","Jorge Waechter","1993","07","26","Vanilde Citadini-Zanette; C. E. Dário e C. M. Martinello","1993","03","02","Brasil","Santa Catarina","Orleans","-49.288056","-28.358611","49º17'17''W","28º21'31''S","CRI005968","CRI005968",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:45-03","UNESC","CRI","11825","PreservedSpecimen","Plantae","Orchidaceae","Polystachya","concreta","Polystachya concreta","(Jacq.) Garay & Sweet","Guilherme Lodetti",NA,NA,NA,"Guilherme Alves Elias; Robson dos Santos, Peterson T. Padilha & Guilherme Lodetti","2016","04","04","Brasil","Santa Catarina","Grão Pará","-49.391944","-28.189444","49º23'31''W","28º11'22''S","CRI005964","CRI005964","Parque Estadual Serra Furada.","488","488","Floresta Ombrófila Densa Montana Habito: epifítica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:50-03","UNESC","CRI","8947","PreservedSpecimen","Plantae","Orchidaceae","Polystachya","concreta","Polystachya concreta","(Jacq.) Garay & Sweet","Lislaine Cardoso de Oliveira","2011","09","23","Lislaine Cardoso de Oliveira","2011","04","14","Brasil","Santa Catarina","Araranguá","-49.486111","-28.935278","49º29'10''W","28º56'7''S","CRI005976","CRI005976","Sanga do Veado.","4","4","Floresta brejosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:50-03","UNESC","CRI","13639","PreservedSpecimen","Plantae","Orchidaceae","Polystachya","concreta","Polystachya concreta","(Jacq.) Garay & Sweet","Renato Colares","2018","05","25","Renato Colares; Thuany Machado","2018","04",NA,"Brasil","Santa Catarina","Siderópolis","-49.456389","-28.585556","49º27'23''W","28º35'8''S","CRI012246",NA,"Vila Funil.","98","98","Habito: Epífita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:50-03","UNESC","CRI","8711","PreservedSpecimen","Plantae","Orchidaceae","Polystachya","concreta","Polystachya concreta","(Jacq.) Garay & Sweet","Emiliane Biava Dalmolim","2010","09","01","Emiliane Biava Dalmolim","2010","03","20","Brasil","Santa Catarina","Nova Veneza","-49.500833","-28.636944","49º30'3''W","28º38'13''S","CRI005963","CRI005963",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:45-03","UNESC","CRI","12304","PreservedSpecimen","Plantae","Orchidaceae","Polystachya","concreta","Polystachya concreta","(Jacq.) Garay & Sweet","Peterson T. Padilha","2017","05","19","Alexandre Medeiros","2017","04","24","Brasil","Santa Catarina","Balneário Camboriú","-48.6347007751465","-26.9906005859375",NA,NA,"CRI010488",NA,"Praia do Estaleiro.",NA,NA,"Coleta 211 Habito: Rupícola","8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:50-03","UNESC","CRI","4901","PreservedSpecimen","Plantae","Orchidaceae","Polystachya","estrellensis","Polystachya estrellensis","Rchb.f.","J. L. Waechter","1996","08","09","V. Citadini-Zanette; et al.","1996","01","17","Brasil","Santa Catarina","Meleiro","-49.636111","-28.829167","49º38'10''W","28º49'45''S","CRI005965","CRI005965","Pingador, Três Barras.","20","20",NA,NA,NA,"2136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","3860","S","Plantae","Orchidaceae","Polystachya","concreta","Polystachya concreta","(Jacq.) Garay & H.R. Sweet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,NA,"Magnoliophyta","Asparagales","1",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","4104336","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","conferta","Maxillaria conferta","(Griseb.) C.Schweinf. ex León",NA,NA,NA,NA,"J. M. Schunke-Vigo","1972","02","02","Peru","Huánuco","Leoncio Prado",NA,NA,NA,NA,"NY04104336","NY04104336_01","Al este de Tingo María",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4424709' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"5218","Magnoliophyta","Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","4104334","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","conferta","Maxillaria conferta","(Griseb.) C.Schweinf. ex León",NA,NA,NA,NA,"J. A. Steyermark","1972","05","18","Venezuela","Amazonas",NA,"-63.93","2.4567",NA,NA,"NY04104334",NA,"Sierra Parima, a lo largo de la frontera Venezolana-Brasilera, a unos 45 km. al Noroeste de las cabeceras del Río Orinoco","1300",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4424707' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"106007","Magnoliophyta","Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
