"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","country","stateProvince","county","locality","individualCount","occurrenceRemarks","identifiedBy","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","year","month","day","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","verbatimLongitude","verbatimLatitude","dayIdentified","relatedCatalogItem","fieldNumber","previousCatalogNumber","typeStatus"
"1","2019-06-10 10:10:54-03","FZB-BH","CVJBFZB","870","S","Plantae","Magnoliophyta","Equisetopsida","Alismatales","Araceae","Anthurium","sinuatum","Anthurium sinuatum","Benth.ex. Schott","Eduardo G. Gonçalves;","EGG817","Brasil","Mato Grosso do Sul","Cuiabá","Campus Universitario","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:54-03","FZB-BH","CVJBFZB","897","S","Plantae","Magnoliophyta","Equisetopsida","Alismatales","Araceae","Anthurium","sinuatum","Anthurium sinuatum","Benth.ex. Schott","Eduardo G. Gonçalves;","EGG355","Brasil","Goiás","Mossamedes","Serra Dourada","1","254","Eduardo G. Gonçalves","-50.2150001525879","-16.1266994476318","30139","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:54-03","FZB-BH","CVJBFZB","966","S","Plantae","Magnoliophyta","Equisetopsida","Alismatales","Araceae","Anthurium","sinuatum","Anthurium sinuatum","Benth.ex. Schott","Eduardo G. Gonçalves; H.Lorenzi & L.S.C. de Cerqueira","EGG892","Brasil","Amazonas","Manaus","BR174",NA,"254","Eduardo G. Gonçalves","-60.0250015258789","-3.10193991661072","138090","auto","2001","05","2001","05","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:54-03","FZB-BH","CVJBFZB","1053","S","Plantae","Magnoliophyta","Equisetopsida","Alismatales","Araceae","Anthurium","sinuatum","Anthurium sinuatum","Benth.ex. Schott","Eduardo G. Gonçalves; H.Lorenzi & L.S.C. de Cerqueira","EGG1054","Brasil","Pará","Barcarena","Igarapé da Água Verde","1","254","Eduardo G. Gonçalves","-48.6258010864258","-1.50583004951477","34723","auto","2003","01","2003","01","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1747275","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Anthurium","sinuatum","Anthurium sinuatum","Benth. ex Schott","H. S. Irwin","17289","Brazil","Mato Grosso",NA,"Ca. 78 km. S. of Xavantina. Drainage of the Upper Rio Araguaia.",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1954042' target='other'> <mi>dwc_moreinfo</mi></a>","M. T. Madison","-52.23","-15.33",NA,NA,NA,NA,"1966","06","16","South America","500","500","sheet","NY01747275",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","03778865","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Anthurium","sinuatum","Anthurium sinuatum","Benth. ex Schott","L. C. M. Croizat","453","Venezuela",NA,NA,"Salto Salas",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4062865' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,"1951","08","01","South America",NA,NA,"sheet","NY03778865",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","495308","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Anthurium","sinuatum","Anthurium sinuatum","Benth. ex Schott","L. C. M. Croizat","638","Venezuela",NA,NA,"El Queso",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512105' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,"1951","09","17","South America",NA,NA,"sheet","NY00495308",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1747278","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Anthurium","sinuatum","Anthurium sinuatum","Benth. ex Schott","G. C. G. Argent","6694","Brazil","Mato Grosso",NA,"Expedition Base Camp.",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1954321' target='other'> <mi>dwc_moreinfo</mi></a>","S. J. Mayo","-51.77","-12.82",NA,NA,NA,NA,"1968","08","26","South America",NA,NA,"sheet","NY01747278",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1747277","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Anthurium","sinuatum","Anthurium sinuatum","Benth. ex Schott","G. T. Prance","58848","Brazil","Pará",NA,"Vicinity of Cachoeira, BR 22, Km 98.",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1954319' target='other'> <mi>dwc_moreinfo</mi></a>","D. H. Nicolson","-46.52313","-1.776309",NA,NA,NA,NA,"1964","08","24","South America",NA,NA,"sheet","NY01747277",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","495306","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Anthurium","sinuatum","Anthurium sinuatum","Benth. ex Schott","H. S. Irwin","16043","Brazil","Mato Grosso",NA,"Ca. 60 km N of Xavantina",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512104' target='other'> <mi>dwc_moreinfo</mi></a>","T. B. Croat",NA,NA,NA,NA,NA,NA,"1966","05","25","South America","550","550","sheet","NY00495306","NY00495306_01",NA,NA,NA,NA,NA,NA,NA
