"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber"
"1","2021-04-05 14:34:08-03","UNESC","CRI","11597","PreservedSpecimen","Plantae","Salicaceae","Casearia","obliqua","Casearia obliqua","Spreng.","M. Verdi","2009","03","09","M. Verdi; R.P. Hasckel & G. Klemz","1522","2009","01","29","Brasil","Santa Catarina","Anita Garibaldi","Centro de Anita Garibaldi.","-51.136667","-27.690833","51º8'12''W","27º41'27''S","927","927","Floresta Ombrófila Mista","CRI008262","CRI008262",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:26:04-03","UNESC","CRI","12184","PreservedSpecimen","Plantae","Salicaceae","Casearia","obliqua","Casearia obliqua","Spreng.","Gasper, AL","2009","01","22","Dreveck, S; Gasper, Al & Carneiro FE","524","2009","01","22","Brasil","Santa Catarina","Irani","Lajeado Cordeiro","-51.93","-27","51º55'48''W","27º0'0''S","102","102","Doação Herbário FURB (11697) Habito: Arbóreo","CRI010362","CRI010362",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:08-03","UNESC","CRI","5371","PreservedSpecimen","Plantae","Salicaceae","Casearia","obliqua","Casearia obliqua","Spreng.","J. A. Jarenkow",NA,NA,NA,"J. A. Jarenkow",NA,"1992","12","19","Brasil","Rio Grande do Sul","Torres","Perdida.","-49.727222","-29.335833","49º43'38''W","29º20'9''S","36","36","Habito: arbórea","CRI009728","CRI009728",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:08-03","UNESC","CRI","8128","PreservedSpecimen","Plantae","Salicaceae","Casearia","obliqua","Casearia obliqua","Spreng.","M. Verdi","2009","05","12","M. Verdi; G. Klemz e R. P. Hasckel","1350","2009","01","21","Brasil","Santa Catarina","Anita Garibaldi",NA,"-51.130278","-27.689722","51º7'49''W","27º41'23''S",NA,NA,NA,"CRI009726","CRI009726",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:26:04-03","UNESC","CRI","11377","PreservedSpecimen","Plantae","Salicaceae","Casearia","obliqua","Casearia obliqua","Spreng.","Renato Colares","2017","09","14","Emir Dias",NA,"2000","01","14","Brasil","Santa Catarina","Joinville","Estrada do Pico","-48.8456001281738","-26.3043994903564",NA,NA,NA,NA,"Doação Herbário Joinville (13424) (Herbário Joinville - Museu Botânico Municipal - 288)","CRI010821",NA,"37150","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:43:18-03","E","E","83133","PreservedSpecimen","Plantae","Salicaceae","Casearia","obliqua","Casearia obliqua",NA,NA,NA,NA,NA,"Kummrow, R. & Cordeiro, J.","3344","1994","01","20","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00083133 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083133",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:91712",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1016103","PreservedSpecimen","Plantae","Salicaceae","Casearia","inaequilatera","Casearia inaequilatera","Cambess.","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","18262","1968","08","11","Brazil","Paraná","Guaraqueçaba","Serrinha.","-48.3289","-25.3069",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141467' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016103","NY01016103_01",NA,NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","375620","PreservedSpecimen","Plantae","Salicaceae","Casearia","obliqua","Casearia obliqua","Spreng.","H. O. Sleumer",NA,NA,NA,"A. P. Duarte","5425","1960","11","08","Brazil","Rio de Janeiro","Rio de Janeiro","Estado da Guanabara, Sacopa, Lagoa Rodrigo de Freitas","-43.207919","-22.973835",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680805' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375620","NY00375620_01",NA,NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00897122","PreservedSpecimen","Plantae","Salicaceae","Casearia","obliqua","Casearia obliqua","Spreng.","H. O. Sleumer",NA,NA,NA,"Y. E. J. Mexia","5395a","1930","12","10","Brazil","Minas Gerais","Viçosa","Viçosa. Fazenda de Aguada, about 2 km. from entrance.","-42.8817","-20.7542",NA,NA,"700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971350' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897122","NY00897122_01",NA,NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","375597","PreservedSpecimen","Plantae","Salicaceae","Casearia","obliqua","Casearia obliqua","Spreng.","H. O. Sleumer",NA,NA,NA,"R. Reitz","8276","1959","01","16","Brazil","Santa Catarina","Lauro Muller","Pinhal da Companhia, Lauro Müller-Uruçanga","-49.3967","-28.3931",NA,NA,"300","300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680799' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375597","NY00375597_01",NA,NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA
