"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","563839","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","ligulata","Ocotea ligulata","van der Werff","isotype","S. A. Mori","20190","1988","12","06","South America","Brazil","Amazonas","Distrito Agropecuário, Reserva 1501 (Km. 41) of the WWF/INPA MCS Project.","-59.74583","-2.41625","50","125","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=268808' target='other'> <mi>dwc_moreinfo</mi></a>","NY00563839","NY00563839_01",NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01203232","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","ligulata","Ocotea ligulata","van der Werff",NA,"C. Dick","133","1992","06","09","South America","Brazil","Amazonas","Ca. 90 Km N de Manaus. Distrito Agropecuário da SUFRAMA, Rodovia BR-174, Km 64, depois 21 Km L na ZF3. Fazenda Porto Alegre","-59.9048156","-2.4341821","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1304634' target='other'> <mi>dwc_moreinfo</mi></a>","NY01203232","NY01203232_01","A. Vicentini","Manaus",NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01155317","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","ligulata","Ocotea ligulata","van der Werff",NA,"S. A. Mori","20574","1989","07","09","South America","Brazil","Amazonas","Distrito Agropecuária, Reserva 1501 ( Km 41 ) of the WWF/INPA MCS Project","-59.75","-2.416667","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1304633' target='other'> <mi>dwc_moreinfo</mi></a>","NY01155317","NY01155317_01","H. H. van der Werff","Manaus",NA,NA,NA,NA,NA
"4","2020-10-20 14:17:37-03","UFOPA","HSTM","9580","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","ligulata","Ocotea ligulata","van der Werff",NA,"Sofia, A.",NA,"2007","05","05",NA,"Brasil","Pará","Pajuçara.","-54.876111","-2.536667",NA,NA,NA,NA,"HSTM009580","HSTM009580 HSTM009580_1","Vicentini, A.","Santarém","2017","09","01","54º52'34''W","2º32'12''S"
"5","2008-05-27 22:02:00-03","MO","MOBOT","1500189","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","ligulata","Ocotea ligulata","van der Werff",NA,"Scott A. Mori","Mori 20574","1989","7","9","South America","Brazil","Amazonas","Distrito Agropecuário, Reserva 1501 (Km 41) of the WWF/INPA MCS Project.","-59.72777","-2.40722","50.00000000","125.00000000",NA,NA,NA,NA,"H. van der Werff (MO)",NA,NA,NA,NA,NA,NA
"6","2008-05-27 22:02:00-03","MO","MOBOT","1500186","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","ligulata","Ocotea ligulata","van der Werff","Holotype","Scott A. Mori","Mori 20190","1988","12","6","South America","Brazil","Amazonas","Distrito Agropecúrio, Reserva 1501 (Km 41) of the WWF/INPA MCS Project. Non-flooded moist forest.","-59.72777","-2.40722","50.00000000","125.00000000",NA,NA,NA,NA,"H. van der Werff (MO)",NA,NA,NA,NA,NA,NA
"7","2008-05-27 22:02:00-03","MO","MOBOT","1500185","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","ligulata","Ocotea ligulata","van der Werff",NA,"C. Dick","Dick 133","1992","6","9","South America","Brazil","Amazonas","Mun. de Manaus, ca. 80 km. N dd Manaus, Distrito Agropecuário de SUFRAMA, Rodovia BR 174, km 64, depois 21 km leste na ZF 3 Fazenda Porto Alegre.","-59.9","-2.41666","50.00000000","125.00000000",NA,NA,NA,NA,"H. van der Werff (MO)",NA,NA,NA,NA,NA,NA
"8","2021-01-10 20:48:29-03","INPA","INPA","170530","S","Plantae","Dicotyledon Magnoliids","Laurales","Lauraceae","Ocotea","ligulata","Ocotea ligulata","van der Werff","paratype","Mori, SA","20574","1989","07","09","Southern America","Brasil","Amazonas","Distrito Agropecuário, ZF3., Distrito Agropecuária, Reserva 1501 ( Km 41 ) of the WWF/INPA MCS Project","-59.75","-2.416667","50","125",NA,NA,"INPA0170530","INPA0170530 INPA0170530_e INPA0170530_e1","Werff, HH van der","Manaus","1998",NA,NA,"-59.75","-2.416667"
"9","2021-01-10 20:48:29-03","INPA","INPA","175200","S","Plantae","Dicotyledon Magnoliids","Laurales","Lauraceae","Ocotea","ligulata","Ocotea ligulata","van der Werff","paratype","Dick, CW","133","1992","06","09","Southern America","Brasil","Amazonas","Distrito Agropecuário, ZF3., Ca. 90 Km N de Manaus. Distrito Agropecuário da SUFRAMA, Rodovia BR-174, Km 64, depois 21 Km L na ZF3. Fazenda Porto Alegre","-59.9","-2.416667","50","125",NA,NA,"INPA0175200","INPA0175200 INPA0175200_e","Werff, HH van der","Manaus","2000",NA,NA,"-59.9","-2.416667"
