"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","typeStatus","recordNumber","stateProvince","locality","phylum","order","scientificNameAuthorship","identifiedBy","imagecode","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","fieldNumber","individualCount","relatedCatalogItem"
"1","2020-09-23 10:40:11-03","E","E","100022","PreservedSpecimen","Plantae","Lauraceae","Aiouea","trinervis","Aiouea trinervis","Ratter, J.A.; Bridgewater, S. & Filho, J. Fonsêca","1999","08","21","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:109506","<a href=http://data.rbge.org.uk/herb/E00100022 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00100022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:11-03","E","E","100457","PreservedSpecimen","Plantae","Lauraceae","Aiouea","trinervis","Aiouea trinervis","Bridgewater, S., Ratter, J.A. & Filho, J.F.","1999","08","25","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:109851","<a href=http://data.rbge.org.uk/herb/E00100457 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00100457",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:11-03","E","E","259420","PreservedSpecimen","Plantae","Lauraceae","Aiouea","trinervis","Aiouea trinervis","Gardner, George",NA,NA,NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:270557","<a href=http://data.rbge.org.uk/herb/E00259420 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259420","isotype","3424","Goias","Goyaz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:40:11-03","E","E","83707","PreservedSpecimen","Plantae","Lauraceae","Aiouea","trinervis","Aiouea trinervis","Proenca, C., Ratter, J.A., Fonseca Filho, J.A.ET., Bridgewater, S., Simon, M.F.","1996","09","19","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:92633","<a href=http://data.rbge.org.uk/herb/E00083707 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083707",NA,"1543",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:40:11-03","E","E","66326","PreservedSpecimen","Plantae","Lauraceae","Aiouea","trinervis","Aiouea trinervis","Guillén, R. et al","1995","08","12","W. Tropical South America","BO","herbarium specimen of unspecif","BGBASE:87043","<a href=http://data.rbge.org.uk/herb/E00066326 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00066326",NA,"3944",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00894274","PreservedSpecimen","Plantae","Lauraceae","Aiouea","trinervis","Aiouea trinervis","S. G. da Fonsêca","1968","10","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983482' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894274",NA,"1575","Goiás","Margem do rio Verdão.","Magnoliophyta","Laurales","Meisn.","S. S. Renner","NY00894274_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","126856","PreservedSpecimen","Plantae","Lauraceae","Aiouea","trinervis","Aiouea trinervis","J. G. F. Riedel","1826","09",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171153' target='other'> <mi>dwc_moreinfo</mi></a>","NY00126856","isotype","486",NA,"In campis siccis Rio Pardo","Magnoliophyta","Laurales","Meisn.",NA,"NY00126856_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00894272","PreservedSpecimen","Plantae","Lauraceae","Aiouea","trinervis","Aiouea trinervis","H. S. Irwin","1966","06","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983427' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894272",NA,"17353","Mato Grosso","Serra Azul, ca. 85 km. S. of Xavantina. Drainage of the Upper Rio Araguaia.","Magnoliophyta","Laurales","Meisn.","S. S. Renner","NY00894272_01","-52.23","-15.4","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00894262","PreservedSpecimen","Plantae","Lauraceae","Aiouea","trinervis","Aiouea trinervis","B. Maguire","1963","08","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983419' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894262",NA,"56331","Mato Grosso","Serra da Saudade, camp 120 km beyond Alto Araguaia. Brasília-Acre highway.","Magnoliophyta","Laurales","Meisn.","C. K. Allen","NY00894262_01","-53.7581","-16.3494","750","750","Guiratinga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00894278","PreservedSpecimen","Plantae","Lauraceae","Aiouea","trinervis","Aiouea trinervis","J. M. Pires","1978","08","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983542' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894278",NA,"16352","Mato Grosso","Base de helicópteros de Sararé, Radambrasil, folha SD 21-YA, ponto 33A.","Magnoliophyta","Laurales","Meisn.","H. H. van der Werff","NY00894278_01","-58.75","-15","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00894270","PreservedSpecimen","Plantae","Lauraceae","Aiouea","trinervis","Aiouea trinervis","B. Maguire","1963","09","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2994979' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894270",NA,"56875","Mato Grosso","50 km from Cuiaba en route to Rodonopolis","Magnoliophyta","Laurales","Meisn.",NA,"NY00894270_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00894264","PreservedSpecimen","Plantae","Lauraceae","Aiouea","trinervis","Aiouea trinervis","B. Maguire","1963","08","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983421' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894264",NA,"56436","Mato Grosso","50 km west of Diamantino. Brasilia-Acre Highway.","Magnoliophyta","Laurales","Meisn.","S. S. Renner","NY00894264_01",NA,NA,"700","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00894261","PreservedSpecimen","Plantae","Lauraceae","Aiouea","trinervis","Aiouea trinervis","A. Macedo","1952","07","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983418' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894261",NA,"3555","Goiás",NA,"Magnoliophyta","Laurales","Meisn.","L. B. Smith","NY00894261_01","-49.0992","-17.7311",NA,NA,"Morrinhos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00894266","PreservedSpecimen","Plantae","Lauraceae","Aiouea","trinervis","Aiouea trinervis","D. R. Hunt","1966","06","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983423' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894266",NA,"6057","Mato Grosso","Xavantina roadl, about 75 km. from Barra do Garças, at foot of high conglomerate sandstone cliffs, Serra Azul.","Magnoliophyta","Laurales","Meisn.","F. G. Lorea-Hernández","NY00894266_01","-52.2567","-15.8903","600","1000","Barra do Garças",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00894271","PreservedSpecimen","Plantae","Lauraceae","Aiouea","trinervis","Aiouea trinervis","H. S. Irwin","1966","06","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983426' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894271",NA,"17353","Mato Grosso","Serra Azul, ca. 85 km. S. of Xavantina. Drainage of the Upper Rio Araguaia.","Magnoliophyta","Laurales","Meisn.","S. S. Renner","NY00894271_01","-52.23","-15.4","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00894276","PreservedSpecimen","Plantae","Lauraceae","Aiouea","trinervis","Aiouea trinervis","C. A. Cid Ferreira","1985","09","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983532' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894276",NA,"6104","Mato Grosso","BR 163, a 125 km ao S de Sinop, 10 km de Primavera.","Magnoliophyta","Laurales","Meisn.","H. H. van der Werff","NY00894276_01","-55.88","-12.92",NA,NA,"Nobres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00894275","PreservedSpecimen","Plantae","Lauraceae","Aiouea","trinervis","Aiouea trinervis","S. A. Mori","1984","07","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983483' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894275",NA,"16711","Mato Grosso","Cuiabá-Chapada dos Guimarães Hwy. (MT251). 3 km W of Buriti.","Magnoliophyta","Laurales","Meisn.","H. H. van der Werff","NY00894275_01","-55.7494","-15.4608","600","600","Chapada dos Guimarães",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00894265","PreservedSpecimen","Plantae","Lauraceae","Aiouea","trinervis","Aiouea trinervis","R. Goodland","1966","07","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983422' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894265",NA,"472","Goiás","24 km W of Rio Verde, S of Road.","Magnoliophyta","Laurales","Meisn.","F. G. Lorea-Hernández","NY00894265_01","-50.9281","-17.7983",NA,NA,"Rio Verde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00894263","PreservedSpecimen","Plantae","Lauraceae","Aiouea","trinervis","Aiouea trinervis","B. Maguire","1963","08","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983420' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894263",NA,"56331","Mato Grosso","Serra da Saudade, camp 120 km beyond Alto Araguaia. Brasília-Acre highway.","Magnoliophyta","Laurales","Meisn.","C. K. Allen","NY00894263_01","-53.7581","-16.3494","750","750","Guiratinga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","00894267","PreservedSpecimen","Plantae","Lauraceae","Aiouea","trinervis","Aiouea trinervis","H. S. Irwin","1964","10","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983424' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894267",NA,"7309","Goiás","Ca. 30 km. N. of Jataí, on rd. to Caiapônia. Serra do Caiapó.","Magnoliophyta","Laurales","Meisn.",NA,"NY00894267_01","-51.7","-17.3","800","1000","Jataí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","00894273","PreservedSpecimen","Plantae","Lauraceae","Aiouea","trinervis","Aiouea trinervis","H. S. Irwin","1964","10","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983481' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894273",NA,"7309","Goiás","Ca. 30 km. N. of Jataí, on rd. to Caiapônia. Serra do Caiapó.","Magnoliophyta","Laurales","Meisn.","S. S. Renner","NY00894273_01","-51.7","-17.3","800","1000","Jataí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
