"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","continentOcean","preparationType","previousCatalogNumber","occurrenceRemarks","phylum","order","coordinatePrecision","geoFlag","infraspecificEpithet","typeStatus","yearIdentified","monthIdentified","dayIdentified","sex","class","relatedCatalogItem","individualCount","fieldNumber"
"1","2021-04-05 14:33:19-03","UNESC","CRI","6387","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","impetiginosus","Handroanthus impetiginosus","(Mart. ex DC.) Mattos","V. Dorigon","Vilma Dorigon","1998","10","10","Brasil","Santa Catarina","Criciúma","Bairro Pinheirinho.","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58","CRI001681","CRI001681",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:30-03","E","E","202920","PreservedSpecimen","Plantae","Bignoniaceae","Tabebuia","impetiginosa","Tabebuia impetiginosa",NA,NA,"Lima, J.C.M.; Simon, M.F.","1999","02","02","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00202920",NA,"42","E. Tropical South America","herbarium specimen of unspecif","BGBASE:217558","<a href=http://data.rbge.org.uk/herb/E00202920 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 21:40:00-03","NY","NYBG","00907734","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","impetiginosus","Handroanthus impetiginosus",NA,"S. O. Grose","E. P. Heringer","1967","06","10","Brazil","Distrito Federal","Brasília","Fazenda Agua Limpa- Universidade de Brasília","-47.9294","-15.7797",NA,NA,NA,NA,"NY00907734","NY00907734_01","11530","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988280' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1005063","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","impetiginosus","Handroanthus impetiginosus","(Mart. ex DC.) Mattos",NA,"G. T. Prance","1979","06","12","Brazil","Mato Grosso",NA,"Transpantaneira Highway; 15 km after gateway.",NA,NA,NA,NA,NA,NA,"NY01005063","NY01005063_01","26161","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1071538' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 22:06:00-03","NY","NYBG","00948708","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","impetiginosus","Handroanthus impetiginosus",NA,NA,"J. M. Pires","1964","06","20","Brazil","Minas Gerais","Paracatu",NA,"-46.8744","-17.2222",NA,NA,NA,NA,"NY00948708","NY00948708_01","58049","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015255' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","948693","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","impetiginosus","Handroanthus impetiginosus","(Mart. ex DC.) Mattos",NA,"H. S. Irwin","1966","06","14","Brazil","Mato Grosso",NA,"Ca. 78 km. S. of Xavantina. Drainage of the Upper Rio Araguaia.","-52.23","-15.33",NA,NA,"500","500","NY00948693","NY00948693_01 NY00948693_02","17131","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015143' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 18:51:00-03","NY","NYBG","778946","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","impetiginosus","Handroanthus impetiginosus",NA,NA,"M. Rodrigues","1998","12","26","Brazil","Alagoas","Penedo","Barragem da faz. Gameleira, pequena grota e vale. APA de Marituba do Peixe.","-36.4880556","-10.0788889",NA,NA,NA,NA,"NY00778946","NY00778946_01 NY00778946_02","1476","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=800235' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","402816","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","impetiginosus","Handroanthus impetiginosus","(Mart. ex DC.) Mattos",NA,"D. N. Smith","1990","08","24","Bolivia","El Beni","José Ballivián","Carretera San Borja a San Ignacio de Moxos, 14 a 17 km del Río Maniqui.",NA,NA,NA,NA,"225","225","NY00402816",NA,"14170","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=176336' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-28 15:50:00-03","NY","NYBG","402818","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","impetiginosus","Handroanthus impetiginosus",NA,NA,"G. Tessmann",NA,NA,NA,"Peru",NA,NA,"Mouth of Rio Santiago, on high land.","-77.639273","-4.434615",NA,NA,NA,NA,"NY00402818",NA,"3930","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=176338' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-28 15:50:00-03","NY","NYBG","402813","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","impetiginosus","Handroanthus impetiginosus",NA,NA,"J. M. Pires","1964","06","08","Brazil","São Paulo","Valentim Gentil","Valentim Gentil.","-50.08","-20.4203",NA,NA,NA,NA,"NY00402813","NY00402813_01","57916","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=176343' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
