"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","individualCount","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","378411","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","arianeae","Licania arianeae","Prance","G. T. Prance","A. M. Lino","45","1972","05","22","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal de Linhares -C.V.R.D.- Próximo a estrada 142 talhao 402","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=683818' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378411","NY00378411_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","428340","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","arianeae","Licania arianeae","Prance",NA,"D. A. Folli","228","1980","05","19","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD. Est. Farinha Seca, ant. 221, km 2260, lado direito","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=683820' target='other'> <mi>dwc_moreinfo</mi></a>","NY00428340","NY00428340_01 NY00428340_02","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","378412","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","arianeae","Licania arianeae","Prance","G. T. Prance","J. R. Pirani","3583","1995","02","22","South America","Brazil","Espírito Santo","Itapemirim","Estrada para Marataízes, perto do ixao, a ca. 3 km N de Marataízes","-40.8339","-21.0111","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=683819' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378412","NY00378412_01 NY00378412_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-27 10:24:32-03","UFES","VIES","24391","S","Plantae",NA,NA,"Chrysobalanaceae","Licania","arianeae","Licania arianeae","Prance",NA,"Amaral, R.N.","189","2017","03","15",NA,"Brasil","Espírito Santo","Conceição da Barra","Parque Estadual de Itaúnas - Trilha da Almésca.","-39.7322006225586","-18.5932998657227",NA,NA,"VIES024391","VIES024391",NA,"41644","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 09:30:03-03","UFRRJ","RBR","37410","S","Plantae",NA,NA,"Chrysobalanaceae","Licania","arianeae","Licania arianeae","Prance",NA,"D.A. Folli","228",NA,NA,NA,NA,"Brasil","Espírito Santo","Linhares","Brasil, Espírito Santo, Município de Linhares, Reserva Florestal da CVRD.","-40.0722007751465","-19.3910999298096",NA,NA,"RBR00037410","RBR00037410","Isotipo","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:20:46-03","MBM","MBM","230204","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Licania","arianeae","Licania arianeae","Prance","Prance, G.T.","Pirani, J.R.; et al.; et al.","3583","1995","02","22","Southern America","Brazil","Espírito Santo","Itapemirim","Estrada para Marataízes","-40.8339004516602","-21.011100769043",NA,NA,"MBM230204","MBM230204",NA,"28626","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2018-07-25 16:26:00-03","MO","MOBOT","101058574","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Licania","arianeae","Licania arianeae","Prance",NA,"D. Foli","Foli 228","1980","5","19","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal CVRD.","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,"Isotype","48094","auto","1",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-25 10:12:46-03","CVRD","CVRD","11294","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","arianeae","Licania arianeae","Prance","G. T. Prance","Folli, D.A.","6127","2008","06","24","América do Sul","BRASIL","ES","Conceição da Barra",NA,"-39.715503","-18.425198",NA,"det., 06/2011 <ll>dwc_commonname:</ll> Quebra machado","CVRD011294",NA,NA,NA,NA,NA,"Magnoliopsida","2011","09","05","-39,715503","-18,425198","9","9"
"9","2021-02-25 10:12:46-03","CVRD","CVRD","583","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","arianeae","Licania arianeae","Prance","Ghillea T. Prance","Folli, D.A.","228","1980","05","19","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Quebra machado","CVRD000583","CVRD000583","ISOTYPUS","48094","auto",NA,"Magnoliopsida","1986","05","28",NA,NA,NA,NA
"10","2021-02-25 10:12:46-03","CVRD","CVRD","6237","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","arianeae","Licania arianeae","Prance","G. T. Prance","Folli, D.A.","3412","1999","05","04","América do Sul","BRASIL","ES","Linhares","Próximo ao Rio Barra Seca","-40.0722007751465","-19.3910999298096",NA,"det., 06/2011 <ll>dwc_commonname:</ll> Quebra machado","CVRD006237",NA,NA,"48094","auto",NA,"Magnoliopsida","2011","09","05",NA,NA,NA,NA
"11","2021-02-25 10:12:46-03","CVRD","CVRD","8128","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","arianeae","Licania arianeae","Prance","G. T. Prance","Folli, D.A.","4491","2003","04","01","América do Sul","BRASIL","ES","Linhares","Rio barra seca","-40.0722007751465","-19.3910999298096",NA,"det., 06/2011 <ll>dwc_commonname:</ll> Quebra machado","CVRD008128","CVRD008128",NA,"48094","auto",NA,"Magnoliopsida","2011","09","05",NA,NA,NA,NA
"12","2019-11-13 11:17:51-03","USP","SPF","100685","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Licania","arianeae","Licania arianeae","Prance","Prance, GT","Pirani, JR","3583","1995","02","22",NA,"Brasil","Espírito Santo","Itapemirim",NA,"-40.8339004516602","-21.011100769043",NA,NA,"SPF00100685",NA,NA,"28626","auto",NA,NA,"1998","04",NA,NA,NA,NA,NA
"13","2019-10-18 17:22:43-03","UEFS","HUEFS","245112","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Chrysobalanaceae","Licania","arianeae","Licania arianeae","Prance","R.Asprino","Gomes, J.M.L.","3349","2009","08","08",NA,"Brasil","Espírito Santo","Anchieta",NA,"-40.6455993652344","-20.8057994842529",NA,NA,"HUEFS0245112","HUEFS0245112 HUEFS0245112_e1",NA,"28755","auto",NA,"Rosanae","2019","10",NA,NA,NA,NA,NA
"14","2019-10-18 17:22:43-03","UEFS","HUEFS","245111","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Chrysobalanaceae","Licania","arianeae","Licania arianeae","Prance","R.Asprino","Pereira, O.J.","3443","1992","06","09",NA,"Brasil","Espírito Santo","Conceição da Barra","Aracruz Celulose S.A.","-39.7322006225586","-18.5932998657227",NA,NA,"HUEFS0245111","HUEFS0245111 HUEFS0245111_e1",NA,"41644","auto",NA,"Rosanae","2019","10",NA,NA,NA,NA,NA
"15","2020-09-17 08:57:50-03","IBt","SP","321156","S","Plantae",NA,NA,"Chrysobalanaceae","Licania","arianeae","Licania arianeae","Prance",NA,"Pirani, JR","3583","1995","02","22",NA,"Brasil","Espírito Santo","Itapemirim",NA,"-40.8339004516602","-21.011100769043",NA,NA,NA,NA,NA,"28626","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
