"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","infraspecificEpithet","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-04-05 14:33:29-03","UNESC","CRI","9141","PreservedSpecimen","Plantae","Cyperaceae","Scleria","plusiophylla","Scleria plusiophylla","Steud.","R. Affonso","2010","12","08","R. Affonso; A. Zanin","146","2010","12","08","Brasil","Santa Catarina","Criciúma","Parque Ecológico Municipal de Criciúma.","-49.430556","-28.690278","49º25'50''W","28º41'25''S","58","58","Habitat: mata remanescente Habito: herbácea","CRI002166","CRI002166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:12-03","UNESC","CRI","6139","PreservedSpecimen","Plantae","Cyperaceae","Scleria","plusiophylla","Scleria plusiophylla","Steud.","Regina Affonso","2011","06","23","Vanilde C. Zanette","2478","1997","08","20","Brasil","Santa Catarina","Criciúma","Morro Casagrande.","-49.37","-28.678056","49º22'12''W","28º40'41''S","46","46",NA,"CRI002165","CRI002165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:12-03","UNESC","CRI","7387","PreservedSpecimen","Plantae","Cyperaceae","Scleria","plusiophylla","Scleria plusiophylla","Steud.","Rafael Trevisan","2007","09","19","Edilane Rocha","3","2005","12","26","Brasil","Santa Catarina","Criciúma","Parque Ecológico Municipal José Milanese - Mina União.","-49.416667","-28.8","49º25'0''W","28º48'0''S","34","34",NA,"CRI002167","CRI002167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:12-03","UNESC","CRI","3005","PreservedSpecimen","Plantae","Cyperaceae","Scleria","plusiophylla","Scleria plusiophylla","Steud.","Regina Affonso","2011","06","23","Raquel Rejane Bonatto Negrelle","262","1992","07","30","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha (Bairro Itapema Norte).","-48.65","-26.15","48º39'W","26º9'S","5","5",NA,"CRI002161","CRI002161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","637263","PreservedSpecimen","Plantae","Cyperaceae","Scleria","latifolia","Scleria latifolia foliosa","(Nees) T.Koyama","T. M. Koyama",NA,NA,NA,"H. S. Irwin","30287","1971","01","13","Brazil","Minas Gerais",NA,"At base of Serra da Piedade, ca. 35 km E. of Belo Horizonte, road to Caeté. Serra do Espinhaço.","-43.676328","-19.820266",NA,NA,"1600","1600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337770' target='other'> <mi>dwc_moreinfo</mi></a>","NY00637263","NY00637263_01","Magnoliophyta","Poales","foliosa","South America","sheet",NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","636750","PreservedSpecimen","Plantae","Cyperaceae","Scleria","latifolia","Scleria latifolia foliosa","(Nees) T.Koyama","T. M. Koyama",NA,NA,NA,"B. D. Sucre","5237","1969","06","09","Brazil","Rio de Janeiro",NA,"Guanabara, mata alagadiça do lado norte da Pedra de Itaúna, Restinga de Jacarepaguá.",NA,NA,NA,NA,NA,NA,"Jardim Botânico do Rio de Janeiro <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337769' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636750","NY00636750_01","Magnoliophyta","Poales","foliosa","South America","sheet",NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","637262","PreservedSpecimen","Plantae","Cyperaceae","Scleria","latifolia","Scleria latifolia foliosa","(Nees) T.Koyama","T. M. Koyama",NA,NA,NA,"H. S. Irwin","11911","1966","01","21","Brazil","Goiás","Goiás","Gallery forest, Serra Dourada, ca. 30 km. S.E. of Goiás Velho.","-50","-14",NA,NA,"700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337767' target='other'> <mi>dwc_moreinfo</mi></a>","NY00637262","NY00637262_01","Magnoliophyta","Poales","foliosa","South America","sheet",NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","668656","PreservedSpecimen","Plantae","Cyperaceae","Scleria","latifolia","Scleria latifolia foliosa","(Nees) T.Koyama","T. M. Koyama",NA,NA,NA,"F. J. Fernández Casas","FC3755","1980","09","21","Paraguay","Alto Paraná",NA,"Puerto Presidente Stroessner, km 12, en bosque.",NA,NA,NA,NA,NA,NA,"Iter Paraguayense (IX-X, 1980) <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337771' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668656",NA,"Magnoliophyta","Poales","foliosa","South America","sheet",NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00939458","PreservedSpecimen","Plantae","Cyperaceae","Scleria","latifolia","Scleria latifolia foliosa","(Nees) T.Koyama","T. M. Koyama",NA,NA,NA,"H. S. Irwin","30613","1971","01","17","Brazil","Minas Gerais","Caeté","Serra do Espinhaço, ca. 34 km E. of Belo Horizonte, road (BR-31) to Roças Novas","-43.65505","-19.77555",NA,NA,"1500","1500","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=973994' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939458","NY00939458_01","Magnoliophyta","Poales","foliosa","South America","sheet",NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00939457","PreservedSpecimen","Plantae","Cyperaceae","Scleria","latifolia","Scleria latifolia foliosa","(Nees) T.Koyama",NA,NA,NA,NA,"H. S. Irwin","30287","1971","01","13","Brazil","Minas Gerais",NA,"Serra do Espinhaço, base of Serra da Piedade, ca. 35 km E. of Belo Horizonte, road to Caeté","-43.676328","-19.820266",NA,NA,"1600","1600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=973985' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939457","NY00939457_01","Magnoliophyta","Poales","foliosa","South America","sheet",NA,NA,NA,NA,NA,NA
