"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","infraspecificEpithet","fieldNumber","individualCount"
"1","2021-04-05 14:25:11-03","UNESC","CRI","12912","PreservedSpecimen","Plantae","Cyperaceae","Scleria","distans","Scleria distans","Poir.","Renato Colares","2018","03","05","Renato Colares","2018","02","10","Brasil","Santa Catarina","Sombrio","Boa Esperança","-49.675556","-29.109167","49º40'32''W","29º6'33''S","18","18","Habitat: Terrícola Habito: Herbácea","CRI011520","CRI011520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:11-03","UNESC","CRI","9138","PreservedSpecimen","Plantae","Cyperaceae","Scleria","distans","Scleria distans","Poir.","R. Affonso","2011","03","16","R. Affonso; A. Zanin","2011","03","16","Brasil","Santa Catarina","Itajaí","Paciência.","-48.766111","-27.001944","48º45'58''W","27º0'7''S","19","19",NA,"CRI002144","CRI002144","197",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:11-03","UNESC","CRI","9140","PreservedSpecimen","Plantae","Cyperaceae","Scleria","distans","Scleria distans","Poir.","R. Affonso","2010","12","06","R. Affonso; A. Zanin","2010","12","06","Brasil","Santa Catarina","Paulo Lopes",NA,"-48.708056","-27.966111","48º42'29''W","27º57'58''S","13","13","Habitat: beira de estrada Habito: herbácea","CRI002146","CRI002146","129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:29-03","UNESC","CRI","9139","PreservedSpecimen","Plantae","Cyperaceae","Scleria","distans","Scleria distans","Poir.","R. Affonso","2011","03","16","R. Affonso; A. Zanin","2011","03","16","Brasil","Santa Catarina","Itajaí","Estrada para Cunhas.","-48.670833","-26.910556","48º40'15''W","26º54'38''S","4","4","campo Habitat: beira da Estrada Habito: herbácea","CRI002145","CRI002145","189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 02:37:00-03","NY","NYBG","637241","PreservedSpecimen","Plantae","Cyperaceae","Scleria","distans","Scleria distans",NA,"M. T. Strong",NA,NA,NA,"M. J. Jansen-Jacobs","1995","06","13","Guyana",NA,NA,"Rupununi. Mountain Point.","-59.65","2.97",NA,NA,"110","110","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=657874' target='other'> <mi>dwc_moreinfo</mi></a>","NY00637241",NA,"4073","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","612471","PreservedSpecimen","Plantae","Cyperaceae","Scleria","distans","Scleria distans","Poir.","A. C. Araújo",NA,NA,NA,"G. G. Hatschbach","1969","01","18","Brazil","Paraná","Paranaguá","Rio Cachoeirinha.","-48.5092","-25.5203",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=156796' target='other'> <mi>dwc_moreinfo</mi></a>","NY00612471","NY00612471_01","20846","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01201073","PreservedSpecimen","Plantae","Cyperaceae","Scleria","distans","Scleria distans","Poir.","K. Camelbeke",NA,NA,NA,"R. Spruce","1850","12",NA,"Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1452406' target='other'> <mi>dwc_moreinfo</mi></a>","NY01201073","NY01201073_01 NY01201073_02","s.n.","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","547724","PreservedSpecimen","Plantae","Cyperaceae","Scleria","distans","Scleria distans","Poir.","M. Alves",NA,NA,NA,"M. Alves","2000","02","01","Brazil","Bahia","Maraú","BR-030, Km 33.5 al este de Ubaitaba","-39.1264","-14.2361",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=657873' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547724","NY00547724_01","1868","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","636657","PreservedSpecimen","Plantae","Cyperaceae","Scleria","distans","Scleria distans","Poir.",NA,NA,NA,NA,"S. A. Mori","1979","02","05","Brazil","Bahia","Maraú","Estrada que liga Ponta do Mutá (Porto de Campinhos) a Maraú, a 3 km do Porto. Folha SD 24 (14-39b).","-38.9654696","-13.927171",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=657878' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636657","NY00636657_01","11395","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01091816","PreservedSpecimen","Plantae","Cyperaceae","Scleria","distans","Scleria distans","Poir.","C. F. S. Muniz",NA,NA,NA,"M. Henrique","1981","01","10","Brazil","Minas Gerais","Santana do Riacho","Km 128 antigo (Alto Palacio) ao longo da rodovia Belo Horizonte-Conceição do Mato Dentro.","-43.7142","-19.1692",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1264010' target='other'> <mi>dwc_moreinfo</mi></a>","NY01091816","NY01091816_01","6899","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
