"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","stateProvince","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","minimumDepthInMeters","maximumDepthInMeters","individualCount","fieldNumber","sex"
"1","2021-04-05 14:25:18-03","UNESC","CRI","8978","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","rigescens","Mimosa dolens rigescens","(Benth.) Barneby","M. Sobral","M. Verdi; B. Grosch & G. Klemz","1240","2008","12","15","Brasil","Brasil","Fazenda Gateados.","-50.849722","-28.034722","50º50'59''W","28º2'5''S","845","845","Floresta Ombrófila Mista","CRI003007","CRI003007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:47-03","E","E","283769","PreservedSpecimen","Plantae","Leguminosae","Mimosa","dolens",NA,"Mimosa dolens",NA,NA,"Ribas, O.S.; Pereira, L.B. S.","1781","1997","11","12","BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00283769 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00283769",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:295099",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:47-03","E","E","82950","PreservedSpecimen","Plantae","Leguminosae","Mimosa","dolens",NA,"Mimosa dolens",NA,NA,"Silva, J.M. & Ruas, P.","1076","1992","02","28","BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00082950 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00082950",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:91421",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 19:50:00-03","NY","NYBG","01345561","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","acerba","Mimosa dolens acerba","(Benth.) Barneby","R. C. Barneby","E. Hassler","5759",NA,NA,NA,"Paraguay",NA,"Yeruti",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1613599' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345561",NA,"South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","419281","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","acerba","Mimosa dolens acerba","(Benth.) Barneby",NA,"I. Silberbauer-Gottsberger","2213375","1968","03","12","Brazil","Pardinho","Pardinho, 5km north of Pardinho and 15km south of Botucatu, Sitio Palmeiras","-48.3667","-23.0667",NA,NA,"900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=20406' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419281","NY00419281_01","South America","sheet",NA,"Magnoliophyta","Fabales","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00933012","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","anisitsii","Mimosa dolens anisitsii","(Lindm.) Barneby","R. C. Barneby","W. R. Anderson","11228","1975","02","06","Brazil","Rio Brilhante","Rio Sta. Luzia","-54.5464","-21.8019",NA,NA,"500","500","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007975' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933012","NY00933012_01","South America","sheet",NA,"Magnoliophyta","Fabales","Mato Grosso do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-27 19:50:00-03","NY","NYBG","01345572","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","callosa","Mimosa dolens callosa","(Benth.) Barneby",NA,"C. Dlouhy","7327","1982","12","07","Paraguay",NA,"Cerca de Hernandarias, junto al arroyo Pirapitá",NA,NA,NA,NA,"220",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1613890' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345572","NY01345572_01","South America","sheet",NA,"Magnoliophyta","Fabales","Alto Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-27 19:50:00-03","NY","NYBG","01345584","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","latifolia","Mimosa dolens latifolia","(Benth.) Barneby","R. C. Barneby","T. M. Pedersen","947","1951","01","15","Argentina","Mburucuyá","Estancia Santa Teresa",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1614057' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345584","NY01345584_01","South America","sheet",NA,"Magnoliophyta","Fabales","Corrientes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","419329","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","uncta","Mimosa dolens uncta","Barneby","R. C. Barneby","O. dos S. Ribas","1730","1997","02","11","Brazil","Jaguariaíva","Rio Jaguariaíva","-49.7056","-24.2511",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=371164' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419329","NY00419329_01","South America","sheet",NA,"Magnoliophyta","Fabales","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","419318","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","foliolosa","Mimosa dolens foliolosa","(Benth.) Barneby","R. C. Barneby","R. Kummrow","800","1974","12","19","Brazil","Jaguariaíva","Rio Jaguariaíva","-49.7056","-24.2511",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=508892' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419318","NY00419318_01","South America","sheet",NA,"Magnoliophyta","Fabales","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
