"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","coordinatePrecision","geoFlag","class","individualCount","fieldNumber"
"1","2021-04-05 14:25:10-03","UNESC","CRI","14873","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth","Rodrigo Lavina","1997","12","09","Rodrigo Lavina","1997","12","09","Brasil","Santa Catarina","Içara","Atras da escola, isolada da Lagoa dos Esteves","-49.300556","-28.713889","49º18'2''W","28º42'50''S","Habito: Herbácea","CRI014208","CRI014208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","636911","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth","E. R. Guaglianone",NA,NA,NA,"H. Balslev","1981","01","01","Ecuador","Loja",NA,"Below Cangonamá towards Panamerican Highway W of Catacocha.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=541793' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636911",NA,"Magnoliophyta","Poales","1339","South America","1800","2000","sheet",NA,NA,NA,NA,NA
"3","2016-09-29 14:49:00-03","NY","NYBG","636913","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans",NA,"E. R. Guaglianone",NA,NA,NA,"Á. L. Cabrera","1977","10","17","Argentina","Misiones","Eldorado","Puerto El Dorado.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=541792' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636913",NA,"Magnoliophyta","Poales","28842","South America",NA,NA,"sheet",NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","622987","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth","M. Barros",NA,NA,NA,"B. Rambo","1948","11","05","Brazil","Rio Grande do Sul",NA,"Cambará.","-50","-29",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=541790' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622987","NY00622987_01","Magnoliophyta","Poales","36640","South America",NA,NA,"sheet",NA,NA,NA,NA,NA
"5","2016-11-01 11:58:00-02","NY","NYBG","622988","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans",NA,"L. B. Smith",NA,NA,NA,"L. B. Smith","1965","01","05","Brazil","Santa Catarina","Sao Joaquim","Near Encruzilhada de Boava, 8 km south of Sao Joaquim.","-49.93","-28.33",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=541795' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622988","NY00622988_01","Magnoliophyta","Poales","14269","South America","1300","1300","sheet",NA,NA,NA,NA,NA
"6","2016-09-29 14:49:00-03","NY","NYBG","636912","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans",NA,"E. R. Guaglianone",NA,NA,NA,"R. Michel","1985","09","01","Bolivia","Santa Cruz","Cordillera","Alto Parapetí Hacienda Yapuimbia.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=541794' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636912",NA,"Magnoliophyta","Poales","481","South America","800","800","sheet",NA,NA,NA,NA,NA
"7","2020-06-29 11:30:01-03","UFRJ","RFA","23015","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth","M. Barros","1960",NA,NA,"F. Segadas-Vianna; L. Dau; W.T. Ormond; G.C. Machline","1953","02","28","Brasil","Rio de Janeiro","Resende","Serra do Itatiaia, base das Agulhas Negras às margens de uma lagoa dentro d#?#água a 5 cm de profundidade","-44.4467010498047","-22.468900680542",NA,NA,NA,"RFA39981",NA,NA,NA,"57",NA,NA,NA,NA,"36089","auto",NA,NA,NA
"8","2020-06-29 11:30:01-03","UFRJ","RFA","23007","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth","M. Barros","1960",NA,NA,"F. Segadas-Vianna; L. Dau; W.T. Ormond; G.C. Machline","1953","02","28","Brasil","Rio de Janeiro","Resende","Serra do Itatiaia, base das Agulhas Negras, às margens de uma lagoa, dentro d#?#água a 5 cm de profundidade","-44.4467010498047","-22.468900680542",NA,NA,NA,"RFA39982",NA,NA,NA,"56",NA,NA,NA,NA,"36089","auto",NA,NA,NA
"9","2020-02-08 10:13:57-03","NBC","NL-BOTANY","L.1391014","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","Kunth",NA,NA,NA,NA,"Pedersen TM","1965","12","21","Paraguay",NA,NA,"San Juan Bautista, Dep. Mismones.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1391014 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1391014","NL-L1391014",NA,"Poales",NA,"Southern America",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"10","2020-02-08 10:13:57-03","NBC","NL-BOTANY","U.1296056","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","Kunth",NA,NA,NA,NA,"Petersen TM","1952","11","09","Argentina",NA,NA,"Argentina, estancia 'Santa teresa', dep Mburucuya, porv. Corrientes.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1296056 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1296056","NL-U1296056",NA,"Poales",NA,"Southern America",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA
